"id","code","description"
"product_code_000000_goods","000000","Barang"
"product_code_010000_goods","010000","Binatang hidup"
"product_code_010100_goods","010100","Kud keledai, bagal dan hinnie, hidup"
"product_code_010200_goods","010200","Binatang hidup jenis lembu"
"product_code_010300_goods","010300","Babi hidup"
"product_code_010400_goods","010400","Biri-biri dan kambing, hidup"
"product_code_010500_goods","010500","Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angs kalkun dan ayam guinea"
"product_code_010600_goods","010600","Binatang hidup lainnya"
"product_code_020000_goods","020000","Daging dan sisa daging yang dapat dimakan"
"product_code_020100_goods","020100","Daging binatang jenis lembu, segar atau dingin"
"product_code_020200_goods","020200","Daging binatang jenis lembu, beku"
"product_code_020300_goods","020300","Daging babi, segar, dingin atau beku"
"product_code_020400_goods","020400","Daging bid-bid atau kamblng, segar, dingin atau beku"
"product_code_020500_goods","020500","Daging kud keledai, bagal atau hinnie, segar, dingin atau beku"
"product_code_020600_goods","020600","Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kud keledai, bagal atau hinnie, segar, dingin atau beku."
"product_code_020700_goods","020700","Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku"
"product_code_020800_goods","020800","Daging dan sisanya yang dapat dimakan dari binatang lainny segar, dingin atau beku"
"product_code_020900_goods","020900","Lemak babi tanpa daging dan lemak unggas, tidak dicairkan atau diekstraksi dengan cara lain, segar, dingin, beku, dlasinkan, dalam air garam, dikeringkan atau diasapi"
"product_code_021000_goods","021000","Daging dan sisanya yang dapat dimakan, diasinkan, dalam air garam, dikeringkan atau diasapi tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan"
"product_code_030000_goods","030000","lkan dan krustase moluska serta invertebrata air lainnya"
"product_code_030100_goods","030100","Ikan hidup"
"product_code_030200_goods","030200","Ikan, segar atau dingin, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04"
"product_code_030300_goods","030300","Ikan beku, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04"
"product_code_030400_goods","030400","Fillet dan daging ikan lainnya (dicincang maupun tidak), segar, dlngln atau beku"
"product_code_030500_goods","030500","lkan, dikeringkan, diasinkan atau dalam air garam lkan diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan"
