"id","code","name","account_type","reconcile","tag_ids"
"l10n_ie_account_100","100","Development costs","asset_fixed","False",""
"l10n_ie_account_101","101","Concessions, patents, licences, trade marks and similar rights and assets","asset_fixed","False",""
"l10n_ie_account_102","102","Goodwill","asset_fixed","False",""
"l10n_ie_account_103","103","Payments on account","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_110","110","Investment property","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_111","111","Land and buildings","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_112","112","Plant and machinery","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_113","113","Fixtures, fittings, tools and equipment","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_114","114","Payments on account and assets in course of construction","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_120","120","Shares in group undertakings","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_121","121","Loans to group undertakings","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_122","122","Participating interests","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_123","123","Loans to undertakings in which the company has a participating interest","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1240","1240","Listed shares","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1241","1241","Unlisted shares","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1242","1242","Other securities held as fixed assets (equity right)","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1243","1243","Debentures","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1244","1244","Other securities held as fixed assets (creditor's right)","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1245","1245","Shares of collective investment funds","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1246","1246","Other securities held as fixed assets","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1250","1250","Loans","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1251","1251","Deposits and guarantees paid","asset_fixed","False","account.account_tag_investing"
"l10n_ie_account_1252","1252","Long-term receivables","asset_fixed","False",""
"l10n_ie_account_2000","2000","Inventories of raw materials","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2001","2001","Inventories of consumable materials and supplies","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2002","2002","Inventories of packaging","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2010","2010","Inventories of work in progress","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2011","2011","Contracts in progress - goods","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2012","2012","Contracts in progress - services","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2013","2013","Buildings under construction","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2020","2020","Inventories of finished goods","asset_current","False","account.account_tag_operating"
"l10n_ie_account_2021","2021","Inventories of semi-finished goods","asset_current","False","account.account_tag_operating"
