"id","code_prefix_start","name","chart_template_id/id"
"l10n_bg_group_1","1","Capital accounts","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_10","10","Capital","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_11","11","Capital reserves","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_12","12","Financial results","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_13","13","Specific non-capital reserves","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_14","14","Cash issues","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_15","15","Loans received","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_16","16","Attracted funds on deposit accounts","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_17","17","Borrowed funds on current and other accounts","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_18","18","Funds raised on accounts of participants in insurance funds","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_19","19","Premiums and discounts on financial instruments","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_2","2","Accounts for fixed assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_20","20","Tangible fixed assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_21","21","Tangible fixed assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_22","22","Long-term financial assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_23","23","Goodwill","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_24","24","Depreciation","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_26","26","Long-term receivables and loans","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_27","27","Long-term biological assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_3","3","Accounts for inventories","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_30","30","Materials, products and goods","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_31","31","Current biological assets","l10n_bg.l10n_bg_chart_template"
"l10n_bg_group_4","4","Accounts for settlements","l10n_bg.l10n_bg_chart_template"
