"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","l10n_ar_state_id","name@es","description@es","invoice_label@es","fiscal_position_ids","original_tax_ids"
"ri_tax_percepcion_iibb_caba_sufrida","P. IIBB CABA","Perception of IIBB Ciudad Autónoma de Buenos Aires","Perc IIBB Ciudad Autónoma de Buenos Aires","4","fixed","1","purchase","tax_group_percepcion_iibb_caba","base","invoice","","base.state_ar_c","","Percepción IIBB Ciudad Autónoma de Buenos Aires","Perc IIBB Ciudad Autónoma de Buenos Aires","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_caba_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_caba_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ba_sufrida","P. IIBB BA","Perception IIBB Buenos Aires","Perc IIBB Buenos Aires","4","fixed","1","purchase","tax_group_percepcion_iibb_ba","base","invoice","","base.state_ar_b","","Percepción IIBB Buenos Aires","Perc IIBB Buenos Aires","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ba_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ba_sufrida","","","","","",""
"ri_tax_percepcion_iibb_ca_sufrida","P. IIBB C","Perception IIBB Catamarca","Perc IIBB Catamarca","4","fixed","1","purchase","tax_group_percepcion_iibb_ca","base","invoice","","base.state_ar_k","","Percepción IIBB Catamarca","Perc IIBB Catamarca","",""
"","","","","","","","","","tax","invoice","base_percepcion_iibb_ca_sufrida","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","base_percepcion_iibb_ca_sufrida","","","","","",""
