"id","name","l10n_ar_vat_afip_code","country_id","sequence","l10n_ar_tribute_afip_code","tax_payable_account_id","tax_receivable_account_id","name@es"
"tax_group_iva_21","VAT 21%","5","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 21%"
"tax_group_iva_27","VAT 27%","6","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 27%"
"tax_group_iva_105","VAT 10.5%","4","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 10,5%"
"tax_group_iva_025","VAT 2.5%","9","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 2,5%"
"tax_group_iva_no_corresponde","VAT Not Applicable","0","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA No Corresponde"
"tax_group_iva_no_gravado","VAT Untaxed","1","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA No Gravado"
"tax_group_iva_exento","VAT Exempt","2","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA Exento"
"tax_group_iva_0","VAT 0%","3","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 0%"
"tax_group_iva_5","VAT 5%","8","base.ar","","","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","IVA 5%"
"tax_group_otros_impuestos","Other Taxes","","","20","99","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Otros Impuestos"
"tax_impuestos_internos","Internal Taxes","","base.ar","15","04","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Impuestos internos"
"tax_group_percepcion_iva","VAT Perception","","base.ar","","06","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Percepción del IVA"
"tax_group_percepcion_iibb_caba","Perc IIBB CABA","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB CABA"
"tax_group_percepcion_iibb_ba","Perc IIBB ARBA","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB ARBA"
"tax_group_percepcion_iibb_ca","Perc IIBB Catamarca","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Catamarca"
"tax_group_percepcion_iibb_co","Perc IIBB Córdoba","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Córdoba"
"tax_group_percepcion_iibb_rr","Perc IIBB Corrientes","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Corrientes"
"tax_group_percepcion_iibb_er","Perc IIBB Entre Ríos","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Entre Ríos"
"tax_group_percepcion_iibb_ju","Perc IIBB Jujuy","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Jujuy"
"tax_group_percepcion_iibb_za","Perc IIBB Mendoza","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Mendoza"
"tax_group_percepcion_iibb_lr","Perc IIBB La Rioja","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB La Rioja"
"tax_group_percepcion_iibb_sa","Perc IIBB Salta","","base.ar","","07","ri_iva_saldo_a_pagar","ri_iva_saldo_tecnico_favor","Perc IIBB Salta"
