"id","name","l10n_ar_vat_afip_code","country_id","sequence","l10n_ar_tribute_afip_code"
"tax_group_iva_21","IVA 21%","5","base.ar","",""
"tax_group_iva_27","IVA 27%","6","base.ar","",""
"tax_group_iva_105","IVA 10,5%","4","base.ar","",""
"tax_group_iva_025","IVA 2,5%","9","base.ar","",""
"tax_group_iva_no_corresponde","IVA No Corresponde","0","base.ar","",""
"tax_group_iva_no_gravado","IVA No Gravado","1","base.ar","",""
"tax_group_iva_exento","IVA Exento","2","base.ar","",""
"tax_group_iva_0","IVA 0%","3","base.ar","",""
"tax_group_iva_5","IVA 5%","8","base.ar","",""
"tax_group_otros_impuestos","Otros Impuestos","","","20","99"
"tax_impuestos_internos","Impuestos internos","","base.ar","15","04"
"tax_group_percepcion_iva","Percepción del IVA","","base.ar","","06"
"tax_group_percepcion_iibb_caba","Perc IIBB CABA","","base.ar","","07"
"tax_group_percepcion_iibb_ba","Perc IIBB ARBA","","base.ar","","07"
"tax_group_percepcion_iibb_ca","Perc IIBB Catamarca","","base.ar","","07"
"tax_group_percepcion_iibb_co","Perc IIBB Córdoba","","base.ar","","07"
"tax_group_percepcion_iibb_rr","Perc IIBB Corrientes","","base.ar","","07"
"tax_group_percepcion_iibb_er","Perc IIBB Entre Ríos","","base.ar","","07"
"tax_group_percepcion_iibb_ju","Perc IIBB Jujuy","","base.ar","","07"
"tax_group_percepcion_iibb_za","Perc IIBB Mendoza","","base.ar","","07"
"tax_group_percepcion_iibb_lr","Perc IIBB La Rioja","","base.ar","","07"
"tax_group_percepcion_iibb_sa","Perc IIBB Salta","","base.ar","","07"
"tax_group_percepcion_iibb_nn","Perc IIBB San Juan","","base.ar","","07"
"tax_group_percepcion_iibb_sl","Perc IIBB San Luis","","base.ar","","07"
"tax_group_percepcion_iibb_sf","Perc IIBB Santa Fe","","base.ar","","07"
"tax_group_percepcion_iibb_se","Perc IIBB Santiago del Estero","","base.ar","","07"
"tax_group_percepcion_iibb_tn","Perc IIBB Tucumán","","base.ar","","07"
"tax_group_percepcion_iibb_ha","Perc IIBB Chaco","","base.ar","","07"
"tax_group_percepcion_iibb_ct","Perc IIBB Chubut","","base.ar","","07"
"tax_group_percepcion_iibb_fo","Perc IIBB Formosa","","base.ar","","07"
"tax_group_percepcion_iibb_mi","Perc IIBB Misiones","","base.ar","","07"
"tax_group_percepcion_iibb_ne","Perc IIBB Neuquén","","base.ar","","07"
"tax_group_percepcion_iibb_lp","Perc IIBB La Pampa","","base.ar","","07"
"tax_group_percepcion_iibb_rn","Perc IIBB Río Negro","","base.ar","","07"
"tax_group_percepcion_iibb_az","Perc IIBB Santa Cruz","","base.ar","","07"
"tax_group_percepcion_iibb_tf","Perc IIBB Tierra del Fuego","","base.ar","","07"
"tax_group_percepcion_iibb","IIBB Percepciones","","base.ar","25","07"
"tax_group_percepcion_municipal","Percepción de los impuestos municipales","","base.ar","","08"
"tax_group_percepcion_ganancias","Percepción de los beneficios","","base.ar","","09"
"tax_group_otras_percepciones","Otras percepciones","","base.ar","","09"
