"id","name","description","sequence","active","amount_type","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"ri_tax_percepcion_iibb_mi_aplicada","Percepción IIBB Misiones Aplicada","Perc IIBB Misiones A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_mi","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_mi_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_mi_aplicada"
"ri_tax_percepcion_iibb_ne_aplicada","Percepción IIBB Neuquén Aplicada","Perc IIBB Neuquén A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_ne","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_ne_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_ne_aplicada"
"ri_tax_percepcion_iibb_lp_aplicada","Percepción IIBB La Pampa Aplicada","Perc IIBB La Pampa A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_lp","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_lp_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_lp_aplicada"
"ri_tax_percepcion_iibb_rn_aplicada","Percepción IIBB Río Negro Aplicada","Perc IIBB Río Negro A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_rn","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_rn_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_rn_aplicada"
"ri_tax_percepcion_iibb_az_aplicada","Percepción IIBB Santa Cruz Aplicada","Perc IIBB Santa Cruz A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_az","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_az_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_az_aplicada"
"ri_tax_percepcion_iibb_tf_aplicada","Percepción IIBB Tierra del Fuego Aplicada","Perc IIBB Tierra del Fuego A","4","False","fixed","0.0","sale","tax_group_percepcion_iibb_tf","base","invoice",""
"","","","","","","","","","tax","invoice","ri_percepcion_iibb_tf_aplicada"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ri_percepcion_iibb_tf_aplicada"
