"id","code","name","tag_ids","account_type","description","reconcile","active","depreciation_model_id","non_trade","parent_id","name@ko_KR","description@ko_KR"
"l10n_kr_101000","101000","Quick Assets","","asset_current","Parent account for highly liquid current assets.","False","False","","False","","당좌자산","유동성이 매우 높은 당좌자산의 통합 집계 계정입니다."
"l10n_kr_101100","101100","Cash and Cash Equivalents","","asset_cash","Parent account for cash on hand and highly liquid short-term deposits.","False","False","","False","l10n_kr_101000","현금및현금성자산","보유 중인 현금 및 유동성이 매우 높은 단기 예금 등의 통합 집계 계정입니다."
"l10n_kr_101110","101110","Cash","account.account_tag_operating","asset_cash","Cash on hand, including banknotes, coins, and foreign currencies.","True","True","","False","l10n_kr_101100","현금","사내 보유 중인 지폐, 주화 및 외화 등 통화 자산입니다."
"l10n_kr_101120","101120","Petty Cash","account.account_tag_operating","asset_cash","Small amount of cash kept on hand for minor daily expenses.","True","True","","False","l10n_kr_101100","소액현금","일상적인 소액 지출을 위해 부서별로 보유하는 전도금(소액현금)입니다."
"l10n_kr_101130","101130","Current Deposit","account.account_tag_operating","asset_cash","Bank accounts used for settling issued checks and bills.","True","True","","False","l10n_kr_101100","당좌예금","당좌수표 및 어음 발행 결제를 목적으로 개설한 예금입니다."
"l10n_kr_101140","101140","Ordinary Deposit","account.account_tag_operating","asset_cash","Standard bank savings accounts used for daily operational transactions.","True","True","","False","l10n_kr_101100","보통예금","일상적인 영업 대금 회수 및 자금 지출에 사용하는 예금입니다."
"account_journal_payment_debit_account_id","101150","Outstanding Receipts","account.account_tag_operating","asset_current","Temporary clearing account for incoming bank transfers awaiting reconciliation.","True","True","","False","l10n_kr_101100","미결제수취금","은행에 수금되었으나 매출 전표 등과 정산되기 전 대기 중인 임시 계정입니다."
"account_journal_payment_credit_account_id","101160","Outstanding Payments","account.account_tag_operating","asset_current","Temporary clearing account for outgoing bank payments awaiting reconciliation.","True","True","","False","l10n_kr_101100","미결제지급금","은행에서 대금이 출금되었으나 매입 전표 등과 정산되기 전 대기 중인 임시 계정입니다."
"l10n_kr_101170","101170","Bank Suspense Account","account.account_tag_operating","asset_current","Temporary holding account for imported bank statement lines.","True","True","","False","l10n_kr_101100","은행가계정","은행 거래 내역을 가져왔으나 아직 분개 처리 및 정산되지 않은 임시 보관 계정입니다."
"l10n_kr_101180","101180","Liquidity Transfer","account.account_tag_operating","asset_current","Clearing account used for internal money transfers between bank accounts.","True","True","","False","l10n_kr_101100","현금내부대체","은행 계좌 간 자금 이체 시 일시적으로 사용하는 대체 계정입니다."
"l10n_kr_102000","102000","Short-term Investments","","asset_current","Parent account for short-term financial instruments maturing within one year.","False","False","","False","l10n_kr_101000","단기투자자산","만기가 1년 이내에 도래하는 단기 금융상품 및 유가증권의 통합 집계 계정입니다."
"l10n_kr_102100","102100","Short-term Trading Securities","account.account_tag_investing","asset_current","Marketable securities held for short-term trading profits.","False","True","","False","l10n_kr_102000","단기매매증권","단기 매매 차익을 목적으로 보유하는 시장성 있는 유가증권입니다."
"l10n_kr_102200","102200","Short-term Financial Instruments","account.account_tag_investing","asset_current","Time deposits and installment savings maturing within one year.","False","True","","False","l10n_kr_102000","단기금융상품","만기가 1년 이내에 도래하는 정기예금, 정기적금 등의 단기 금융상품입니다."
"l10n_kr_103000","103000","Trade Receivables","","asset_receivable","Parent account for core outstanding trade receivables.","True","False","","False","l10n_kr_101000","매출채권","주된 영업활동에서 발생한 매출채권(외상매출금 및 받을어음)의 통합 집계 계정입니다."
"l10n_kr_103100","103100","Trade Accounts Receivable","account.account_tag_operating","asset_receivable","Receivables arising from the sale of inventory or core services.","True","True","","False","l10n_kr_103000","외상매출금","상품, 제품 매출 또는 용역 제공 등 주된 영업활동으로 발생한 외상 채권입니다."
"l10n_kr_103110","103110","Trade Accounts Receivable (PoS)","account.account_tag_operating","asset_receivable","Receivables originating from Point of Sale transactions.","True","True","","False","l10n_kr_103000","외상매출금 (PoS)","POS(판매시점정보관리) 시스템 거래를 통해 발생한 외상매출금입니다."
"l10n_kr_103200","103200","Notes Receivable","account.account_tag_operating","asset_receivable","Promissory notes received from buyers to settle core commercial transactions.","True","True","","False","l10n_kr_103000","받을어음","주된 상거래 대금 결제를 위해 거래처로부터 수취한 약속어음 및 전자어음입니다."
"l10n_kr_103900","103900","Allowance for Doubtful Accounts (Trade)","account.account_tag_operating","asset_receivable","Contra-asset account representing the estimated uncollectible portion of trade receivables.","True","True","","False","l10n_kr_103000","대손충당금(매출채권)","매출채권 중 회수 불가능할 것으로 추정되는 금액을 자산에서 차감 표시하는 평가 계정입니다."
"l10n_kr_104100","104100","Prepaid Expenses","","asset_prepayments","Parent account for prepaid operational expenses.","False","False","","False","l10n_kr_101000","선급비용","차기 이후의 기간에 속하는 선지급 비용의 통합 집계 계정입니다."
"l10n_kr_104110","104110","Prepaid Expenses","account.account_tag_operating","asset_prepayments","Prepaid operational expenses whose benefits extend into future periods.","False","True","","False","l10n_kr_104100","선급비용","당기에 지급된 비용 중 차기 이후의 기간에 귀속되는 선급비용입니다."
"l10n_kr_104200","104200","Deferred Tax Assets (Current)","","asset_current","Parent account for short-term deferred tax assets.","False","False","","False","l10n_kr_101000","이연법인세자산(유동)","1년 이내에 실현될 것으로 예상되는 유동 이연법인세자산의 통합 집계 계정입니다."
"l10n_kr_104210","104210","Deferred Tax Assets (Current)","account.account_tag_operating","asset_current","Deferred tax assets expected to reverse within one year.","False","True","","False","l10n_kr_104200","이연법인세자산(유동)","일시적 차이로 인해 1년 이내에 실현되어 법인세 부담을 줄여줄 유동 이연법인세자산입니다."
"l10n_kr_104900","104900","Other Quick Assets","","asset_current","Parent account for miscellaneous quick assets.","False","False","","False","l10n_kr_101000","기타당좌자산","기타 당좌자산의 통합 집계 계정입니다."
"l10n_kr_104910","104910","Non-trade Receivables","account.account_tag_operating","asset_receivable","Receivables arising from non-operating transactions like disposal of fixed assets.","True","True","","True","l10n_kr_104900","미수금","유형자산 매각 등 주된 영업활동 외의 거래에서 발생한 미수 채권입니다."
"l10n_kr_104920","104920","Accrued Income","account.account_tag_operating","asset_current","Accrued revenues earned during the current period but not yet received.","False","True","","False","l10n_kr_104900","미수수익","당기에 발생한 수익 중 결산일 현재 아직 수취하지 못한 미수수익입니다."
"l10n_kr_104930","104930","Advance Payments","account.account_tag_operating","asset_current","Advance payments made to vendors before delivery of goods or services.","False","True","","False","l10n_kr_104900","선급금","상품 인도 또는 용역 제공 전에 계약금 명목으로 미리 지급한 선급금입니다."
"l10n_kr_104940","104940","Prepaid Income Taxes","account.account_tag_operating","asset_current","Income taxes paid in advance via withholding or preliminary installments.","False","True","","False","l10n_kr_104900","선납세금","원천징수 세액이나 중간예납 등 최종 법인세 확정 전 미리 납부한 선납세금입니다."
"l10n_kr_104950","104950","VAT Receivable","account.account_tag_operating","asset_current","Input VAT paid on purchases, to be offset against output VAT.","True","True","","False","l10n_kr_104900","부가세대급금","재화나 용역 매입 시 부담하여 부가가치세 신고 시 공제받을 매입세액(부가세대급금)입니다."
"l10n_kr_104960","104960","VAT Settlement Receivable","account.account_tag_operating","asset_receivable","VAT refund receivable established when input VAT exceeds output VAT.","True","True","","True","l10n_kr_104900","미수환급금","부가가치세 정산 결과 매입세액이 매출세액을 초과하여 환급받을 미수환급금입니다."
"l10n_kr_104970","104970","Prepaid VAT Assessment","account.account_tag_operating","asset_current","Prepaid VAT amounts assessed during preliminary reporting periods.","True","True","","True","l10n_kr_104900","예정고지세액(또는 예정신고납부세액)","부가가치세 예정신고 기간에 고지되거나 납부하여 확정 신고 시 차감할 예정고지세액입니다."
"l10n_kr_115000","115000","Inventories","","asset_current","Parent account for all subcategories of inventories.","False","False","","False","","재고자산","판매를 위해 보유하거나 생산 과정에 있는 재고자산의 통합 집계 계정입니다."
"l10n_kr_115100","115100","Merchandise","","asset_current","Parent account for trading merchandise.","False","False","","False","l10n_kr_115000","상품","외부에서 매입한 상품의 통합 집계 계정입니다."
