"id","name","description","invoice_label","tax_group_id","type_tax_use","amount_type","amount","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","name@ko_KR","description@ko_KR","invoice_label@ko_KR","fiscal_position_ids","original_tax_ids","price_include_override","children_tax_ids"
"l10n_kr_Sales_10","10%","Standard taxable domestic sales. Generates 10% output VAT (VAT Payable).","10%","tax_group_vat","sale","percent","10","1","base","invoice","[매출] 공급가액 - 10%","100","","","부가세 10%","국내 과세 매출용. 공급가액의 10%를 부가세 예수금으로 잡고 매출세액에 집계합니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[매출] 세액","100","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","base","refund","[매출] 공급가액 - 10%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매출] 세액","100","l10n_kr_210950","","","","","","","",""
"l10n_kr_Sales_0","0%","For direct exports and Local L/C. Calculates 0% VAT and tracks base for zero-rated reporting.","0%","tax_group_zero_rate","sale","percent","0","1","base","invoice","[매출] 공급가액 - 영세","100","","","영세율 0%","직수출 및 내국신용장 매출용. 세액은 0원이며, 영세율 매출 실적으로 집계됩니다.","영세율 0%","l10n_kr_overseas,l10n_kr_domestic_zr","l10n_kr_Sales_10","",""
"","","","","","","","","","tax","invoice","","100","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","base","refund","[매출] 공급가액 - 영세","100","","","","","","","","",""
"","","","","","","","","","tax","refund","","100","l10n_kr_210950","","","","","","","",""
"l10n_kr_Sales_tf","Exempt","For VAT-exempt sales. Generates no VAT and tracks total exempt revenue.","Exempt","tax_group_exempt","sale","percent","0","1","base","invoice","[매출] 공급가액 - 면세","100","","","면세","도서, 미가공 식료품 등 면세 매출용. 세액 없이 면세 수입금액에 집계됩니다.","면세","l10n_kr_domestic_exempt","l10n_kr_Sales_10","",""
"","","","","","","","","","tax","invoice","","100","l10n_kr_210950","","","","","","","",""
"","","","","","","","","","base","refund","[매출] 공급가액 - 면세","100","","","","","","","","",""
"","","","","","","","","","tax","refund","","100","l10n_kr_210950","","","","","","","",""
"l10n_kr_Purchase_10","10%","Standard taxable domestic purchases. Generates 10% input VAT (VAT Receivable) for tax deduction.","10%","tax_group_vat","purchase","percent","10","1","base","invoice","[매입] 공급가액 - 10%","100","","","부가세 10%","국내 과세 매입용. 10% 부가세 대급금을 발생시켜 공제대상 매입세액으로 잡습니다.","부가세 10%","","","",""
"","","","","","","","","","tax","invoice","[매입] 세액 - 10%","100","l10n_kr_104950","","","","","","","",""
"","","","","","","","","","base","refund","[매입] 공급가액 - 10%","100","","","","","","","","",""
"","","","","","","","","","tax","refund","[매입] 세액 - 10%","100","l10n_kr_104950","","","","","","","",""
