0101210100|Reproductores de raza pura.|07
0101290200|Sin pedigree, para reproducción.|06
0101290300|Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.|06
0101299901|Para saltos o carreras.|06
0101299999|Los demás.|06
0101300100|Asnos.|07
0101909900|Los demás.|07
0102210100|Reproductores de raza pura.|07
0102290100|Vacas lecheras.|06
0102290200|Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.|06
0102299900|Los demás.|06
0102310100|Reproductores de raza pura.|07
0102399900|Los demás.|07
0102909900|Los demás.|07
0103100100|Reproductores de raza pura.|07
0103910100|Con pedigree o certificado de alto registro.|07
0103919900|Los demás.|07
0103920100|Con pedigree o certificado de alto registro.|07
0103929900|Los demás.|07
0104100100|Con pedigree o certificado de alto registro.|06
0104109901|Para abasto.|06
0104109999|Los demás.|06
0104200100|Con pedigree o certificado de alto registro.|07
0104200200|Borrego cimarrón.|07
0104209900|Los demás.|07
0105110301|Aves reproductoras de la línea de postura.|06
0105110302|Aves reproductoras de la línea de engorda.|06
0105110303|Aves progenitoras de la línea de engorda.|06
0105110391|Las demás de postura.|06
0105110392|Las demás de engorda.|06
0105119900|Los demás.|06
0105120100|Pavos (gallipavos).|06
0105130100|Patos.|07
0105140100|Gansos.|07
0105150100|Pintadas.|07
0105940100|Gallos de pelea.|07
0105949900|Los demás.|07
0105999900|Los demás.|07
0106110100|Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.|07
0106119900|Los demás.|07
0106120100|Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).|07
0106130100|Camellos y demás camélidos (Camelidae).|07
0106140100|Conejos y liebres.|07
0106190200|Venado rojo (Cervus elaphus); gamo (Dama dama).|07
0106199901|Perros.|07
0106199999|Los demás.|07
0106200400|Reptiles (incluidas las serpientes y tortugas de mar).|07
0106310100|Aves de rapiña.|06
0106320100|Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).|07
0106330100|Avestruces; emúes (Dromaius novaehollandiae).|07
0106399900|Las demás.|07
0106410100|Abejas.|01
0106499900|Los demás.|01
0106900200|Lombriz Rebellus (Lumbricus rubellus).|01
0106900300|Lombriz acuática.|01
