id,code_prefix_start,code_prefix_end,name,name@es
l10n_bo_group_1110199,1110199,1110199,Cash,Efectivo
l10n_bo_group_1110200,1110200,1110299,Petty Cash / Small Cash Box,Fondo Fijo / Caja Chica
l10n_bo_group_1110300,1110300,1110399,Bank,Banco
l10n_bo_group_1110400,1110400,1110499,Guarantee Tickets,Boletas de Garantía
l10n_bo_group_1110500,1110500,1110599,Revolving Fund,Fondo Rotativo
l10n_bo_group_1110600,1110600,1110699,Fixed Term Deposits,Depósitos a Plazo Fijo
l10n_bo_group_1110800,1110800,1110899,Temporary Investments at Fair Value,Inversiones Temporales al Valor Razonable
l10n_bo_group_1110900,1110900,1110999,Temporary Investments for Sale,Inversiones Temporales para la Venta
l10n_bo_group_1111000,1111000,1111099,Purchase Agreement,Compromiso de Compra
l10n_bo_group_1120100,1120100,1120199,Commercial Accounts Receivable,Cuentas Comerciales por Cobrar
l10n_bo_group_1120200,1120200,1120299,Funds to Surrender,Fondos a Rendir
l10n_bo_group_1120300,1120300,1120399,Customer Accounts Receivable Documents,Documentos por Cobrar de Clientes
l10n_bo_group_1120400,1120400,1120499,Accounts Receivable from Related Companies,Cuentas por Cobrar a Empresas Relacionadas
l10n_bo_group_1120500,1120500,1120599,Advance to Suppliers,Anticipo a Proveedores
l10n_bo_group_1120600,1120600,1120699,Accounts Receivable from Company Staff,Cuentas por Cobrar a Personal de la Empresa
l10n_bo_group_1120700,1120700,1120799,Accounts Receivable from Shareholders or Partners,Cuentas por Cobrar a Accionistas o Socios
l10n_bo_group_1120800,1120800,1120899,Accounts Receivable from Directors and Managers,Cuentas por Cobrar a Directores y Gerentes
l10n_bo_group_1120900,1120900,1120999,Provision for Doubtful Accounts / Doubtful Collection,Provisión para Cuentas Incobrables / Cobranza Dudosa
l10n_bo_group_1121000,1121000,1121099,Receivable Guarantees,Garantías por Cobrar
l10n_bo_group_1121100,1121100,1121199,Other Accounts Receivable,Otras Cuentas por Cobrar
l10n_bo_group_1130100,1130100,1130199,Merchandise Inventory,Inventario de Mercadería
l10n_bo_group_1130200,1130200,1130299,Inventory of Containers and Packaging,Inventario de Envases y Embalajes
l10n_bo_group_1130300,1130300,1130399,Finished Product Inventory,Inventario de Productos Terminados
l10n_bo_group_1130400,1130400,1130499,Inventory of Products in Process,Inventario de Productos en Proceso
l10n_bo_group_1130500,1130500,1130599,Raw Material Inventory,Inventario de Materia Prima
l10n_bo_group_1130600,1130600,1130699,Inventory in Transit,Inventario en Tránsito
l10n_bo_group_1130700,1130700,1130799,Non-Current Assets Held for Sale,Activos no Corrientes Mantenidos para la Venta
l10n_bo_group_1130800,1130800,1130899,Provision for Obsolescence,Provisión para Obsolescencias
l10n_bo_group_1140100,1140100,1140199,Taxes to Offset,Impuestos por Compensar
l10n_bo_group_1140200,1140200,1140299,Other Current Assets,Otros Activos Corrientes
l10n_bo_group_1210100,1210100,1210199,Long-Term Accounts Receivable,Cuentas por Cobrar a Largo Plazo
l10n_bo_group_1220100,1220100,1220199,Investments in Real Estate to be Held Until Maturity,Inversiones Mobiliarias a ser Mantenidas Hasta Vencimiento
l10n_bo_group_1220200,1220200,1220299,Financial Instruments Representing Equity Rights,Instrumentos Financieros Representativos de Derecho Patrimonial
l10n_bo_group_1220300,1220300,1220399,Investment Actions,Acciones de Inversión
l10n_bo_group_1220400,1220400,1220499,Devaluation of Investment Securities,Desvalorización de Inversiones Mobiliarias
l10n_bo_group_1230100,1230100,1230199,Urban Land,Terrenos Urbanos
l10n_bo_group_1230200,1230200,1230299,Rural Lands,Terrenos Rurales
l10n_bo_group_1230300,1230300,1230399,Buildings,Edificaciones
l10n_bo_group_1230400,1230400,1230499,Real Estate Investment Financing Costs,Costos de Financiación de Inversiones Inmoviliarias
l10n_bo_group_1240100,1240100,1240199,Assets Acquired under Financial Leasing,Activos Adquiridos en Arrendamiento Financiero
l10n_bo_group_1250100,1250100,1250199,Land,Terrenos
l10n_bo_group_1250200,1250200,1250299,Buildings and Constructions,Edificios y Construcciones
l10n_bo_group_1250300,1250300,1250399,Administrative Buildings,Edificaciones Administrativas
l10n_bo_group_1250400,1250400,1250499,Warehouses,Almacenes
l10n_bo_group_1250500,1250500,1250599,Furniture and Appliances,Muebles y Enseres
l10n_bo_group_1250600,1250600,1250699,Vehicles,Vehículos
l10n_bo_group_1250700,1250700,1250799,Computer Equipment,Equipos de Computación
l10n_bo_group_1250800,1250800,1250899,Communication Equipment,Equipos de Comunicación
l10n_bo_group_1250900,1250900,1250999,Teams and Accessories,Equipos y Accesorios
l10n_bo_group_1251000,1251000,1251099,Office Equipment,Equipos de Oficina
l10n_bo_group_1251100,1251100,1251199,Machinery,Maquinaria
