"id","name","code","account_type","tag_ids","reconcile","non_trade","name@es"
"l10n_bo_1112","Petty Cash","1112","asset_cash","","False","","Fondo fijo"
"l10n_bo_1114","Temporary Investments","1114","asset_cash","","False","","Inversiones Temporales"
"l10n_bo_1121","Commercial Accounts Receivable","1121","asset_receivable","account.account_tag_operating","True","","Cuentas por Cobrar Comerciales"
"l10n_bo_11211","Commercial Accounts Receivable - PoS","11211","asset_receivable","account.account_tag_operating","True","","Cuentas por Cobrar Comerciales - PoS"
"l10n_bo_1122","Other Accounts Receivable","1122","asset_receivable","account.account_tag_operating","True","","Otras Cuentas por Cobrar"
"l10n_bo_1123","Accounts Receivable from Related Companies","1123","asset_receivable","account.account_tag_operating","True","","Cuentas por Cobrar a Empresas Relacionadas"
"l10n_bo_1124","Advances to Suppliers","1124","asset_prepayments","account.account_tag_operating","False","","Anticipo a Proveedores"
"l10n_bo_1125","Provision for Bad Accounts","1125","asset_receivable","account.account_tag_operating","True","","Provisión para Cuentas Incobrables"
"l10n_bo_1131","Inventory - Finished Products","1131","asset_current","account.account_tag_operating","False","","Inventarios de Productos Terminados"
"l10n_bo_1132","Inventory - Work in Process","1132","asset_current","account.account_tag_operating","False","","Inventarios de Productos en Proceso"
"l10n_bo_1133","Inventory - Raw Materials","1133","asset_current","account.account_tag_operating","False","","Inventarios de Materia Prima"
"l10n_bo_11341","Stock Interim (Received)","11341","asset_current","account.account_tag_operating","False","","Inventario en Tránsito Entrante"
"l10n_bo_11342","Stock Interim (Delivered)","11342","asset_current","account.account_tag_operating","False","","Inventario en Tránsito Saliente"
"l10n_bo_1135","Inventory - Provision for Obsolescence","1135","asset_current","account.account_tag_operating","False","","Inventario - Provisión para Obsolescencias"
"l10n_bo_1141","IVA Tax Credit","1141","asset_current","account.account_tag_operating","False","","Crédito Fiscal IVA"
"l10n_bo_1142","Taxes to Recover","1142","asset_receivable","account.account_tag_operating","True","True","Impuestos por Recuperar"
"l10n_bo_1143","Advance Payments","1143","asset_current","account.account_tag_operating","False","","Pagos Anticipados"
"l10n_bo_1144","Other Current Assets","1144","asset_current","account.account_tag_investing","False","","Otros Activos Corrientes"
"l10n_bo_1211","Commercial Accounts Receivable - Long Term","1211","asset_receivable","account.account_tag_operating","True","","Cuentas por Cobrar Comerciales - Largo Plazo"
"l10n_bo_1212","Other Accounts Receivable - Long Term","1212","asset_receivable","account.account_tag_operating","True","","Otras Cuentas por Cobrar - Largo Plazo"
"l10n_bo_1213","Long-Term Accounts Receivable from Related and/or Linked Companies","1213","asset_receivable","account.account_tag_operating","True","","Cuentas por Cobrar Empresas Relacionadas y/o Vinculadas Largo Plazo"
"l10n_bo_1221","Inventory - Spare Parts","1221","asset_non_current","account.account_tag_investing","True","","Inventarios de Repuestos"
"l10n_bo_1222","Other Inventory","1222","asset_non_current","account.account_tag_investing","True","","Otros Inventarios"
"l10n_bo_1231","Land","1231","asset_fixed","account.account_tag_investing","False","","Terrenos"
"l10n_bo_1232","Buildings","1232","asset_fixed","account.account_tag_investing","False","","Edificios"
"l10n_bo_12321","Accumulated Depreciation Buildings","12321","asset_fixed","account.account_tag_investing","False","","Depreciación Acumulada Edificios"
"l10n_bo_1233","Machinery","1233","asset_fixed","account.account_tag_investing","False","","Maquinaria"
"l10n_bo_12331","Accumulated Depreciation Machinery","12331","asset_fixed","account.account_tag_investing","False","","Depreciación Acumulada Maquinaria"
"l10n_bo_1234","Vehicles","1234","asset_fixed","account.account_tag_investing","False","","Vehículos"
"l10n_bo_12341","Accumulated Depreciation Vehicles","12341","asset_fixed","account.account_tag_investing","False","","Depreciación Acumulada Vehículos"
"l10n_bo_1235","Furniture and Fixtures","1235","asset_fixed","account.account_tag_investing","False","","Muebles y Enseres"
"l10n_bo_12351","Accumulated Depreciation Furniture and Fixtures","12351","asset_fixed","account.account_tag_investing","False","","Depreciación Acumulada Muebles y Enseres"
"l10n_bo_1236","Computer Equipment","1236","asset_fixed","account.account_tag_investing","False","","Equipos de Computación"
"l10n_bo_12361","Accumulated Depreciation Computer Equipment","12361","asset_fixed","account.account_tag_investing","False","","Depreciación Acumulada Equipos de Computación"
"l10n_bo_124","Investment Properties","124","asset_non_current","account.account_tag_investing","False","","Propriedades de Inversión"
"l10n_bo_1251","Patents and Trademarks","1251","asset_non_current","account.account_tag_investing","False","","Patentes y Marcas"
"l10n_bo_12511","Accumulated Amortization Patents and Trademarks","12511","asset_non_current","account.account_tag_investing","False","","Amortización Acumulada Patentes y Marcas"
"l10n_bo_1252","Rights of Use","1252","asset_non_current","account.account_tag_investing","False","","Derechos de Llave"
"l10n_bo_12521","Accumulated Amortization Rights of Use","12521","asset_non_current","account.account_tag_investing","False","","Amortización Acumulada Derechos de Llave"
"l10n_bo_126","Permanent Investments","126","asset_non_current","account.account_tag_investing","False","","Inversiones Permanentes"
"l10n_bo_127","Other Non-Current Assets","127","asset_non_current","account.account_tag_operating","False","","Otros Activos No Corrientes"
"l10n_bo_2111","Bank loans","2111","liability_current","account.account_tag_financing","False","","Préstamos Bancarios"
"l10n_bo_2112","Other Financial Liabilities","2112","liability_current","account.account_tag_financing","False","","Otros Pasivos Financieros"
"l10n_bo_2113","Interest Payable","2113","liability_current","account.account_tag_financing","False","","Intereses por Pagar"
"l10n_bo_2121","Commercial Accounts Payable","2121","liability_payable","account.account_tag_operating","True","","Cuentas por Pagar Comerciales"
"l10n_bo_2122","Notes Payable Short Term","2122","liability_payable","account.account_tag_operating","True","","Documentos por Pagar Corto Plazo"
"l10n_bo_2123","Accounts Payable to Related Companies","2123","liability_payable","account.account_tag_operating","True","","Cuentas por Pagar a Empresas Relacionadas"
"l10n_bo_2131","Short-term Contributions and Withholdings","2131","liability_current","account.account_tag_operating","False","","Aportes y Retenciones a Corto Plazo"
"l10n_bo_2132","Wages Payable","2132","liability_current","account.account_tag_operating","False","","Sueldos por Pagar"
"l10n_bo_2133","Social Benefits Payable","2133","liability_current","account.account_tag_operating","False","","Beneficios Sociales por Pagar"
"l10n_bo_2134","Social Charges","2134","liability_current","account.account_tag_operating","False","","Cargos Sociales"
"l10n_bo_2135","IVA Tax Debit","2135","liability_current","account.account_tag_operating","False","","Débito Fiscal IVA"
"l10n_bo_2136","Transaction Tax Payable","2136","liability_current","account.account_tag_operating","True","","Impuesto a las Transacciones por Pagar"
"l10n_bo_2137","IT Withholdings Payable","2137","liability_current","account.account_tag_operating","False","","Retenciones IT por Pagar"
"l10n_bo_2138","IUE Withholdings Payable","2138","liability_current","account.account_tag_operating","False","","Retenciones IUE por Pagar"
"l10n_bo_2139","Other Tax Payable","2139","liability_current","account.account_tag_operating","False","","Otros Impuestos por Pagar"
"l10n_bo_21399","Taxes to Pay","21399","liability_payable","account.account_tag_operating","True","True","Impuestos por Pagar"
"l10n_bo_214","Provisions","214","liability_current","account.account_tag_operating","False","","Provisiones"
"l10n_bo_215","Deferred Income","215","liability_current","account.account_tag_financing","False","","Ingresos Diferidos"
"l10n_bo_216","Other Current Liabilities","216","liability_current","account.account_tag_financing","False","","Otros Pasivos Corrientes"
"l10n_bo_2211","Bank loans - Long Term","2211","liability_current","account.account_tag_operating","False","","Préstamos Bancarios a Largo Plazo"
"l10n_bo_2212","Other Long-Term Financial Liabilities","2212","liability_current","account.account_tag_operating","False","","Otros Pasivos Financieros a Largo Plazo"
"l10n_bo_2221","Notes Payable Long Term","2221","liability_payable","account.account_tag_operating","True","","Documentos por Pagar a Largo Plazo"
"l10n_bo_2222","Long-term Accounts Payable to Related Companies","2222","liability_non_current","account.account_tag_operating","False","","Cuentas por Pagar a Empresas Relacionadas a Largo Plazo"
"l10n_bo_223","Provision for Social Benefits (Personnel Compensation)","223","liability_non_current","account.account_tag_operating","False","","Provisión para Beneficios Sociales (Indemnizaciones al Personal)"
"l10n_bo_224","Other Non-Current Liabilities","224","liability_non_current","account.account_tag_operating","False","","Otros Pasivos No Corrientes"
"l10n_bo_3101","Paid Share Capital","3101","equity","account.account_tag_financing","False","","Capital Social Pagado"
"l10n_bo_3102","Contributions to Capitalize","3102","equity","account.account_tag_financing","False","","Aportes por Capitalizar"
"l10n_bo_3103","Capital Adjustment","3103","equity","account.account_tag_financing","False","","Ajuste de Capital"
"l10n_bo_3201","Legal Reserve","3201","equity","account.account_tag_financing","False","","Reserva Legal"
