id,code,name
nbs_101,1.01,Construction services
nbs_10101,1.0101,Building construction services
nbs_101011,1.0101.1,Residential building construction services
nbs_101011100,1.0101.11.00,Construction services for one and two-story residential buildings
nbs_101011200,1.0101.12.00,Construction services for residential buildings with more than two floors
nbs_101012,1.0101.2,Non-residential building construction services
nbs_101012100,1.0101.21.00,Industrial building construction services
nbs_101012200,1.0101.22.00,Commercial building construction services
nbs_101012900,1.0101.29.00,Non-residential building construction services not classified under previous subheadings
nbs_101013000,1.0101.30.00,Construction services for mixed-use buildings (residential and non-residential)
nbs_10102,1.0102,Civil engineering construction services
nbs_101021,1.0102.1,"Construction services for motorways (except elevated motorways), streets, roads, railways, airport runways and airport infrastructure"
nbs_101021100,1.0102.11.00,"Construction services for motorways (except elevated motorways), streets and roads"
nbs_101021200,1.0102.12.00,Railway construction services
nbs_101021300,1.0102.13.00,Construction services for runways and airport infrastructure
nbs_101022000,1.0102.20.00,"Bridge, elevated highway and tunnel construction services"
nbs_101023,1.0102.3,"Construction services for ports, waterways, dams, irrigation and other water works"
nbs_101023100,1.0102.31.00,Waterway access and protection infrastructure construction services
nbs_101023200,1.0102.32.00,Waterway docking infrastructure construction services
nbs_101023300,1.0102.33.00,Construction services for land infrastructure and related engineering works in ports
nbs_101023400,1.0102.34.00,Dam construction services
nbs_1010235,1.0102.35,"Construction services for free-flow pipelines, irrigation systems and watercourse control related services"
nbs_101023510,1.0102.35.10,Construction services for adductors in free conduits
nbs_101023520,1.0102.35.20,Irrigation system construction services
nbs_101023530,1.0102.35.30,"Construction services related to watercourse control, including channeling"
nbs_101024,1.0102.4,"Construction services for pipelines and communication lines, both long-distance, and high-voltage transmission lines"
nbs_1010241,1.0102.41,Long-haul pipeline construction services
nbs_101024110,1.0102.41.10,"Construction services for long-haul pipelines for the transportation of oil, its derivatives, and gas"
nbs_101024120,1.0102.41.20,Construction services for long-distance pipelines for the transport and drainage of water
nbs_101024190,1.0102.41.90,Long-haul pipeline construction services not classified under previous subheadings
nbs_1010242,1.0102.42,Construction services for long-distance communication lines and high-voltage transmission lines
nbs_101024210,1.0102.42.10,Long-distance communication line construction services
nbs_101024220,1.0102.42.20,High voltage transmission line construction services
nbs_101025,1.0102.5,Construction services for local pipelines and local low and medium voltage communication and transmission lines and other related construction services
nbs_101025100,1.0102.51.00,Local Pipeline Construction Services
nbs_1010252,1.0102.52,Construction services for local low and medium voltage communication and transmission lines and other related construction services
nbs_101025210,1.0102.52.10,Local communication line construction services
nbs_101025220,1.0102.52.20,Construction services for local low and medium voltage transmission lines
nbs_1010253,1.0102.53,"Construction services for sewage systems and station systems for lifting, treating and purifying water"
nbs_101025310,1.0102.53.10,Sewerage system construction services
nbs_101025320,1.0102.53.20,"Construction services for water pumping, treatment and purification station systems"
nbs_101026,1.0102.6,Industrial facility construction services
nbs_101026100,1.0102.61.00,Power plant construction services
nbs_101026900,1.0102.69.00,Construction services of industrial installations not classified in previous subheadings
nbs_101027000,1.0102.70.00,Construction services for mines and their industrial units
nbs_101028000,1.0102.80.00,Construction services for outdoor recreation and sports facilities
nbs_101029000,1.0102.90.00,Civil engineering construction services not classified under previous subheadings
nbs_10103,1.0103,Construction site preparation services
nbs_101031000,1.0103.10.00,Demolition services
nbs_101032000,1.0103.20.00,Site and construction site preparation services
nbs_101033000,1.0103.30.00,Excavation and earthmoving services
nbs_101034,1.0103.4,Water well drilling and septic system installation services
nbs_101034100,1.0103.41.00,Water Well Drilling Services
nbs_101034200,1.0103.42.00,Septic System Installation Services
nbs_101040000,1.0104.00.00,Prefabricated construction assembly and construction services
nbs_10105,1.0105,Specialized construction services
nbs_101051,1.0105.1,Piling and foundation services
nbs_101051100,1.0105.11.00,Staking services
nbs_101051200,1.0105.12.00,Foundation services
nbs_101052,1.0105.2,Structural construction services
