"id","phrase_type","phrase_description","scenario_code","scenario_description","pdf_message"
"l10n_gt_edi_phrase_type_1_code_1",1,"Frases de Retención del ISR",1,"Afiliado al ISR Régimen Sobre las Utilidades de Actividades Lucrativas.","Sujeto a pagos trimestrales ISR"
"l10n_gt_edi_phrase_type_1_code_2",1,"Frases de Retención del ISR",2,"Afiliado al ISR Régimen Opcional Simplificado Sobre Ingresos de Actividades Lucrativas (y NO cuenta con una Resolución de la SAT que le permitiría hacer el pago directo y le evitaría ser objeto de retención)","Sujeto a retención definitiva ISR"
"l10n_gt_edi_phrase_type_1_code_3",1,"Frases de Retención del ISR",3,"Afiliado al ISR Régimen Opcional Simplificado Sobre Ingresos de Actividades Lucrativas (y SÍ cuenta con una Resolución de la SAT que le permite hacer el pago directo y le evita ser objeto de retención)","Sujeto a pago directo ISR (XXXXX - dd/mm/aaaa)."
"l10n_gt_edi_phrase_type_2_code_1",2,"Frases de Agente de Retención del IVA",1,"Es Agente de Retención del IVA","Agente de Retención del IVA"
"l10n_gt_edi_phrase_type_3_code_1",3,Frase de no genera derecho a crédito fiscal del IVA,1,"El contribuyente está afiliado al IVA, en cualquiera de estos regímenes:
• Pequeño contribuyente
• Contribuyente Agropecuario
• Pequeño contribuyente Régimen Electrónico
• Contribuyente Agropecuario Régimen Electrónico Especial","No genera derecho a crédito fiscal"
"l10n_gt_edi_phrase_type_4_code_1",4,"Frases de exento o no afecto al IVA",1,"Exportaciones. Cuando el vendedor exporta bienes o servicios.","Exenta del IVA (art. 7 num. 2 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_2",4,"Frases de exento o no afecto al IVA",2,"Servicios que prestan las instituciones fiscalizadas por la Superintendencia de Bancos y las bolsas de valores autorizadas para operar en el país.","Exenta del IVA (art. 7 num. 4 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_3",4,"Frases de exento o no afecto al IVA",3,"Ventas de cooperativas. Cuando una cooperativa le vende bienes o servicios a sus asociados, cooperativas, federaciones, centrales de servicios y confederaciones de cooperativas.","Exenta del IVA (art. 7 num. 5 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_4",4,"Frases de exento o no afecto al IVA",4,"Donaciones. A asociaciones, fundaciones e instituciones educativas, culturales de asistencia o de servicio social y las religiosas no lucrativas.","Exenta del IVA (art. 7 num. 9 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_5",4,"Frases de exento o no afecto al IVA",5,"Pagos por el derecho de ser miembro y las cuotas periódicas a las asociaciones o instituciones sociales, gremiales, culturales, científicas, educativas y deportivas, así como a los colegios de profesionales y los partidos políticos.","Exenta del IVA (art. 7 num. 10 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_6",4,"Frases de exento o no afecto al IVA",6,"Servicios exentos que prestan asociaciones, fundaciones e instituciones educativas, de asistencia o de servicio social y las religiosas, y otras no lucrativas.","Exenta del IVA (art. 7 num. 13 Ley del IVA)"
"l10n_gt_edi_phrase_type_4_code_7",4,"Frases de exento o no afecto al IVA",7,"Venta de activos de Bancos o Sociedades Financieras a las que la Superintendencia de Bancos haya aprobado un plan de regulación en el que exista Junta de Exclusión de activos y pasivos, cuando se transfieran a otros Bancos o sociedades financieras, previa autorización de la Junta Monetaria.","Exenta del IVA (art. 7 num. 14 Ley del IVA)"
