id,code,name,ncms
nbm_0902100100,0902.10.0100,"CHA VERDE (NAO FERMENTADO),EM SAQUINHOS-FILTRO",09021000
nbm_0902100200,0902.10.0200,"CHA VERDE (NAO FERMENTADO),EM RECIPIENTES<=1KG",09021000
nbm_0902109900,0902.10.9900,"CHA VERDE (NAO FERMENTADO),1KG<RECIPIENTES<=3KG",09021000
nbm_0910300000,0910.30.0000,ACAFRAO-DA-TERRA (CURCUMA),09103000
nbm_1006209900,1006.20.9900,"ARROZ SEM CASCA ""CARGO"",NAO PARBOILIZADO",10062020
nbm_1101000100,1101.00.0100,FARINHA DE TRIGO,11010010
nbm_1104120000,1104.12.0000,"AVEIA EM GRAOS,ESMAGADOS OU EM FLOCOS",11041200
nbm_1104190100,1104.19.0100,"MILHO EM GRAOS,ESMAGADOS OU EM FLOCOS",11041900
nbm_1104199900,1104.19.9900,"OUTS.CEREAIS EM GRAOS,ESMAGADOS/EM FLOCOS",11041900
nbm_1104220100,1104.22.0100,"AVEIA EM GRAOS,DESCASCADOS",11042200
nbm_1104229900,1104.22.9900,"AVEIA EM GRAOS,EM PEROLAS/CORTADOS/PARTIDOS",11042200
nbm_1104299900,1104.29.9900,OUTS.CEREAIS EM GRAOS/PEROLAS/CORTADOS/PARTIDOS,11042900
nbm_1104300100,1104.30.0100,"GERME DE TRIGO,INTEIRO/ESMAGADO/FLOCOS/MOIDO",11043000
nbm_1104309900,1104.30.9900,"GERME DE OUTS.CEREAIS,INTEIRO/ESMAGADO/FLOCOS/MOIDO",11043000
nbm_1106200100,1106.20.0100,"FARINHA E SEMOLAS,DE MANDIOCA",11062000
nbm_1106200200,1106.20.0200,"FARINHA E SEMOLAS,DE RASPA DE MANDIOCA",11062000
nbm_1106209900,1106.20.9900,"FARINHA E SEMOLAS,DE SAGU/RAIZES/TUBERCULOS",11062000
nbm_1204000000,1204.00.0000,"SEMENTES DE LINHO (LINHACA),MESMO TRITURADA","12040010,12040090"
nbm_1207400000,1207.40.0000,"SEMENTES DE GERGELIM,MESMO TRITURADAS","12074010,12074090"
nbm_1207990000,1207.99.0000,"OUTS.SEMENTES/FRUTOS OLEAGINOSOS,MESMO TRITURADOS","12079910,12079990"
nbm_1208100000,1208.10.0000,FARINHA DE SOJA,12081000
nbm_1513190000,1513.19.0000,"OLEO DE COCO (OLEO DE COPRA),REFINADO",15131900
nbm_1702900101,1702.90.0101,"MALTOSE,MESMO EM XAROPE,QUIMICAMENTE PURA",17029000
nbm_1702900199,1702.90.0199,"QQ.OUT.MALTOSE,MESMO EM XAROPE",17029000
nbm_1702900200,1702.90.0200,"GALACTOSE,MESMO EM XAROPE",17029000
nbm_1702900300,1702.90.0300,SACAROSE MESMO EM XAROPE,17029000
nbm_1702900401,1702.90.0401,"MEL RICO,INVERTIDO",17029000
nbm_1702900499,1702.90.0499,QQ.OUT.ACUCAR INVERTIDO,17029000
nbm_1702900500,1702.90.0500,"SUCEDANEOS DO MEL,MESMO MISTURADOS COM MEL NATURAL",17029000
nbm_1702900600,1702.90.0600,"ACUCAR E MELACO,CARAMELIZADOS",17029000
nbm_1702900701,1702.90.0701,"OUTS.ACUCARES AROMATIZADOS,P/REFRESCO",17029000
nbm_1702900799,1702.90.0799,QQ.OUT.ACUCAR AROMATIZADO/ADICIONADO DE CORANTE,17029000
nbm_1702909900,1702.90.9900,OUTS.ACUCARES,17029000
nbm_1902110000,1902.11.0000,"MASSAS ALIMENTICIAS,C/OVOS,N/RECHEADAS,N/COZIDAS/ETC",19021100
nbm_1904100100,1904.10.0100,"ARROZ INFLADO,DA EXPANSAO OU TORREFACAO","19041000,19042000"
nbm_1904100200,1904.10.0200,"FLOCOS DE MILHO,DA EXPANSAO OU TORREFACAO","19041000,19042000"
nbm_1904109900,1904.10.9900,"OUTS.PRODS.DE CEREAIS,OBTIDOS POR EXPANSAO/TORREFACAO","19041000,19042000"
nbm_1905100000,1905.10.0000,"PAO DENOMINADO ""KNACKEBROT""",19051000
nbm_1905400100,1905.40.0100,TORRADAS/PAES TORRADOS S/ACUCAR/MEL/OVOS/GORDURAS/ETC.,19054000
nbm_1905409901,1905.40.9901,"PAO DE FORMA,MESMO P/USO DIETETICO,TORRADO",19054000
nbm_1905409902,1905.40.9902,"OUTS.PAES TORRADOS E SEMELHANTES,P/USO DIETETICO",19054000
nbm_1905409999,1905.40.9999,"QQ.OUT.TORRADA/PAO TORRADO/SEMELHANTES,TORRADOS",19054000
nbm_2106100000,2106.10.0000,CONCENTRADO DE PROTEINAS E SUBSTANCIAS PROTEICAS,21061000
nbm_2106900300,2106.90.0300,XAROPES AROMATIZADOS/ADICIONADOS DE CORANTES,"21069010,21069090"
nbm_2106900700,2106.90.0700,GUARANA SOLUVEL,"21069010,21069090"
nbm_2106901101,2106.90.1101,"PREPAR.P/BEBIDA,C/XAROPE/EXTR.COCA,1 P/10 PARTES REFRIG",21069010
nbm_2106901199,2106.90.1199,"QQ.OUT.PREPARACAO P/BEBIDA,C/XAROPE/EXTRATO DE COCA/ETC",21069010
nbm_2106901201,2106.90.1201,"PREPAR.P/BEBIDA,C/XAROPE/AC.CITRIC.1 P/10 PARTES REFRIG",21069010
nbm_2106901299,2106.90.1299,"QQ.OUT.PREPARACAO P/BEBIDA,C/XAROPE/ACIDO CITRICO/ETC.",21069010
nbm_2106901301,2106.90.1301,"PREPAR.P/BEBIDA,C/SUCO DE FRUTAS,1 P/10 PARTES REFRIG.",21069010
nbm_2106901399,2106.90.1399,"QQ.OUT.PREPARACAO P/BEBIDA,C/SUCO DE FRUTAS",21069010
nbm_2106901401,2106.90.1401,"PREPAR.P/BEBIDA,C/EXTR.SEM.GUARANA,1 P/10 PARTES REFRIG",21069010
nbm_2106901499,2106.90.1499,"QQ.OUT.PREPARACAO P/BEBIDA,C/EXTRATO DE SEMENTE GUARANA",21069010
nbm_2106901501,2106.90.1501,"PREPAR.P/BEBIDA,C/EXTR.OUT.SEMENTE,1 P/10 PARTES REFRIG",21069010
nbm_2106901599,2106.90.1599,"QQ.OUT.PREPARACAO P/BEBIDA,C/EXTRATO DE OUT.SEMENTE",21069010
nbm_2106901601,2106.90.1601,OUTS.PREPAR.ALIM.P/BEBIDA N/ALCOOL.1 P/10 PARTES REFRIG,21069010
nbm_2106901699,2106.90.1699,"QQ.OUT.PREPARACAO P/BEBIDA,COMPOSTA",21069010
