id,code,exception,name,tax_ipi_id:id,tax_ii_id:id,uoe_id:id
ncm_00000000,0000.00.00,,Sem NCM,,,
ncm_73239900,7323.99.00,,"Serviços de mesa, artigos de cozinha e outros artigos de uso doméstico, e suas partes, de ferro fundido, ferro ou aço; palha de ferro ou aço; esponjas, esfregões, luvas e artigos semelhantes para limpeza, polimento ou usos semelhantes, de ferro ou aço. - Outros: Outros",tax_ipi_10,tax_ii_18,uom.product_uom_kgm
ncm_73269090,7326.90.90,,Outras obras de ferro ou aço. - Outras,tax_ipi_5,tax_ii_18,uom.product_uom_kgm
ncm_94013090,9401.30.90,,"Assentos (exceto os da posição 94.02), mesmo transformáveis em camas, e suas partes. - Assentos giratórios de altura ajustável",tax_ipi_5,tax_ii_0,uom.product_uom_unit
ncm_94016100,9401.61.00,,"Assentos (exceto os da posição 94.02), mesmo transformáveis em camas, e suas partes. - Outros assentos, com armação de madeira: Estofados",tax_ipi_5,tax_ii_0,uom.product_uom_unit
ncm_94031000,9403.10.00,,"Outros móveis e suas partes. - Móveis de metal, do tipo utilizado em escritórios",tax_ipi_5,tax_ii_0,uom.product_uom_unit
ncm_94033000,9403.30.00,,"Outros móveis e suas partes. - Móveis de madeira, do tipo utilizado em escritórios",tax_ipi_5,tax_ii_0,uom.product_uom_unit
ncm_94052000,9405.20.00,,"Aparelhos de iluminação (incluindo os projetores) e suas partes, não especificados nem compreendidos noutras posições; anúncios, cartazes ou tabuletas e placas indicadoras, luminosos, e artigos semelhantes, que contenham uma fonte luminosa fixa permanente, e suas partes não especificadas nem compreendidas noutras posições. - Abajures (Candeeiros*) de cabeceira, de escritório e lampadários de interior, elétricos",tax_ipi_15,tax_ii_0,uom.product_uom_kgm
ncm_96100000,9610.00.00,,"Lousas e quadros para escrever ou desenhar, mesmo emoldurados.",tax_ipi_0,tax_ii_0,uom.product_uom_kgm
ncm_09021000,0902.10.00,,"Chá, mesmo aromatizado. - Chá verde (não fermentado) em embalagens imediatas de conteúdo não superior a 3 kg",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_09103000,0910.30.00,,"Gengibre, açafrão, cúrcuma, tomilho, louro, caril e outras especiarias. - Cúrcuma",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_10011900,1001.19.00,,Trigo e mistura de trigo com centeio (méteil). - Trigo duro: Outros,tax_ipi_nt,tax_ii_10,uom.product_uom_kgm
ncm_10062020,1006.20.20,,Arroz. - Arroz descascado (arroz cargo ou castanho),tax_ipi_nt,tax_ii_10,uom.product_uom_kgm
ncm_10085090,1008.50.90,,"Trigo mourisco, painço e alpiste; outros cereais. - Quinoa (Chenopodium quinoa)",tax_ipi_nt,tax_ii_8,uom.product_uom_kgm
ncm_11010010,1101.00.10,,Farinhas de trigo ou de mistura de trigo com centeio (méteil). De trigo,tax_ipi_nt,tax_ii_12,uom.product_uom_kgm
ncm_11041200,1104.12.00,,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos. - Grãos esmagados ou em flocos: De aveia",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_11041900,1104.19.00,,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos. - Grãos esmagados ou em flocos: De outros cereais",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_11042200,1104.22.00,,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos. - Outros grãos trabalhados (por exemplo, descascados, em pérolas, cortados ou partidos): De aveia",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_11042900,1104.29.00,,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos. - Outros grãos trabalhados (por exemplo, descascados, em pérolas, cortados ou partidos): De outros cereais",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
ncm_11043000,1104.30.00,,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06; germes de cereais, inteiros, esmagados, em flocos ou moídos. - Germes de cereais, inteiros, esmagados, em flocos ou moídos",tax_ipi_0,tax_ii_10,uom.product_uom_kgm
