"id","l10n_hu_tax_type"
"F27","VAT"
"F18","VAT"
"F5","VAT"
"FA","AAM"
"FT","TAM"
"FKKS","ATK"
"FKKT","ATK"
"FEUSZ","KBAET"
"FEUT","KBAET"
"FEXS","NAM"
"FEXT","EAM"
"V27","VAT"
"V27TE","VAT"
"V18","VAT"
"V5","VAT"
"VKOMP7","VAT"
"VKOMP12","VAT"
"VA","AAM"
"VT","TAM"
"VKKS","ATK"
"VKKT","ATK"
"VF","DOMESTIC_REVERSE"
"VEU27S","EUFAD37"
"VEU27T","EUFAD37"
"VEU27TE","EUFAD37"
"VEU18S","EUFAD37"
"VEU18T","EUFAD37"
"VEU5S","EUFAD37"
"VEU5T","EUFAD37"
"VEUM","EUFADE"
"VIMS","ATK"
"VIMK","ATK"
"VIM","HO"
"F27S","VAT"
"F18S","VAT"
"F5S","VAT"
"V27S","VAT"
"V18S","VAT"
"V5S","VAT"
