"id","name","description","invoice_label","type_tax_use","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids"
"mu_tax_sale_15","15%","15% Standard rate","15%","sale","percent","15","mu_tax_group_vat_15","True","base","invoice","","","T1_4_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","mu_tax_received","T1_4_vat","",""
"","","","","","","","","","base","refund","","","T1_4_value","",""
"","","","","","","","","","tax","refund","","mu_tax_received","T1_4_vat","",""
"mu_tax_sale_0","0%","0% Zero rated","0%","sale","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T1_2_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T1_2_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_sale_0_export","0% EX","0% Export","0%","sale","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T1_1_value","mu_fp_ex","mu_tax_sale_15"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T1_1_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_sale_exempt","0% Exempt","0% Exempt","0%","sale","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T3_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T3_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_purchase_15","15%","15%","15%","purchase","percent","15","mu_tax_group_vat_15","True","base","invoice","","","T6_6_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","mu_tax_paid","T6_6_vat","",""
"","","","","","","","","","base","refund","","","T6_6_value","",""
"","","","","","","","","","tax","refund","","mu_tax_paid","T6_6_vat","",""
"mu_tax_purchase_15_import","15% EX","15% Import","15%","purchase","percent","15","mu_tax_group_vat_15","True","base","invoice","","","T6_3_value","mu_fp_ex","mu_tax_purchase_15"
"","","","","","","","","","tax","invoice","","mu_tax_paid","T6_3_vat","",""
"","","","","","","","","","base","refund","","","T6_3_value","",""
"","","","","","","","","","tax","refund","","mu_tax_paid","T6_3_vat","",""
"mu_tax_purchase_15_capital","15% Capital","15% Capital","15%","purchase","percent","15","mu_tax_group_vat_15","True","base","invoice","","","T6_4_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","mu_tax_paid","T6_4_vat","",""
"","","","","","","","","","base","refund","","","T6_4_value","",""
"","","","","","","","","","tax","refund","","mu_tax_paid","T6_4_vat","",""
"mu_tax_purchase_15_import_capital","15% EX Capital","15% Import Capital","15%","purchase","percent","15","mu_tax_group_vat_15","True","base","invoice","","","T6_1_value","mu_fp_ex","mu_tax_purchase_15_capital"
"","","","","","","","","","tax","invoice","","mu_tax_paid","T6_1_vat","",""
"","","","","","","","","","base","refund","","","T6_1_value","",""
"","","","","","","","","","tax","refund","","mu_tax_paid","T6_1_vat","",""
"mu_tax_purchase_0","0%","0% Zero rated","0%","purchase","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T6_5_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T6_5_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_purchase_0_import","0% EX","0% Import","0%","purchase","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T6_2_value","mu_fp_ex",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T6_2_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_purchase_exempt","0% Exempt","0% Exempt","0%","purchase","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T8_2_value","mu_fp_domestic",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T8_2_value","",""
"","","","","","","","","","tax","refund","","","","",""
"mu_tax_purchase_import_exempt","0% EX Exempt","0% Import Exempt","0%","purchase","percent","0","mu_tax_group_vat_0","True","base","invoice","","","T8_1_value","mu_fp_ex","mu_tax_purchase_exempt"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","T8_1_value","",""
"","","","","","","","","","tax","refund","","","","",""
