"id","code","name","tag_ids","account_type","description","reconcile","non_trade","active","parent_id","depreciation_model_id","name@zh_HK","description@zh_HK"
"l10n_hk_110000","110000","Cash and cash equivalents","","asset_cash","Parent account for all cash equivalents","False","False","False","","","現金及現金等價物","所有現金等價物的母賬戶"
"l10n_hk_110100","110100","Bank","","asset_cash","Main operating bank accounts","True","False","True","l10n_hk_110000","","銀行","營業主要往來銀行賬戶"
"l10n_hk_110200","110200","Cash","","asset_cash","Petty cash and cash on hand","True","False","True","l10n_hk_110000","","現金","零用現金及手頭現金"
"l10n_hk_110300","110300","Stripe Issuing","","asset_current","Card issuing clearing account","True","False","True","l10n_hk_110000","","Stripe Issuing","發卡功能結算賬戶"
"l10n_hk_110400","110400","Bank Suspense Account","","asset_current","Temporary holding for unidentified bank lines","True","False","True","l10n_hk_110000","","銀行暫記賬","未識別銀行款項的臨時記賬賬戶"
"account_journal_payment_debit_account_id","110500","Outstanding Receipts","","asset_current","Incoming payments pending reconciliation","True","False","True","l10n_hk_110000","","未結清收款","有待對賬的收款"
"account_journal_payment_credit_account_id","110600","Outstanding Payments","","asset_current","Outgoing payments pending reconciliation","True","False","True","l10n_hk_110000","","未結清付款","有待對賬的對外付款"
"l10n_hk_110700","110700","Funds in Transit","","asset_current","Funds transferring between accounts or gateways","False","False","True","l10n_hk_110000","","在途資金","正於賬戶間或網關之間轉賬途中的資金"
"l10n_hk_120000","120000","Trade and other receivables","","asset_current","Parent account for receivables","False","False","False","","","貿易及其他應收款項","應收款項的母賬戶"
"l10n_hk_120100","120100","Account Receivable","account.account_tag_operating","asset_receivable","Trade receivables from customers","True","False","True","l10n_hk_120000","","應收款項","客戶未付的貿易應收款項"
"l10n_hk_120200","120200","Account Receivable (PoS)","account.account_tag_operating","asset_receivable","Receivables from Point of Sale systems","True","False","True","l10n_hk_120000","","應收款項 (POS)","來自銷售點 (POS) 系統的應收款項"
"l10n_hk_120300","120300","Other Receivable","account.account_tag_operating","asset_receivable","Non-trade related receivables","True","True","True","l10n_hk_120000","","其他應收款項","非貿易相關的應收款項"
"l10n_hk_120400","120400","Amount Due from Directors","account.account_tag_operating","asset_current","Advances or loans to directors","False","False","True","l10n_hk_120000","","應收董事款項","預支或借貸給董事的款項"
"l10n_hk_125100","125100","Utility & Rental Deposit","account.account_tag_operating","asset_current","Deposits paid for office rent and utilities","False","False","True","l10n_hk_120000","","水電煤或租金按金","已付的辦公室租賃或公用事業按金"
"l10n_hk_125200","125200","Sundry Deposits","account.account_tag_operating","asset_current","Miscellaneous deposits paid","False","False","True","l10n_hk_120000","","雜項按金","已付的雜項按金"
"l10n_hk_125300","125300","Supplier Prepayments","account.account_tag_operating","asset_prepayments","Advances paid to suppliers","False","False","True","l10n_hk_120000","","預繳供應商款項","預繳給供應商的款項"
"l10n_hk_125400","125400","Prepaid Expenses","account.account_tag_operating","asset_prepayments","Expenses paid in advance (e.g. annual insurance)","False","False","True","l10n_hk_120000","","預繳開支","預繳開支費用 (例如保險全年保費)"
"l10n_hk_126000","126000","Assets for current tax","","asset_current","Parent account for current tax assets","False","False","False","","","當期稅項資產","當期稅項資產的母賬戶"
