"id","code","name","account_type","reconcile","name@id","non_trade","depreciation_model_id","tax_ids","description","description@id"
"l10n_id_11110001","11110001","Cash","asset_cash","False","Kas","","","","Companys main cash on hand","Kas yang dimiliki perusahaan untuk operasi harian."
"l10n_id_11110010","11110010","Petty Cash","asset_cash","False","Kas Kecil","","","","Small cash fund for minor expenses","Dana kas kecil untuk pengeluaran minor."
"l10n_id_11120001","11120001","Bank Suspense","asset_current","True","Rekening Perantara Bank","","","","Temporary account for unclear bank transactions","Rekening sementara untuk transaksi bank yang tidak jelas."
"l10n_id_11120002","11120002","Outstanding Receipts","asset_current","True","Penerimaan Dalam Proses","","","","Receivables expected but not yet collected","Piutang yang diharapkan namun belum diterima."
"l10n_id_11120003","11120003","Outstanding Payments","asset_current","True","Pembayaran Dalam Proses","","","","Payables due but not yet paid","Utang yang jatuh tempo tetapi belum dibayar."
"l10n_id_11120004","11120004","Bank","asset_cash","True","Bank","","","","Company bank account for transactions","Rekening bank perusahaan untuk transaksi."
"l10n_id_11120005","11120005","Stripe Issuing","asset_cash","True","Stripe Penerbitan","","","","Payment processing account via Stripe","Rekening pemrosesan pembayaran melalui Stripe."
"l10n_id_11210010","11210010","Account Receivable","asset_receivable","True","Piutang Dagang","","","","Amounts owed by customers for sales","Jumlah yang terutang oleh pelanggan dari penjualan."
"l10n_id_11210011","11210011","Account Receivable (PoS)","asset_receivable","True","Piutang Dagang (PoS)","","","","Receivables generated from Point-of-Sale transactions","Piutang yang berasal dari transaksi Point-of-Sale."
"l10n_id_11210020","21100013","Employee Liabilities","liability_current","True","Kewajiban Karyawan","","","","Amounts owed by employees (advances, loans)","Jumlah yang terutang oleh karyawan (uang muka, pinjaman)."
"l10n_id_11210012","11210012","VAT Receivable","asset_receivable","True","Piutang PPN","True","","","VAT Receivable from the net of Input and Output VAT.","Piutang PPN dari selisih PPN masukan dan keluaran."
"l10n_id_11210013","11210013","STLG Receivable","asset_receivable","True","Piutang PPN Barang Mewah","True","","","VAT Receivable - luxury goods from the net of Input and Output VAT.","Piutang PPN barang mewah dari selisih PPN masukan dan keluaran."
"l10n_id_11210014","11210014","PPh 28A","asset_receivable","True","PPh 28A","True","","","Corporate tax receivable for the year (PPh 28A)","Piutang badan terutang untuk tahun berjalan (PPh 28A)."
"l10n_id_11210030","11210030","VAT Purchase","asset_current","False","PPN Masukan","","","","VAT paid on purchases","PPN yang dibayar untuk pembelian."
"l10n_id_11210040","11210040","Prepaid Expense","asset_current","False","Biaya Dibayar Dimuka","","","","Expenses paid in advance for goods or services","Beban yang telah dibayar dimuka untuk suatu jasa atau barang"
"l10n_id_11300180","11300180","Inventory","asset_current","False","Persediaan","","","","Inventory items not classified under main stock","Persediaan yang tidak termasuk dalam kategori utama."
"l10n_id_11410010","11410010","Building Rent","asset_prepayments","False","Sewa Gedung","","","","Prepaid rent for office or building facilities","Sewa gedung dibayar di muka untuk kantor atau fasilitas gedung."
"l10n_id_11410020","11410020","Prepaid Insurance","asset_prepayments","False","Asuransi Dibayar Dimuka","","","","Insurance premiums paid in advance","Premi asuransi yang dibayar di muka."
"l10n_id_11410030","11410030","Prepaid Advertisement-Fee","asset_prepayments","False","Iklan Dibayar Dimuka","","","","Prepaid advertising fees","Biaya iklan dibayar di muka."
"l10n_id_11510010","11510010","Prepaid Tax PPh 21","asset_prepayments","False","Pajak PPh 21 Dibayar Dimuka","","","","Prepaid employee income tax (PPh 21)","Pajak penghasilan karyawan dibayar di muka (PPh 21)."
"l10n_id_11510020","11510020","Prepaid Tax PPh 22","asset_prepayments","False","Pajak PPh 22 Dibayar Dimuka","","","","Prepaid tax on imports/exports (PPh 22)","Pajak dibayar dimuka atas impor/ekspor (PPh 22)."
"l10n_id_11510030","11510030","Prepaid Tax PPh 23","asset_prepayments","False","Pajak PPh 23 Dibayar Dimuka","","","","Prepaid withholding tax on services (PPh 23)","Pajak dibayar dimuka atas jasa (PPh 23)."
"l10n_id_11510040","11510040","Prepaid Tax PPh 25","asset_prepayments","False","Pajak PPh 25 Dibayar Dimuka","","","","Prepaid corporate income tax installment (PPh 25)","Angsuran pajak penghasilan badan dibayar dimuka (PPh 25)."
"l10n_id_11800000","11800000","Down Payment","asset_prepayments","False","Uang Muka","","","","Payments made in advance for goods or services","Pembayaran dimuka untuk barang atau jasa."
"l10n_id_12210100","12210100","Land","asset_fixed","False","Tanah","","","tax_PT4","Land ownership rights (non-depreciable).","Hak kepemilikan tanah (tidak disusutkan)."
"l10n_id_12210200","12210200","Buildings - Permanent","asset_fixed","False","Bangunan Permanen","","asset_20_year_linear","tax_PT4","Permanent structures (Concrete/Brick) - 20 Years.","Bangunan permanen (Beton/Batu) - 20 Tahun."
"l10n_id_12210210","12210210","Buildings - Non-Permanent","asset_fixed","False","Bangunan Non-Permanen","","asset_10_year_linear","tax_PT4","Temporary structures or site offices - 10 Years.","Bangunan sementara atau direksi keet - 10 Tahun."
"l10n_id_12210300","12210300","Motorcycles","asset_fixed","False","Sepeda Motor","","asset_4_year_linear","tax_PT4","Two-wheeled vehicles (Group 1).","Kendaraan roda dua (Golongan 1)."
"l10n_id_12210310","12210310","Operational Vehicles","asset_fixed","False","Kendaraan Operasional","","asset_8_year_linear","tax_PT4","Passenger cars, sedans, vans (Group 2).","Mobil penumpang, sedan, van (Golongan 2)."
"l10n_id_12210320","12210320","Heavy Vehicles","asset_fixed","False","Kendaraan Berat","","asset_8_year_linear","tax_PT4","Trucks, buses, forklifts (Group 2).","Truk, bus, forklift (Golongan 2)."
"l10n_id_12210400","12210400","IT Equipment","asset_fixed","False","Perlengkapan IT","","asset_4_year_linear","tax_PT4","Computers, laptops, servers (Group 1).","Komputer, laptop, server (Golongan 1)."
"l10n_id_12210410","12210410","Communication Devices","asset_fixed","False","Alat Komunikasi","","asset_4_year_linear","tax_PT4","Mobile phones, tablets, fax (Group 1).","Ponsel, tablet, faksimili (Golongan 1)."
"l10n_id_12210420","12210420","Office Electronics","asset_fixed","False","Elektronik Kantor","","asset_8_year_linear","tax_PT4","Photocopiers, projectors (Group 2).","Mesin fotokopi, proyektor (Golongan 2)."
"l10n_id_12210430","12210430","Appliances","asset_fixed","False","Peralatan Pantry","","asset_4_year_linear","tax_PT4","Kitchen and pantry electronics (Group 1).","Elektronik dapur dan pantry (Golongan 1)."
"l10n_id_12210500","12210500","Furniture (Wood/Rattan)","asset_fixed","False","Perabot (Kayu/Rotan)","","asset_4_year_linear","tax_PT4","Furniture made of wood or rattan (Group 1).","Perabot berbahan kayu atau rotan (Golongan 1)."
"l10n_id_12210510","12210510","Furniture (Metal/Mixed)","asset_fixed","False","Perabot (Logam/Campuran)","","asset_8_year_linear","tax_PT4","Furniture made of metal or mixed materials (Group 2).","Perabot berbahan logam atau campuran (Golongan 2)."
