"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","account_ids/account_src_id","account_ids/account_dest_id","name@nl","name@de"
"l10n_nl_domestic_fiscal_position","10","NL Domestic","1","","base.nl","l10n_nl.mainland_nl","","","Binnenland","Inländische"
"fiscal_position_template_national","20","Domestic","1","","","l10n_nl.mainland_nl","","","Binnenland","Inländische"
"fiscal_position_template_transferred","","VAT reverse charge","","","","","","","BTW verlegd","Umkehrung der Steuerschuldnerschaft"
"fiscal_position_template_eu_private","40","EU private B2C","1","","","account.europe_vat","","","",""
"fiscal_position_template_eu","30","EU intra B2B","1","1","","account.europe_vat","","","",""
"","","","","","","","7001","7002","",""
"","","","","","","","7005","7006","",""
"","","","","","","","7009","7010","",""
"","","","","","","","8001","8002","",""
"","","","","","","","8011","8012","",""
"","","","","","","","8021","8022","",""
"fiscal_position_template_non_eu","50","EU non-intra","1","","","","","","Niet-EU landen","EU nicht-intra"
"","","","","","","","7001","7003","",""
"","","","","","","","7005","7007","",""
"","","","","","","","7009","7011","",""
"","","","","","","","8001","8003","",""
"","","","","","","","8011","8013","",""
"","","","","","","","8021","8023","",""
"fiscal_position_template_eu_no_taxes_report","","Installation and Distance Selling","","","","","","","Installatie en Afstandsverkopen","Installation und Fernabsatz"
"","","","","","","","8001","8110","",""
"","","","","","","","8011","8120","",""
"","","","","","","","8021","8130","",""
