id,name,code,account_type,tag_ids,reconcile
1410,Property Income,1410,income_other,,False
1420,Sale of goods and services,1420,income,,False
14211,Rent & rates - produced assets,14211,income,,False
14212,Sale of produced assets,14212,income,,False
1440,Transfers,1440,income_other,,False
14511,Premiums receivable,14511,income_other,,False
14513,Current claims receivable,14513,income_other,,False
1452,Capital Claims receivable,1452,income_other,,False
191001,Clearing Account - Discount Taken,191001,income,,False
191002,Clearing Account - Unallocated Revenue,191002,income,,False
191003,Clearing Account - Income Offset Account,191003,income,,False
2111,Wages and Salaries - Cash,2111,expense,,False
2112,Wages and salaries - in kind,2112,expense,,False
2121,Employers' Social Contributions-Actual,2121,expense,,False
2122,Employer's Social Contributions-Imputed,2122,expense,,False
2210,General use of goods and services,2210,expense,,False
221018,Exchange losses/gains,221018,expense,,False
221019,Discounts Allowed,221019,expense,,False
2220,Communications,2220,expense,,False
2230,Utility and Property Expenses,2230,expense,,False
2240,Supplies and Services,2240,expense,,False
2251,Consultancy Services- Recurrent,2251,expense,,False
2252,Consultancy Services- Capital,2252,expense,,False
2260,Insurances and Licenses,2260,expense,,False
2270,Travel and Transport,2270,expense,,False
2280,Maintenance,2280,expense,,False
2291,Net change in inventories,2291,expense,,False
2292,Sale of goods purchased for resale,2292,expense,,False
2311,Depreciation of buildings and structures,2311,expense_depreciation,,False
2312,Depreciation of machinery and equipments,2312,expense_depreciation,,False
2314,Depreciation of other assets,2314,expense_depreciation,,False
2634,Other Transfers,2634,expense,,False
2711,Social security benefits in cash,2711,expense,,False
2712,Social security benefits in kind,2712,expense,,False
2721,Social assistance benefits in cash,2721,expense,,False
2722,Social assistance benefits in kind,2722,expense,,False
2731,Employment-related social benefits in cash,2731,expense,,False
2732,Employment-related social benefits in in kind,2732,expense,,False
2811,Dividends,2811,expense,,False
2812,Withdrawals from income of quasi - corporations,2812,expense,,False
2813,Property expense for investment income disbursements,2813,expense,,False
2814,Rent,2814,expense,,False
2815,Reinvested earnings on foreign direct investment,2815,expense,,False
2821,Current transfers not elsewhere classified,2821,expense,,False
2822,Capital transfers not elsewhere classified,2822,expense,,False
2823,Tax expenditures,2823,expense,,False
2831,"Premiums, fees and current claims payable",2831,expense,,False
2832,Capital claims payable,2832,expense,,False
291001,Clearing Account - Bank Charges,291001,expense,,False
291002,Clearing Account - Exchange Losses/Gains,291002,expense,,False
291003,Clearing Account - Discounts Allowed,291003,expense,,False
291004,Clearing Account - Purchase Price Variance,291004,expense,,False
291005,Clearing Account - Bank Errors,291005,expense,,False
291006,Clearing Account - Cost of Goods Sold,291006,expense,,False
310111,Residential Buildings,310111,asset_fixed,,False
310119,Other Dwellings,310119,asset_fixed,,False
310121,Non-Residential Buildings,310121,asset_fixed,,False
310129,Other Buildings other than dwellings,310129,asset_fixed,,False
31013,Structures,31013,asset_fixed,,False
31014,Land Improvements,31014,asset_fixed,,False
31021,Transport equipment,31021,asset_fixed,,False
31022,ICT equipment,31022,asset_fixed,,False
31023,Machinery and other equipment,31023,asset_fixed,,False
31031,Classified assets,31031,asset_fixed,,False
31041,Biological assets,31041,asset_fixed,,False
31042,Intellectual property product,31042,asset_fixed,,False
31043,Intellectual property rights,31043,asset_fixed,,False
