"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile",note
"tr101","Alınan Çekler",101,"asset_current","l10n_tr.chart_template_common",,"False","Bu hesap gerçek ve tüzel kişiler tarafından işletmeye verilmiş olup, henüz tahsil için bankaya verilmemiş veya ciro edilmemiş olan çeklerin izlenmesini sağlar.\n\nİşleyişi :\n\nAlınan çeklerin yazılı değerleri ile borç, bankadan tahsil veya ciro edildiğinde alacak kaydedilir."
"tr102997","Tahsil Edilmeyen Ödemeler",102997,"asset_current","l10n_tr.chart_template_common",,"True",
"tr102998","Tasdik Edilmemiş Ödemeler",102998,"asset_current","l10n_tr.chart_template_common",,"True",
"tr102999","Banka Geçici Muallak Hesabı",102999,"asset_current","l10n_tr.chart_template_common",,"False",
"tr108","Diğer Hazır Değerler",108,"asset_current","l10n_tr.chart_template_common",,"False","Nitelikleri itibarıyla hazır değer sayılan pullar, vadesi gelmiş kuponlar, tahsil edilecek banka ve posta havaleleri (yoldaki paralar gibi) değerleri kapsar.\n\nİşleyişi :\n\nBu değerler elde edildiğinde hesabın borcuna, elden çıkarıldığında da hesabın alacağına kaydedilir."
"tr110","Hisse Senetleri",110,"asset_current","l10n_tr.chart_template_common",,"False","Geçici olarak, elde tutulan hisse senetleri bu hesapta izlenir."
"tr111","Özel Kesim Tahvil Senet Ve Bonoları",111,"asset_current","l10n_tr.chart_template_common",,"False","Özel sektörün çıkartmış bulunduğu tahvil, senet ve bonolar bu hesapta izlenir."
"tr112","Kamu Kesimi Tahvil, Senet ve Bonoları",112,"asset_current","l10n_tr.chart_template_common",,"False","Kamu tarafından çıkartılmış bulunan tahvil, senet ve bonolar bu hesapta izlenir."
"tr118","Diğer Menkul Kıymetler",118,"asset_current","l10n_tr.chart_template_common",,"False","Hisse senetleri, kamu ve özel sektör tarafından çıkarılmış bulunan tahvil, bono ve senetlerin dışındaki diğer menkul kıymetlerin takip edildiği hesaptır.\n\nMenkul Kıymetler Hesaplarının İşleyişi:\n\nMenkul kıymetler edinildiğinde alış bedeli üzerinden yukarıdaki hesaplara borç, elden çıkartıldığında ise, aynı bedel ile alacak kaydedilir.\n\nMenkul kıymetlerin satınalma giderleri ""65. Diğer Faaliyetlerden Olağan Gider Ve Zararlar"" grubundaki ilgili gider hesabında izlenir. Menkul kıymetlerin satışından doğan zararlar ""Diğer Faaliyetlerden Olağan Gider ve Zararlar"" grubundaki ilgili hesapta; kârlar ise ""64. Diğer Faaliyetlerden Olağan Gelir ve Kârlar"" grubundaki ilgili hesapta izlenir."
"tr119","Menkul Kıymetler Değer Düşüklüğü Karşılığı(-)",119,"asset_current","l10n_tr.chart_template_common",,"False","Menkul kıymetlerin borsa veya piyasa değerlerinde önemli ölçüde ya da sürekli olarak değer azalması olduğu tespit edildiğinde ortaya çıkacak zararların karşılanması amacı ile ayrılması gereken karşılıkların izlendiği hesaptır.\n\nİşleyişi :\n\nDeğer azalışları için azalışın tamamını karşılayacak olan tutar bu hesaba alacak ""65. Diğer Faaliyetlerden Olağan Gider ve Zararlar"" grubunda yer alan ""654. Karşılık Giderleri"" hesabına borç kaydedilir. Kendisine karşılık ayrılmış olan menkul kıymet elden çıkarıldığında veya değer düşüklüğünün gerçekleşmemesi halinde bu hesaba borç kaydedilerek, karşılık tutarı ""644. Konusu Kalmayan Karşılıklar Hesabı""na aktarılarak kapatılır."
"tr120","Alıcılar",120,"asset_receivable","l10n_tr.chart_template_common",,"True","Bu hesap, işletmenin faaliyet konusunu oluşturan mal ve hizmet satışlarından kaynaklanan senetsiz alacaklarının izlenmesi için kullanılır.\n\nİşleyişi :\n\nSenetsiz alacağın doğması ile bu hesaba borç, tahsil edilmesi halinde (ödemeler, aktarmalar ve hesaben mahsuplar dahil) alacak kaydedilir."
"tr121","Alacak Senetleri",121,"asset_current","l10n_tr.chart_template_common",,"False","Bu hesap, işletmenin faaliyet konusunu oluşturan mal ve hizmet satışlarından kaynaklanan senede bağlanmış alacaklarını kapsar.\n\nİşleyişi :\n\nAlınan senet tutarları bu hesaba borç, tahsilinde ise alacak kaydedilir."
"tr122","Alacak Senetleri Reeskontu(-)",122,"asset_current","l10n_tr.chart_template_common",,"False","Bilanço gününde, senetli alacakların tasarruf değeri ile değerlenmesini sağlamak üzere alacak senetleri için ayrılan reeskont tutarlarının izlenmesinde kullanılır.\n\nİşleyişi :\n\nHesaplanan reeskont tutarları bu hesaba alacak, ""65. Diğer Faaliyetlerden Olağan Gider ve Zararlar"" grubundaki ""652. Reeskont Faiz Giderleri Hesabı""na gider yazılır. İzleyen dönemde bu hesap ""65. Diğer Faaliyetlerden Olağan Gelir ve Kârlar"" grubundaki ""642. Faiz Gelirleri Hesabı""na aktarılarak kapatılır."
"tr123","Alıcılar (PoS)",123,"asset_receivable","l10n_tr.chart_template_common",,"True"," "
"tr124","Kazanılmamış Finansal Kiralama Faiz Gelirleri(-)",124,"asset_current","l10n_tr.chart_template_common",,"False"," "
"tr126","Verilen Depozito ve Teminatlar",126,"asset_current","l10n_tr.chart_template_common",,"False","İşletmece üçüncü kişilere karşı bir işin yapılmasının üstlenilmesi veya bir sözleşmenin ya da diğer işlemlerin karşılığı olarak geri alınmak üzere verilen depozito ve teminat niteliğindeki değerlerin izlendiği hesaptır.\n\nİşleyişi :\n\nVerilen depozito ve teminatlar bu hesabın borcuna, geri alınanlar veya hesaba sayılanlar alacağına kaydedilir."
"tr127","Diğer Ticari Alacaklar",127,"asset_current","l10n_tr.chart_template_common",,"False"," "
"tr128","Şüpheli Ticari Alacaklar",128,"asset_current","l10n_tr.chart_template_common",,"False","Ödeme süresi geçmiş bu nedenle vadesi bir kaç defa uzatılmış veya protesto edilmiş, yazı ile birden fazla istenmiş ya da dava veya icra safhasına aktarılmış senetli ve senetsiz alacakları kapsar.\n\nİşleyişi :\n\nTahsili şüpheli hale gelmiş olan alacaklar ilgili hesapların alacağı karşılığında bu hesaba borç yazılarak bu durumdaki alacaklar normal alacaklardan çıkarılır. Alacağın tahsili veya tahsil edilemeyeceğinin kesinleşmesi durumunda bu hesaba alacak kaydedilir."
"tr129","Şüpheli Ticari Alacaklar Karşılığı",129,"asset_current","l10n_tr.chart_template_common",,"False","""128. Şüpheli Ticari Alacaklar"" için ayrılacak karşılıklarla, perakende satış yöntemi kullanarak bilanço gününden önceki iki hesap döneminde vadesinde tahsil edilemeyen alacakların ilgili dönemlerdeki toplam vadeli satışlara oranlarının ortalamasının değerleme dönemindeki vadeli satışlara uygulanması suretiyle bulunacak şüpheli alacaklar için ayrılan karşılıkları kapsar. Teminatlı alacaklarda karşılık teminatı aşan kısım için ayrılır.\n\nBu hesap amaca uygun olarak bölümlenebilir.\n\nİşleyişi :\n\nHesaplanan karşılık tutarı bu hesaba alacak, ""654. Karşılık Giderleri"" hesabına borç kaydedilir. Şüpheli alacağın tahsiline bağlı olarak, tahmin olunan zararın kısmen ya da tamamen gerçekleşmemesi halinde, gerçekleşmeyen kıs"
"tr131","Ortaklardan Alacaklar",131,"asset_current","l10n_tr.chart_template_common",,"False","İşletmenin esas faaliyet konusu dışındaki işlemleri dolayısı ile (ödünç verme ve benzer nedenlerle ortaya çıkan) ortaklarından alacaklı bulunduğu tutarların izlendiği hesaptır.\n\nİşleyişi :\n\nAlacağın doğması halinde hesaba borç, tahsili halinde ise alacak kaydedilir."
"tr132","İştiraklerden Alacaklar",132,"asset_current","l10n_tr.chart_template_common",,"False","İşletmenin esas faaliyet konusu dışındaki işlemleri dolayısı ile (ödünç verme ve benzer nedenlerle ortaya çıkan) iştiraklerinden olan alacaklarını kapsar.\n\nİşleyişi :\n\nBu hesaba; alacağın doğması halinde borç, tahsili halinde ise alacak kaydedilir."
"tr133","Bağlı Ortaklıklardan Alacaklar",133,"asset_current","l10n_tr.chart_template_common",,"False","İşletmenin esas faaliyet konusu dışındaki işlemleri dolayısı ile (ödünç verme ve benzer nedenlerle ortaya çıkan) bağlı ortaklıklardan olan alacaklarını içerir.\n\nİşleyişi :\n\nBu hesaba; alacağın doğması halinde borç, tahsili halinde ise alacak kaydedilir."
"tr135","Personelden Alacaklar",135,"asset_current","l10n_tr.chart_template_common",,"False","İşletmeye dahil personel ve işçinin işletmeye olan çeşitli borçlarını kapsar.\n\nİşleyişi :\n\nBu hesaba, alacağın doğması halinde borç; tahsili halinde ise alacak kaydedilir."
"tr136","Diğer Çeşitli Alacaklar",136,"asset_current","l10n_tr.chart_template_common",,"False","Ticari olmayıp yukarıda sayılan hesaplardan herhangi birine dahil edilemeyen alacakların izlendiği hesaptır.\n\nİşleyişi :\n\nİşletme lehine doğan alacaklar bu hesaba borç; tahsilatlar alacak kaydedilir."
"tr137","Diğer Alacak Senetleri Reeskontu(-)",137,"asset_current","l10n_tr.chart_template_common",,"False","Bilanço gününde, bu grupta belirtilen senetli alacakların tasarruf değeri ile değerlenmesini sağlamak üzere alacak senetleri için ayrılan reeskont tutarları bu hesapta izlenir.\n\nİşleyişi :\n\nHesaplanan reeskont tutarları bu hesaba alacak, ""652. Reeskont Faiz Giderleri Hesabı""na gider yazılır. İzleyen dönemde bu hesap ""642. Faiz Gelirleri Hesabı""na aktarılarak kapatılır."
"tr138","Şüpheli Diğer Alacaklar",138,"asset_current","l10n_tr.chart_template_common",,"False","Ödeme süresi geçmiş bu nedenle vadesi bir kaç defa uzatılmış veya protesto edilmiş, yazı ile birden fazla istenmiş ya da dava veya icra safhasına aktarılmış senetli ve senetsiz diğer alacakları kapsar.\n\nİşleyişi :\n\nTahsili şüpheli hale gelen diğer alacaklar ilgili hesapların alacağı karşılığında bu hesaba borç yazılarak, sağlam alacaklardan çıkarılması sağlanır. Alacağın tahsili veya tahsil edilemeyeceğinin kesinleşmesi durumunda bu hesaba alacak kaydedilir."
