"id","tax_group_id","name","type_tax_use","amount","amount_type","tax_scope","sequence","description","invoice_label","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@lt"
"account_tax_template_sales_0_vat5","tax_group_vat_0","0% EXEMPT","sale","0.0","percent","","10","Cases when the supply of goods and services is exempt from VAT.( VAT50)","","base","invoice","+13_base","","","Atvejai, kai prekių tiekimas ir paslaugų teikimas neapmokestinamas PVM (PVM50)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-13_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat12","tax_group_vat_0","0% EX","sale","0.0","percent","","10","Export of Goods and services outside EU (VAT12)","0% VAT","base","invoice","+17_base","","","Prekių ir paslaugų eksportas už ES ribų (PVM12)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-17_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat13","tax_group_vat_0","0% G EU","sale","0.0","percent","consu","10","Goods supplied inside EU(VAT13)","0% VAT","base","invoice","+18_base","","","ES viduje tiekiamos prekės (PVM13)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-18_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat14","tax_group_vat_0","0% EX VAT14","sale","0.0","percent","","10","Other transactions (Articles 42, 43, 44, 45, 46, 47, 48, 49...)","0% VAT","base","invoice","+19_base","","","Kiti sandoriai (42, 43, 44, 45, 46, 47, 48, 49 ir ​​kt. straipsniai)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat15","tax_group_vat_0","0% EX S","sale","0.0","percent","service","10","Services provided outside EU (VAT15)","0% VAT","base","invoice","+19_base","","","Paslaugos, teikiamos už ES ribų (PVM15)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat15_eu","tax_group_vat_0","0% EU S","sale","0.0","percent","service","10","Services provided inside EU (VAT15)","0% VAT","base","invoice","+19_base","","","Paslaugos teikiamos ES viduje (PVM15)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat13_triangular","tax_group_vat_0","0% G EU T","sale","0.0","percent","consu","10","Sales of goods supplied by a Lithuanian intermediary within an EU triangular trade (VAT13)","0% VAT","base","invoice","+18_base_triangular","","","Prekių, tiekiamų per Lietuvos tarpininką ES trišalėje prekyboje, pardavimas (PVM13)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-18_base_triangular","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat19_triangular","tax_group_vat_0","0% EU T","sale","0.0","percent","","10","Goods purchased and supplied by a Lithuanian intermediary within an EU triangular trade (VAT19)","0% VAT","base","invoice","+19_base","","","Prekės, kurias įsigijo ir tiekė Lietuvos tarpininkas ES trišalės prekybos metu (PVM19)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-19_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat25_reversed","tax_group_vat_0","0% R VAT25","sale","0.0","percent","","10","Cases when the buyer deducts and pays VAT for goods or services supplied to him (VAT25)","0% VAT","base","invoice","+12_base","","","Atvejai, kai pirkėjas atskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVM25)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-12_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat26_reversed","tax_group_vat_0","0% R VAT26","sale","0.0","percent","","10","Cases when the buyer deducts and pays VAT for goods or services supplied to him (VAT26)","0% VAT","base","invoice","+12_base","","","Atvejai, kai pirkėjas atskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVM26)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
"","","","","","","","","","","base","refund","-12_base","","",""
"","","","","","","","","","","tax","refund","","account_account_template_4492","",""
"account_tax_template_sales_0_vat27_reversed","tax_group_vat_0","0% R VAT27","sale","0.0","percent","","10","Cases when the buyer deducts and pays VAT for goods or services supplied to him (VAT27)","0% VAT","base","invoice","+12_base","","","Atvejai, kai pirkėjas atskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVM27)"
"","","","","","","","","","","tax","invoice","","account_account_template_4492","",""
