"id","name","code","account_type","tag_ids","reconcile","name@lt"
"account_account_template_1130","Software Acquisition Cost","1130","asset_non_current","l10n_lt.account_account_tag_a_1_3","False","Programinės įrangos įsigijimo savikaina"
"account_account_template_1138","Amortization of Software Value (-)","1138","asset_non_current","l10n_lt.account_account_tag_a_1_3","False","Programinės įrangos vertės amortizacija (−)"
"account_account_template_1200","Land Acquisition Cost","1200","asset_fixed","l10n_lt.account_account_tag_a_2_1","False","Žemės įsigijimo savikaina"
"account_account_template_1201","Change of Land Value after Revaluation","1201","asset_fixed","l10n_lt.account_account_tag_a_2_1","False","Žemės vertės pokytis dėl perkainojimo"
"account_account_template_1210","Acquisition Cost of Buildings","1210","asset_fixed","l10n_lt.account_account_tag_a_2_2","False","Pastatų ir statinių įsigijimo savikaina"
"account_account_template_1212","Buildings being Prepared for Use","1212","asset_fixed","l10n_lt.account_account_tag_a_2_2","False","Ruošiami naudoti pastatai ir statiniai"
"account_account_template_1217","Depreciation of the Acquisition Cost of Buildings (-)","1217","asset_fixed","l10n_lt.account_account_tag_a_2_2","False","Pastatų ir statinių įsigijimo savikainos nusidėvėjimas (−)"
"account_account_template_1220","Acquisition Cost of Machinery and Equipment","1220","asset_fixed","l10n_lt.account_account_tag_a_2_3","False","Mašinų ir įrangos įsigijimo savikaina"
"account_account_template_1222","Machinery and Equipment being Prepared for Use","1222","asset_fixed","l10n_lt.account_account_tag_a_2_3","False","Ruošiamos naudoti mašinos ir įranga"
"account_account_template_1227","Depreciation of the Acquisition Cost of Machinery and Equipment (-)","1227","asset_fixed","l10n_lt.account_account_tag_a_2_3","False","Mašinų ir įrangos įsigijimo savikainos nusidėvėjimas (−)"
"account_account_template_1230","Acquisition Cost of Vehicles","1230","asset_fixed","l10n_lt.account_account_tag_a_2_4","False","Transporto priemonių įsigijimo savikaina"
"account_account_template_1232","Vehicles being Prepared for Use","1232","asset_fixed","l10n_lt.account_account_tag_a_2_4","False","Ruošiamos naudoti transporto priemonės"
"account_account_template_1237","Depreciation of the Acquisition Cost of Vehicles (-)","1237","asset_fixed","l10n_lt.account_account_tag_a_2_4","False","Transporto priemonių įsigijimo savikainos nusidėvėjimas (−)"
"account_account_template_1240","Acquisition Cost of Other Equipment, Appliances and Tools","1240","asset_fixed","l10n_lt.account_account_tag_a_2_5","False","Kitų įrenginių, prietaisų ir įrankių įsigijimo savikaina"
"account_account_template_1242","Other Equipment, Appliances and Tools being Prepared for Use","1242","asset_fixed","l10n_lt.account_account_tag_a_2_5","False","Ruošiami naudoti kiti įrenginiai, prietaisai ir įrankiai"
"account_account_template_1247","Depreciation of the Acquisition Cost of Other Equipment, Appliances and Tools (-)","1247","asset_fixed","l10n_lt.account_account_tag_a_2_5","False","Kitų įrenginių, prietaisų ir įrankių įsigijimo savikainos nusidėvėjimas (−)"
"account_account_template_12500","Cost of the Acquisition of Land as Investment Property","12500","asset_fixed","l10n_lt.account_account_tag_a_2_6_1","False","Žemės, kaip investicinio turto, įsigijimo savikaina"
"account_account_template_12509","Value Loss of the Land as Investment Property (-)","12509","asset_fixed","l10n_lt.account_account_tag_a_2_6_1","False","Žemės, kaip investicinio turto, vertės sumažėjimas (−)"
"account_account_template_12510","Cost of the Acquisition of Buildings as Investment Property","12510","asset_fixed","l10n_lt.account_account_tag_a_2_6_2","False","Pastatų, kaip investicinio turto, įsigijimo savikaina"
"account_account_template_12517","Depreciation of the Acquisition Cost of Buildings as Investment Property (-)","12517","asset_fixed","l10n_lt.account_account_tag_a_2_6_2","False","Pastatų, kaip investicinio turto, įsigijimo savikainos nusidėvėjimas (−)"
"account_account_template_12519","Value Loss of Buildings as Investment Property (-)","12519","asset_fixed","l10n_lt.account_account_tag_a_2_6_2","False","Pastatų, kaip investicinio turto, vertės sumažėjimas (−)"
