id,name,country:id
l10n_ae_bank_1,"ROYAL BANK OF SCOTLAND",base.ae
l10n_ae_bank_2,"NAT. BANK OF SHJ",base.ae
l10n_ae_bank_3,"ABUDHABI COMML.BANK",base.ae
l10n_ae_bank_4,"NAT. BANK OF UAQ",base.ae
l10n_ae_bank_5,"AL AHLI BANK OF KUWAIT",base.ae
l10n_ae_bank_6,"STANDARD CHARTERED",base.ae
l10n_ae_bank_7,"Al RAFIDIAN",base.ae
l10n_ae_bank_8,"UNION NATIONAL BANK",base.ae
l10n_ae_bank_9,"ARAB AFRICAN INT’L",base.ae
l10n_ae_bank_10,"UNITED ARAB BANK",base.ae
l10n_ae_bank_11,"ARBIFT",base.ae
l10n_ae_bank_12,"UNITED BANK LTD.",base.ae
l10n_ae_bank_13,"ARAB BANK",base.ae
l10n_ae_bank_14,"ARAB EMIRAES INVESTMENT BK",base.ae
l10n_ae_bank_15,"BANK MELLI IRAN",base.ae
l10n_ae_bank_16,"DEUTSCHE BK",base.ae
l10n_ae_bank_17,"BANK OF BARODA",base.ae
l10n_ae_bank_18,"ABU DHABI ISLAMIC BK",base.ae
l10n_ae_bank_19,"BANK OF SHARJAH",base.ae
l10n_ae_bank_20,"DUBAI BANK PJSC",base.ae
l10n_ae_bank_21,"BANK OF SADERAT IRAN",base.ae
l10n_ae_bank_22,"NOOR ISLAMIC BK",base.ae
l10n_ae_bank_23,"BANQUE BANORABE",base.ae
l10n_ae_bank_24,"Al HILAL BK",base.ae
l10n_ae_bank_25,"BANK MISR",base.ae
l10n_ae_bank_26,"DOHA BANK",base.ae
l10n_ae_bank_27,"CREDIT AGRICOLE",base.ae
l10n_ae_bank_28,"SAMBA",base.ae
l10n_ae_bank_29,"BANQUE LIBAINAISE",base.ae
l10n_ae_bank_30,"NAT. BK OF KUWAIT",base.ae
l10n_ae_bank_31,"BANQUE PARIBAS",base.ae
l10n_ae_bank_32,"AJMAN BK",base.ae
l10n_ae_bank_33,"BARCLAYS BANK",base.ae
l10n_ae_bank_34,"HABIB BANK ZURICH",base.ae
l10n_ae_bank_35,"HSBC",base.ae
l10n_ae_bank_36,"Abdul Latif Exchange - LLC. - Dubai",base.ae
l10n_ae_bank_37,"CITI BANK",base.ae
l10n_ae_bank_38,"Ahmed Al Amery Exchange Est-Abu Dhabi",base.ae
l10n_ae_bank_39,"COMML. BANK INTL.",base.ae
l10n_ae_bank_40,"Ahmed Al Hussain Exchange Est. - Dubai",base.ae
l10n_ae_bank_41,"COMM. BANK OF DUBAI",base.ae
l10n_ae_bank_42,"Ain Al Faydah Exchange-Al Ain",base.ae
l10n_ae_bank_43,"DUBAI ISLAMIC BANK",base.ae
l10n_ae_bank_44,"Al Ahalia Money Exchange BureauAbu Dhabi",base.ae
l10n_ae_bank_45,"EL NILIEN BANK",base.ae
l10n_ae_bank_46,"Al Ansari Exchange-Abu Dhabi",base.ae
l10n_ae_bank_47,"NAT. BANK OF DUBAI",base.ae
l10n_ae_bank_48,"Al Ansari Exchange Services -Al Ain",base.ae
l10n_ae_bank_49,"FIRST GULF BANK",base.ae
l10n_ae_bank_50,"Al Azhar Exchange- Dubai",base.ae
l10n_ae_bank_51,"HABIB BANK LTD.",base.ae
l10n_ae_bank_52,"Al Bader Exchange-Abu Dhabi",base.ae
l10n_ae_bank_53,"INVEST BANK",base.ae
l10n_ae_bank_54,"Al Balooch Money Exchange- Al Ain",base.ae
l10n_ae_bank_55,"JANATA BANK",base.ae
l10n_ae_bank_56,"Al Dahab Exchange,base.ae
l10n_ae_bank_57,"LLOYDS BANK",base.ae
l10n_ae_bank_58,"Al Darmaki Exchange Est. - Dubai",base.ae
l10n_ae_bank_59,"MASHREQ BANK",base.ae
l10n_ae_bank_60,"Al Dhahery Money Exchange- Al Ain",base.ae
l10n_ae_bank_61,"EMIRATES ISLAMIC BANK",base.ae
l10n_ae_bank_62,"Al Falah Exchange Company-Abu Dhabi",base.ae
l10n_ae_bank_63,"NAT. BANK OF ABU DHABI",base.ae
l10n_ae_bank_64,"Al Fardan Exchange-Abu Dhabi",base.ae
l10n_ae_bank_65,"NAT. BANK OF BAHRAIN",base.ae
l10n_ae_bank_66,"Al Fuad Exchange - Dubai",base.ae
l10n_ae_bank_67,"Al Gergawi Exchange - LLC. - Dubai",base.ae
l10n_ae_bank_68,"NAT.BANK OF FUJAIRAH",base.ae
l10n_ae_bank_69,"Al Ghurair Exchange- Dubai",base.ae
l10n_ae_bank_70,"NAT. BANK OF OMAN",base.ae
l10n_ae_bank_71,"Al Ghurair International ExchangeDubai",base.ae
l10n_ae_bank_72,"RAK BANK",base.ae
l10n_ae_bank_73,"Al Hadha Exchange LLC. - Dubai",base.ae
l10n_ae_bank_74,"Al Hamed Exchange - Sharjah",base.ae
l10n_ae_bank_75,"Habib Exchange Co. LLC. - Sharjah",base.ae
