"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bo_1112","Petty Cash",1112,"asset_cash","l10n_bo.bo_chart_template",,"False"
"l10n_bo_1114","Temporary Investments",1114,"asset_cash","l10n_bo.bo_chart_template",,"False"
"l10n_bo_1121","Commercial Accounts Receivable",1121,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_11211","Commercial Accounts Receivable - PoS",11211,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1122","Other Accounts Receivable",1122,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1123","Accounts Receivable from Related Companies",1123,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1124","Advances to Suppliers",1124,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1125","Provision for Bad Accounts",1125,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1131","Inventory - Finished Products",1131,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1132","Inventory - Work in Process",1132,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1133","Inventory - Raw Materials",1133,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_11341","Stock Interim (Received)",11341,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_11342","Stock Interim (Delivered)",11342,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1135","Inventory - Provision for Obsolescence",1135,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1141","IVA Tax Credit",1141,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1142","Taxes to Recover",1142,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1143","Advance Payments",1143,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1144","Other Current Assets",1144,"asset_current","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1211","Commercial Accounts Receivable - Long Term",1211,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1212","Other Accounts Receivable - Long Term",1212,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1213","Long-Term Accounts Receivable from Related and/or Linked Companies",1213,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1221","Inventory - Spare Parts",1221,"asset_non_current","l10n_bo.bo_chart_template","account.account_tag_investing","True"
"l10n_bo_1222","Other Inventory",1222,"asset_non_current","l10n_bo.bo_chart_template","account.account_tag_investing","True"
"l10n_bo_1231","Land",1231,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1232","Buildings",1232,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_12321","Accumulated Depreciation Buildings",12321,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1233","Machinery",1233,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_12331","Accumulated Depreciation Machinery",12331,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1234","Vehicles",1234,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
