"id","name","code","account_type","reconcile","name@fr"
"chart1141_en","Stock In Hand","1141","asset_current","False","Stock disponible"
"chart1145_en","Stock Delivered But Not Billed","1145","asset_current","True","Marchandises expédiées non-facturées"
"chart1151_en","Customers Account","1151","asset_receivable","True","Comptes clients"
"chart11511_en","Customers Account (PoS)","11511","asset_receivable","True",""
"chart1181_en","GST receivable","1181","asset_current","False","TPS recevable"
"chart1182_en","PST/QST receivable","1182","asset_current","False","TVP/TVQ à recevoir"
"chart11831_en","HST receivable - 13%","11831","asset_current","False","TVH à recevoir - 13%"
"chart11832_en","HST receivable - 14%","11832","asset_current","False","TVH à recevoir - 14%"
"chart11833_en","HST receivable - 15%","11833","asset_current","False","TVH à recevoir - 15%"
"chart2111_en","Vendors Account","2111","liability_payable","True","Comptes fournisseurs"
"chart2131_en","GST to pay","2131","liability_current","False","TPS payable"
"chart2132_en","PST/QST to pay","2132","liability_current","False","TVP/TVQ à payer"
"chart21331_en","HST to pay - 13%","21331","liability_current","False","TVH à payer - 13%"
"chart21332_en","HST to pay - 14%","21332","liability_current","False","TVH à payer - 14%"
"chart21333_en","HST to pay - 15%","21333","liability_current","False","TVH à payer - 15%"
"chart2141_en","CANADA REVENUE AGENCY","2141","liability_current","False","Agence du Revenu du Canada"
"chart214111_en","EI - Employees Contribution","214111","liability_current","False","Assurance Emploi - Contribution des employés"
"chart214112_en","EI - Employer Contribution","214112","liability_current","False","Assurance Emploi - Contribution de l'employeur"
"chart21412_en","Federal Income Tax","21412","liability_current","False","Impôt fédéral"
"chart214131_en","CPP - Employees Contribution","214131","liability_current","False","Régime de pensions du Canada - Contribution des employés"
"chart214132_en","CPP - Employer Contribution","214132","liability_current","False","Régime de pensions du Canada - Contribution de l'employeur"
"chart21421_en","Health Services Fund to pay","21421","liability_current","False","Fond des services de santé à payer"
"chart214221_en","Provincial Pension Plan - Employees Contribution","214221","liability_current","False","Régime provincial de pension - Contribution des employés"
"chart214222_en","Provincial Pension Plan - Employer Contribution","214222","liability_current","False","Régime provincial de pension - Contribution de l'employeur"
"chart214231_en","Parental Insurance Plan - Employee Contribution","214231","liability_current","False","Régime d'assurance parentale - Contribution des employés"
"chart214232_en","Parental Insurance Plan - Employer Contribution","214232","liability_current","False","Régime d'assurance parentale - Contribution de l'employeur"
"chart21424_en","Labour Health and Safety to pay","21424","liability_current","False","Commission de la santé et de la sécurité du travail à payer"
"chart21425_en","Labour Standards to pay","21425","liability_current","False","Commission des normes du travail à payer"
"chart21426_en","Provincial Income Tax","21426","liability_current","False","Impôt provincial"
"chart2171_en","Stock Received But Not Billed","2171","asset_current","True","Marchandises reçues non-facturées"
"chart2181_en","Salaries to pay","2181","liability_current","False","Salaires à payer"
"chart2183_en","Bonus to pay","2183","liability_current","False","Boni à payer"
"chart2184_en","Retroactive Payment to pay","2184","liability_current","False","Paie rétroactive à payer"
