"id","name","invoice_label","description","type_tax_use","amount","amount_type","sequence","include_base_amount","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@fr","name@fr","fiscal_position_ids","original_tax_ids"
"gst_sale_tax_5","5% GST","5%","5% GST","sale","5.0","percent","10","False","tax_group_gst","","base","invoice","Ca90||CaBcA||CaQc101","","5% TPS","5% TPS","fiscal_position_template_nt,fiscal_position_template_ab,fiscal_position_template_nu,fiscal_position_template_yt","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"","","","","","","","","","","","tax","invoice","Ca103||CaQc103","l10n_ca_231000","","","",""
"","","","","","","","","","","","base","refund","Ca90||CaBcA||CaQc101","","","","",""
"","","","","","","","","","","","tax","refund","Ca103||CaQc103","l10n_ca_231000","","","",""
"gst_sale_tax_0","0% GST","0%","0% GST","sale","0.0","percent","10","False","tax_group_gst","","base","invoice","Ca90||CaBcA||CaQc101","","0% TPS","0% TPS","",""
"","","","","","","","","","","","tax","invoice","Ca103||CaQc103","l10n_ca_231000","","","",""
"","","","","","","","","","","","base","refund","Ca90||CaBcA||CaQc101","","","","",""
"","","","","","","","","","","","tax","refund","Ca103||CaQc103","l10n_ca_231000","","","",""
"pst_sale_tax_6","6% PST SK","6%","6% PST SK","sale","6.0","percent","20","False","tax_group_pst_6","","base","invoice","CaSk8Base","","6% TVP SK","6% TVP SK","fiscal_position_template_sk",""
"","","","","","","","","","","","tax","invoice","CaSk8","l10n_ca_232000","","","",""
"","","","","","","","","","","","base","refund","CaSk8Base","","","","",""
"","","","","","","","","","","","tax","refund","CaSk3","l10n_ca_232000","","","",""
"pst_sale_tax_7_bc","7% PST BC","7%","7% PST BC","sale","7.0","percent","20","False","tax_group_pst_7","","base","invoice","","","7% TVP BC","7% TVP BC","fiscal_position_template_bc",""
"","","","","","","","","","","","tax","invoice","CaBcB","l10n_ca_232000","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaBcI","l10n_ca_232000","","","",""
"pst_sale_tax_7_mb","7% PST MB","7%","7% PST MB","sale","7.0","percent","20","False","tax_group_pst_7","","base","invoice","","","7% TVP MB","7% TVP MB","fiscal_position_template_mb",""
"","","","","","","","","","","","tax","invoice","CaMb1","l10n_ca_232000","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaMb1","l10n_ca_232000","","","",""
"qst_sale_tax_9975","9.975% QST","9.975%","9.975% QST","sale","9.975","percent","20","False","tax_group_qst","","base","invoice","","","9.975% TVQ","9.975% TVQ","fiscal_position_template_qc",""
"","","","","","","","","","","","tax","invoice","CaQc203","l10n_ca_232000","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","CaQc203","l10n_ca_232000","","","",""
"hst_sale_tax_13","13% HST","13%","13% HST","sale","13.0","percent","20","False","tax_group_hst_13","","base","invoice","Ca90||CaBcA||CaQc101","","13% TVH","13% TVH","fiscal_position_template_on","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,gst_sale_tax_5,gstpst_sale_tax_12_mb,hst_sale_tax_15,hst_sale_tax_14"
"","","","","","","","","","","","tax","invoice","Ca103||CaQc103","l10n_ca_233000","","","",""
"","","","","","","","","","","","base","refund","Ca90||CaBcA||CaQc101","","","","",""
"","","","","","","","","","","","tax","refund","Ca103||CaQc103","l10n_ca_233000","","","",""
"hst_sale_tax_14","14% HST","14%","14% HST","sale","14.0","percent","20","False","tax_group_hst_14","","base","invoice","Ca90||CaBcA||CaQc101","","14% TVH","14% TVH","fiscal_position_template_ns","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstpst_sale_tax_12_mb,hst_sale_tax_13,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_15"
"","","","","","","","","","","","tax","invoice","Ca103||CaQc103","l10n_ca_234000","","","",""
"","","","","","","","","","","","base","refund","Ca90||CaBcA||CaQc101","","","","",""
"","","","","","","","","","","","tax","refund","Ca103||CaQc103","l10n_ca_234000","","","",""
"hst_sale_tax_15","15% HST","15%","15% HST","sale","15.0","percent","20","False","tax_group_hst_15","","base","invoice","Ca90||CaBcA||CaQc101","","15% TVH","15% TVH","fiscal_position_template_nl,fiscal_position_template_nb,fiscal_position_template_pe","gstpst_sale_tax_11,gstpst_sale_tax_12_bc,gstqst_sale_tax_14975,gst_sale_tax_5,hst_sale_tax_13,gstpst_sale_tax_12_mb,hst_sale_tax_14"
"","","","","","","","","","","","tax","invoice","Ca103||CaQc103","l10n_ca_235000","","","",""
"","","","","","","","","","","","base","refund","Ca90||CaBcA||CaQc101","","","","",""
"","","","","","","","","","","","tax","refund","Ca103||CaQc103","l10n_ca_235000","","","",""
