"id","code_prefix_start","name","name@fr"
"l10n_ca_group_1","1","Assets","Actif"
"l10n_ca_group_11","11","Financial Assets","Actifs financiers"
"l10n_ca_group_111","111","Cash, Deposits and Official International Reserves","Encaisse, dépôts et réserves internationales officielles"
"l10n_ca_group_112","112","Accounts Receivable - Net","Comptes débiteurs - Net"
"l10n_ca_group_1121","1121","Accounts Receivable and Accrued Revenue - Gross","Comptes débiteurs et revenus courus - Brut"
"l10n_ca_group_11211","11211","Trade Accounts Receivable","Comptes clients"
"l10n_ca_group_11212","11212","Rent and Operating Lease Receivable","Comptes débiteurs - location et location-exploitation"
"l10n_ca_group_11213","11213","Accrued Interest Receivable and other Accrued Investment Income (non-affiliates)","Intérêts courus à recevoir et autres revenus de placements à recevoir (sociétés non affiliées)"
"l10n_ca_group_11214","11214","Finance Receivable (non-affiliates)","Effets financiers à recevoir (sociétés non affiliées)"
"l10n_ca_group_11215","11215","Notes Receivable (non-affiliates)","Billets à recevoir (sociétés non affiliées)"
"l10n_ca_group_11216","11216","Government assistance receivable","Aide gouvernementale à recevoir"
"l10n_ca_group_1122","1122","Allowance for Doubtful Accounts","Provision pour créances douteuses"
"l10n_ca_group_113","113","Investments in Affiliates","Placements dans des sociétés affiliées"
"l10n_ca_group_1131","1131","Investments in Canadian Affiliates, Equity Investment in Corporations, including cost of shares","Placements dans des sociétés affiliées canadiennes, placement en actions dans des sociétés, y compris le coût des actions"
"l10n_ca_group_1132","1132","Investments in Foreign Affiliates, Equity investment in Corporations, including cost of shares","Placements dans des sociétés affiliées étrangères, placement en actions dans des sociétés, y compris le coût des actions"
"l10n_ca_group_1133","1133","Loans, Notes, Accounts, Bonds, Mortgages and Other Investments","Prêts, billets, comptes débiteurs, obligations, hypothèques et autres placements"
"l10n_ca_group_114","114","Investments in Non-Affiliates (Portfolio Securities)","Placements dans des entreprises non affiliées (titres de portefeuille)"
"l10n_ca_group_1141","1141","Investments in Canadian Debt Instruments (Non-Affiliated)","Placements en titres d'emprunt canadiens (sociétés non affiliées)"
"l10n_ca_group_1142","1142","Investments in Canadian Equity Instruments (Non-Affiliated)","Placements en instruments de capitaux propres canadiens (sociétés non affiliées)"
"l10n_ca_group_1143","1143","Investments in Foreign Non-Affiliates","Placements dans des sociétés non affiliées étrangères"
"l10n_ca_group_115","115","Mortgage Loans to Non-Affiliates","Prêts hypothécaires aux sociétés non affiliées"
"l10n_ca_group_116","116","Non-Mortgage Loans to Non-Affiliates","Prêts non hypothécaires aux sociétés non affiliées"
"l10n_ca_group_1161","1161","Non-Mortgage Loans made by Enterprises in Non-Financial Industries","Prêts non hypothécaires consentis par des entreprises non financières"
"l10n_ca_group_1162","1162","Allowance for Losses on Non-Mortgage Loans","Provision pour pertes sur prêts non hypothécaires"
"l10n_ca_group_118","118","Tax Receivables","Taxes recevable"
"l10n_ca_group_12","12","Tangible Assets","Actifs corporels"
"l10n_ca_group_121","121","Inventories","Stocks"
"l10n_ca_group_1211","1211","Goods Inventories","Stocks de biens"
"l10n_ca_group_12111","12111","Manufacturing Inventories","Stocks manufacturiers"
"l10n_ca_group_12112","12112","Goods for Sale Inventory","Stock de biens destinés à la vente"
"l10n_ca_group_1212","1212","Part and Supplies Inventories","Stocks de pièces et fournitures"
"l10n_ca_group_1213","1213","Real Estate Held or being Developed for Sale","Biens immobiliers détenus ou en cours d'aménagement en vue de la vente"
"l10n_ca_group_122","122","Allowance for Obsolescence and decline in Value","Provision pour obsolescence et dévaluation"
"l10n_ca_group_123","123","Breeding Livestock","Animaux de reproduction"
"l10n_ca_group_124","124","Capital Assets","Actifs immobilisés"
"l10n_ca_group_1241","1241","Fixed Assets - Net","Immobilisations corporelles - Nets"
"l10n_ca_group_1242","1242","Depletable Assets - Net","Actifs non renouvelables - nets"
"l10n_ca_group_1243","1243","Repossessed Assets Held for Sale","Reprise de possession d'immobilisations destinées à la vente"
"l10n_ca_group_13","13","Deferred Charges and Intangible Assets","Frais reportés et actifs incorporels"
"l10n_ca_group_131","131","Deferred Charges and Prepaid Expenses","Frais reportés et charges payées d'avance"
"l10n_ca_group_1311","1311","Deferred Charges - Net","Frais reportés - nets"
"l10n_ca_group_1312","1312","Prepaid Expenses","Frais payés d'avance"
"l10n_ca_group_132","132","Intangible Assets - Net","Actifs incorporels - nets"
"l10n_ca_group_1321","1321","Goodwill - Net","Achalandage - net"
"l10n_ca_group_1322","1322","Software","Logiciels"
"l10n_ca_group_1323","1323","Database","Bases de données"
"l10n_ca_group_1324","1324","Excess of Purchase Price of Consolidated Subsidiary Shares","Excédent du prix d'achat d'actions d'une filiale consolidée"
"l10n_ca_group_1325","1325","Patents, Trademarks and Copyrights - Net","Brevets, marques de commerce et droits d'auteurs - nets"
"l10n_ca_group_1326","1326","Other Intangibles","Autres actifs incorporels"
"l10n_ca_group_13261","13261","Quota - Net","Contingents - nets"
"l10n_ca_group_13262","13262","License - Net","Permis - nets"
"l10n_ca_group_13263","13263","Incorporation Cost - Net","Frais de constitution - nets"
"l10n_ca_group_13264","13264","Customer List - Net","Liste de clients - nets"
"l10n_ca_group_13265","13265","Right - Net","Droits - nets"
"l10n_ca_group_13266","13266","Timber Rights - Net","Droits de coupe - nets"
"l10n_ca_group_13267","13267","Mining Right - Net","Droits miniers - nets"
"l10n_ca_group_13268","13268","Oil and Gas Right - Net","Droits pétroliers et gaziers - nets"
"l10n_ca_group_13269","13269","All Other Intangibles Assets - Net","Tous autres actifs incorporels - nets"
"l10n_ca_group_14","14","Other Assets","Autres éléments d'actif"
"l10n_ca_group_141","141","Pensions","Régimes de retraite"
"l10n_ca_group_142","142","All Other Assets","Tout autre élément d'actif"
"l10n_ca_group_1421","1421","Other Deposits","Autres dépôts"
"l10n_ca_group_14213","14213","Deposits with Others","Dépôts chez d'autres entités"
"l10n_ca_group_1422","1422","All Other Assets, except Other Deposits","Tous autres actifs, sauf autres dépôts"
"l10n_ca_group_14221","14221","Reserve Fund","Fonds de réserve"
"l10n_ca_group_14222","14222","Cash Surrender Value of Life Insurance","Valeur de rachat de l'assurance vie"
"l10n_ca_group_14223","14223","Asset Held in Trust","Éléments d'actif détenus en fiducie"
"l10n_ca_group_14224","14224","Other","Autre"
"l10n_ca_group_2","2","Liabilities","Passif"
"l10n_ca_group_21","21","Financial Instruments and Borrowing","Instruments financiers et emprunts"
"l10n_ca_group_211","211","Mortgage Loans","Prêts hypothécaires"
"l10n_ca_group_2111","2111","Residential Mortgage Loans","Prêts hypothécaires résidentiels"
"l10n_ca_group_2112","2112","Non-Residential Mortgage Loans","Prêts hypothécaires non résidentiels"
"l10n_ca_group_212","212","Non-Mortgage Loans","Prêts non hypothécaires"
"l10n_ca_group_2121","2121","Non-Mortgage Loans, Bank Loans - Overdrafts and Loans from Chartered Banks and Branches of Foreign Banks Operating in Canada (excluding Lien Notes Payable)","Prêts non hypothécaires et prêts de banque - Découverts et prêts auprès de banques à charte et de succursales de banques étrangères établies au Canada (à l'exclusion des billets portant privilège)"
"l10n_ca_group_2122","2122","Non-Mortgage Loans, Loans from Other Domestic Lending Institutions","Prêts non hypothécaires, prêts auprès d'autres sociétés de financement canadiennes"
"l10n_ca_group_2123","2123","Non-Mortgage Loans, Loans from Others","Prêts non hypothécaires, prêts auprès d'autres entités"
"l10n_ca_group_2124","2124","Non-Mortgage Loans, Lien Note Payable","Prêts non hypothécaires, billets portant privilège à payer"
"l10n_ca_group_2125","2125","Obligations under Financial/Capital Leases (excluding from Chartered Banks)","Obligations (autres qu'envers les banques à charte) - contrats de location-acquisition ou crédit-bail"
"l10n_ca_group_213","213","Debt Securities","Titres de créance"
"l10n_ca_group_2131","2131","Debt Securities, Short-term Paper, Commercial Paper, Finance Company Paper and Bankers' Acceptances","Titres de créance, effets à court terme, effets de commerce, effets de société de financement et acceptations bancaires"
"l10n_ca_group_2132","2132","Debt Securities, Bonds, Debentures and Promissory Notes","Titres de créance, obligations, débentures et billets"
"l10n_ca_group_214","214","Derivative Liabilities (Excluding Employee Stock Options)","Passifs dérivés (sauf options d'achat d'actions accordées à des employés)"
"l10n_ca_group_215","215","Current portion of long-term debt","Partie à court terme de la dette à long terme"
"l10n_ca_group_22","22","Claims","Créances"
"l10n_ca_group_221","221","Accounts Payable and Accrued Liabilities","Comptes créditeurs et charges à payer"
"l10n_ca_group_2211","2211","Accounts Payable, Trade","Comptes créditeurs, commerce"
"l10n_ca_group_2212","2212","Other Accounts Payable and Accruals (Non-Affiliates)","Autres comptes créditeurs et charges à payer (sociétés non affiliées)"
"l10n_ca_group_222","222","Claims of Affiliates","Créances de sociétés affiliées"
"l10n_ca_group_23","23","Taxes collected","Taxes collectées"
"l10n_ca_group_24","24","Future Income Taxes","Passifs d'impôts futurs"
"l10n_ca_group_25","25","Minority Interest in Subsidiaries Consolidated","Intérêts minoritaires dans les filiales consolidées"
"l10n_ca_group_26","26","Pension Plans and Deferred Profit Sharing Plans","Régimes de retraite et régimes de participation différée aux bénéfices"
"l10n_ca_group_27","27","Provisions for Future Obligations","Provision pour obligations futures"
"l10n_ca_group_28","28","Customer Deposits, Deferred income (including Deferred Revenue from Incomplete Contracts)","Dépôts de clients, revenus reportés (y compris les revenus reportés de contrats incomplets)"
"l10n_ca_group_29","29","Other Liabilities","Autres éléments de passif"
"l10n_ca_group_291","291","Deferred Gains/Losses on Translation of Foreign Currency","Gains ou pertes reportés sur conversion de devises"
"l10n_ca_group_292","292","Contributions to Environmental Trust","Contributions à une fiducie pour l'environnement"
"l10n_ca_group_293","293","Restated Preference Shares","Actions privilégiées ajustées"
"l10n_ca_group_294","294","Amounts Held in Trust","Montants détenus en fiducie"
"l10n_ca_group_295","295","Stock Appreciation Rights - settled in cash","Droits à la plus-value d'actions - réglés en espèces"
"l10n_ca_group_296","296","Liabilities of disposal groups classified as held for sale","Passifs des groupes à céder classés comme détenus en vue de la vente"
"l10n_ca_group_297","297","All Other non-current Liabilities","Tous les autres éléments de passif non-courants"
"l10n_ca_group_298","298","All Other current Liabilities","Tous les autres éléments de passif courants"
"l10n_ca_group_3","3","Equity","Capitaux propres"
"l10n_ca_group_31","31","Share Capital","Capital-actions"
"l10n_ca_group_311","311","Preferred Shares","Actions privilégiées"
"l10n_ca_group_312","312","Common Shares","Actions ordinaires"
"l10n_ca_group_313","313","Owners' Equity (Owners' Investment - No Share Capital Entities)","Avoir propre (mise de fonds du propriétaire - entités sans capital-actions)"
"l10n_ca_group_314","314","Other Shares","Autres actions"
