"id","sequence","description","invoice_label","name","amount","amount_type","children_tax_ids","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@tr_TR","price_include_override","l10n_tr_tax_withholding_code_id"
"tr_s_wh_20_IMH","1","Construction Works and Engineering-Architecture and Survey-Project Services Performed Along with These Works","-8%","WH 20% (4/10) - İMH","-8.0","percent","","none","tr_tax_group_wh_8","base","invoice","","SAL_20_BASE_4_10","Yapım İşleri İle Bu İşlerle Birlikte İfa Edilen Mühendislik-Mimarlık ve Etüt-Proje Hizmetleri","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_601"
"","","","","","","","","","","tax","invoice","tr391004","SAL_20_TAX_4_10","",""
"","","","","","","","","","","base","refund","","SAL_20_BASE_4_10","",""
"","","","","","","","","","","tax","refund","tr391004","SAL_20_TAX_4_10","",""
"tr_s_wh_20_PDH","2","Survey, Plan-Project, Consultancy, Audit and Similar Services","-18%","WH 20% (9/10) - PDH","-18.0","percent","","none","tr_tax_group_wh_18","base","invoice","","SAL_20_BASE_9_10","Etüt, Plan-Proje, Danışmanlık, Denetim ve Benzeri Hizmetler","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_601"
"","","","","","","","","","","tax","invoice","tr391004","SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","SAL_20_TAX_9_10","",""
"tr_s_wh_20_MEBH","3","Renovation, Maintenance and Repair Services for Machinery, Equipment, Fixed Assets and Vehicles","-14%","WH 20% (7/10) - MEBH","-14.0","percent","","none","tr_tax_group_wh_14","base","invoice","","SAL_20_BASE_7_10","Makine, Teçhizat, Demirbaş ve Taşıtlara Ait Tadil, Bakım, Onarım Hizmetleri","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_603"
"","","","","","","","","","","tax","invoice","tr391004","SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","SAL_20_TAX_7_10","",""
