"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@hu"
"fiscal_position_hu_exempt","Exempt taxpayer","","","","","","F27","FA","Mentes adózó"
"","","","","","","","F18","FA",""
"","","","","","","","F5","FA",""
"","","","","","","","V27","VA",""
"","","","","","","","V27TE","VA",""
"","","","","","","","V18","VA",""
"","","","","","","","V5","VA",""
"fiscal_position_hu_national","Domestic","10","1","1","base.hu","","","","Belföldi"
"fiscal_position_hu_eu_private","EU partner private","20","1","","","base.europe","","","EU partner magán"
"fiscal_position_hu_eu","EU partner","30","1","1","","base.europe","F27","FEUT",""
"","","","","","","","F18","FEUT",""
"","","","","","","","F5","FEUT",""
"","","","","","","","V27","VEU27T",""
"","","","","","","","V27TE","VEU27TE",""
"fiscal_position_hu_eu_out","Partner outside the EU","40","1","","","","F27","FEXT","EU-n kívüli partner"
"","","","","","","","F18","FEUT",""
"","","","","","","","F5","FEXT",""
"","","","","","","","V27","VIMK",""
"","","","","","","","V27TE","VIMK",""
