"id","code_prefix_start","code_prefix_end","name","name@hu"
"l10n_hu_group_1","1","","Fixed assets","Befektetett eszközök"
"l10n_hu_group_11","11","","Intangible assets","Immateriális javak"
"l10n_hu_group_12","12","","Real estate and associated rights","Ingatlan és kapcsolódó jogok"
"l10n_hu_group_13","13","","Technical equipment, machinery, vehicles","Műszaki berendezések, gépek, járművek"
"l10n_hu_group_14","14","","Other equipment, equipment and vehicles","Egyéb berendezések, felszerelések és járművek"
"l10n_hu_group_15","15","","Breeding animals","Tenyészállatok"
"l10n_hu_group_16","16","","Investments, renovations","Beruházások, felújítások"
"l10n_hu_group_17","17","","Ownership investments (shares)","Tulajdonosi befektetések (részvények)"
"l10n_hu_group_18","18","","Debt securities","Hitelviszonyt megtestesítő értékpapíro"
"l10n_hu_group_19","19","","Long-term loans","Hosszú lejáratú hitelek"
"l10n_hu_group_2","2","","Stocks","Készletek"
"l10n_hu_group_21-22","21","22","Materials","Anyagok"
"l10n_hu_group_23","23","","Work in progress and semi-finished products","Befejezetlen termelés és félkész termékek"
"l10n_hu_group_24","24","","Adult, fattening and other animals","Felnőtt, hízó és egyéb állatok"
"l10n_hu_group_25","25","","Finished products","Elkészült termékek"
"l10n_hu_group_26","26","","Commercial goods","Kereskedelmi áruk"
"l10n_hu_group_27","27","","Intermediate services","Köztes szolgáltatások"
"l10n_hu_group_28","28","","Deposit feeds","Betéti hírcsatornák"
"l10n_hu_group_3","3","","Receivables, securities, cash and current accounts","Követelések, értékpapírok, készpénz és folyószámlák"
"l10n_hu_group_31","31","","Receivables from supply of goods and services (customers)","Termékértékesítésből és szolgáltatásnyújtásból származó követelések (vevők)"
"l10n_hu_group_32","32","","Claims against associated and significant ownership","Társult és jelentős tulajdonjoggal szembeni követelések"
"l10n_hu_group_33","33","","Claims against other participating undertakings","Más részt vevő vállalkozásokkal szembeni követelések"
"l10n_hu_group_34","34","","Receivables","Követelések"
"l10n_hu_group_35","35","","Advances given","Adott előlegek"
"l10n_hu_group_36","36","","Other claims","Egyéb követelések"
"l10n_hu_group_37","37","","Securities","Értékpapír"
"l10n_hu_group_38","38","","Funds","Alapok"
"l10n_hu_group_39","39","","Active definitions","Aktív definíciók"
"l10n_hu_group_4","4","","Sources","Források"
"l10n_hu_group_41","41","","Equity","Saját tőke"
"l10n_hu_group_42","42","","Provisions","Rendelkezések"
"l10n_hu_group_43","43","","Subsequent liabilities","Későbbi kötelezettségek"
"l10n_hu_group_44","44","","Long-term liabilities","Hosszú lejáratú kötelezettségek"
"l10n_hu_group_45-47","45","47","Short-term liabilities","Rövid lejáratú kötelezettségek"
"l10n_hu_group_48","48","","Liabilities","Kötelezettségek"
"l10n_hu_group_5","5","","Costs","Költségek"
"l10n_hu_group_51","51","","Material cost","Anyagköltség"
"l10n_hu_group_52","52","","Costs of services used","Az igénybe vett szolgáltatások költségei"
