"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@gr","zip_from","zip_to"
"fiscal_position_template_domestic","1","Domestic apart from the Aegean Islands","1","1","base.gr","","","","Εγχώρια εκτός από τα νησιά του Αιγαίου","",""
"fiscal_position_template_domestic_aegan","1","Domestic Aegean Islands","1","1","base.gr","","l10n_gr_tax_s24_G","l10n_gr_tax_s17_G","Νησιά του Αιγαίου Εσωτερικού","70","85"
"","","","","","","","l10n_gr_tax_s6_G","l10n_gr_tax_s4_G","","",""
"","","","","","","","l10n_gr_tax_s13_G","l10n_gr_tax_s9_G","","",""
"","","","","","","","l10n_gr_tax_s24_S","l10n_gr_tax_s17_S","","",""
"","","","","","","","l10n_gr_tax_s13_S","l10n_gr_tax_s9_S","","",""
"","","","","","","","l10n_gr_tax_s6_S","l10n_gr_tax_s4_S","","",""
"","","","","","","","l10n_gr_tax_p24_G","l10n_gr_tax_p17_G","","",""
"","","","","","","","l10n_gr_tax_p13_G","l10n_gr_tax_p9_G","","",""
"","","","","","","","l10n_gr_tax_p6_G","l10n_gr_tax_p4_G","","",""
"","","","","","","","l10n_gr_tax_p24_S","l10n_gr_tax_p17_S","","",""
"","","","","","","","l10n_gr_tax_p13_S","l10n_gr_tax_p9_S","","",""
"","","","","","","","l10n_gr_tax_p6_S","l10n_gr_tax_p4_S","","",""
"","","","","","","","l10n_gr_tax_p24_IG","l10n_gr_tax_p17_IG","","",""
"","","","","","","","l10n_gr_tax_p13_IG","l10n_gr_tax_p9_IG","","",""
"","","","","","","","l10n_gr_tax_p6_IG","l10n_gr_tax_p4_IG","","",""
"","","","","","","","l10n_gr_tax_p24_other_imports","l10n_gr_tax_p17_other_imports","","",""
"","","","","","","","l10n_gr_tax_p13_other_imports","l10n_gr_tax_p9_other_imports","","",""
"","","","","","","","l10n_gr_tax_p6_other_imports","l10n_gr_tax_p4_other_imports","","",""
"","","","","","","","l10n_gr_tax_p24_G_eu","l10n_gr_tax_p17_G_eu","","",""
"","","","","","","","l10n_gr_tax_p13_G_eu","l10n_gr_tax_p9_G_eu","","",""
"","","","","","","","l10n_gr_tax_p6_G_eu","l10n_gr_tax_p4_G_eu","","",""
"","","","","","","","l10n_gr_tax_p24_S_eu","l10n_gr_tax_p17_S_eu","","",""
"","","","","","","","l10n_gr_tax_p13_S_eu","l10n_gr_tax_p9_S_eu","","",""
"","","","","","","","l10n_gr_tax_p6_S_eu","l10n_gr_tax_p4_S_eu","","",""
"","","","","","","","l10n_gr_tax_p24_O_eu","l10n_gr_tax_p17_O_eu","","",""
"","","","","","","","l10n_gr_tax_p13_O_eu","l10n_gr_tax_p9_O_eu","","",""
"","","","","","","","l10n_gr_tax_p6_O_eu","l10n_gr_tax_p4_O_eu","","",""
fiscal_position_template_4,"2","Private Intra-Community Regime","1","","","base.europe","","","Ιδιωτικό ενδοκοινοτικό καθεστώς","",""
fiscal_position_template_EU,"3","Intra-Community Regime","1","1","","base.europe","l10n_gr_tax_s24_G","l10n_gr_tax_s0_G_eu","Ενδοκοινοτικό καθεστώς","",""
"","","","","","","","l10n_gr_tax_s17_G","l10n_gr_tax_s0_G_eu","","",""
"","","","","","","","l10n_gr_tax_s13_G","l10n_gr_tax_s0_G_eu","","",""
"","","","","","","","l10n_gr_tax_s6_G","l10n_gr_tax_s0_G_eu","","",""
"","","","","","","","l10n_gr_tax_s9_G","l10n_gr_tax_s0_G_eu","","",""
"","","","","","","","l10n_gr_tax_s4_G","l10n_gr_tax_s0_G_eu","","",""
"","","","","","","","l10n_gr_tax_s24_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_s17_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_s13_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_s6_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_s9_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_s4_S","l10n_gr_tax_s0_S_eu","","",""
"","","","","","","","l10n_gr_tax_p24_G","l10n_gr_tax_p24_G_eu","","",""
"","","","","","","","l10n_gr_tax_p13_G","l10n_gr_tax_p13_G_eu","","",""
"","","","","","","","l10n_gr_tax_p6_G","l10n_gr_tax_p6_G_eu","","",""
"","","","","","","","l10n_gr_tax_p17_G","l10n_gr_tax_p17_G_eu","","",""
"","","","","","","","l10n_gr_tax_p9_G","l10n_gr_tax_p9_G_eu","","",""
"","","","","","","","l10n_gr_tax_p4_G","l10n_gr_tax_p4_G_eu","","",""
"","","","","","","","l10n_gr_tax_p24_S","l10n_gr_tax_p24_S_eu","","",""
"","","","","","","","l10n_gr_tax_p13_S","l10n_gr_tax_p13_S_eu","","",""
"","","","","","","","l10n_gr_tax_p6_S","l10n_gr_tax_p6_S_eu","","",""
"","","","","","","","l10n_gr_tax_p17_S","l10n_gr_tax_p17_S_eu","","",""
"","","","","","","","l10n_gr_tax_p9_S","l10n_gr_tax_p9_S_eu","","",""
"","","","","","","","l10n_gr_tax_p4_S","l10n_gr_tax_p4_S_eu","","",""
"fiscal_position_template_import_export","4","Extra-Community Regime","1","","","","l10n_gr_tax_s24_G","l10n_gr_tax_s0_export","Εξωκοινοτικό καθεστώς","",""
"","","","","","","","l10n_gr_tax_s17_G","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s13_G","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s6_G","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s9_G","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s4_G","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s24_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s17_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s13_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s6_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s9_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_s4_S","l10n_gr_tax_s0_export","","",""
"","","","","","","","l10n_gr_tax_p24_G","l10n_gr_tax_p24_other_imports","","",""
"","","","","","","","l10n_gr_tax_p13_G","l10n_gr_tax_p13_other_imports","","",""
"","","","","","","","l10n_gr_tax_p6_G","l10n_gr_tax_p6_other_imports","","",""
