"id","name","tax_scope","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@ar_001","invoice_label@ar_001"
"lb_vat_11_goods_sale","11% G","consu","sale","11.0","percent","","11%","lb_tax_vat_11","base","invoice","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_11","tax","invoice","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_11","base","refund","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_11","tax","refund","lb_account_442701","",""
"lb_vat_11_services_sale","11% S","service","sale","11.0","percent","","11%","lb_tax_vat_11","base","invoice","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_11","tax","invoice","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_11","base","refund","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_11","tax","refund","lb_account_442711","",""
"lb_vat_0_goods_sale_ex","0% EX G","consu","sale","0.0","percent","Zero-rated exports","0% Export","lb_tax_vat_0","base","invoice","lb_account_442701","تصدير بنسبة صفر","%0 تصدير معفى"
"","","","","","","","","lb_tax_vat_0","tax","invoice","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_0","base","refund","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_0","tax","refund","lb_account_442701","",""
"lb_vat_0_services_sale_ex","0% EX S","service","sale","0.0","percent","Zero-rated exports","0% Export","lb_tax_vat_0","base","invoice","lb_account_442711","تصدير بنسبة صفر","%0 تصدير معفى"
"","","","","","","","","lb_tax_vat_0","tax","invoice","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_0","base","refund","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_0","tax","refund","lb_account_442711","",""
"lb_vat_0_goods_sale_exempt","0% EXT G","consu","sale","0.0","percent","Exempt","Exempt","lb_tax_vat_exempt","base","invoice","lb_account_442701","معفى","معفى"
"","","","","","","","","lb_tax_vat_0","tax","invoice","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_0","base","refund","lb_account_442701","",""
"","","","","","","","","lb_tax_vat_0","tax","refund","lb_account_442701","",""
"lb_vat_0_services_sale_exempt","0% EXT S","service","sale","0.0","percent","Exempt","Exempt","lb_tax_vat_exempt","base","invoice","lb_account_442711","معفى","معفى"
"","","","","","","","","lb_tax_vat_0","tax","invoice","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_0","base","refund","lb_account_442711","",""
"","","","","","","","","lb_tax_vat_0","tax","refund","lb_account_442711","",""
"lb_vat_11_purchases","11%","","purchase","11.0","percent","","11%","lb_tax_vat_11","base","invoice","lb_account_442611","",""
"","","","","","","","","lb_tax_vat_11","tax","invoice","lb_account_442611","",""
"","","","","","","","","lb_tax_vat_11","base","refund","lb_account_442611","",""
"","","","","","","","","lb_tax_vat_11","tax","refund","lb_account_442611","",""
"lb_vat_0_purchases_exempt","0% EXT","","purchase","0.0","percent","Exempt","Exempt","lb_tax_vat_exempt","base","invoice","lb_account_442611","معفى","معفى"
"","","","","","","","","lb_tax_vat_0","tax","invoice","lb_account_442611","",""
"","","","","","","","","lb_tax_vat_0","base","refund","lb_account_442611","",""
"","","","","","","","","lb_tax_vat_0","tax","refund","lb_account_442611","",""
