"id","description","invoice_label","name","sequence","amount","amount_type","type_tax_use","tax_group_id","active","tax_scope","l10n_it_withholding_type","l10n_it_withholding_reason","tax_exigibility","cash_basis_transition_account_id","include_base_amount","l10n_it_pension_fund_type","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@it","price_include_override","fiscal_position_ids","original_tax_ids"
"20vwi","","20% Ritenuta Persone Fisiche","20% RIT PF","10","-20.0","percent","sale","tax_group_withholding","","","RT01","A","on_payment","1611","","","base","invoice","","","100","","tax_excluded","",""
"","","","","","","","","","","","","","","","","","tax","invoice","-RITV","1609","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","+RITV","1609","100","","","",""
"20awi","","20% Ritenuta Persone Fisiche","20% RIT PF","10","-20.0","percent","purchase","tax_group_withholding","","","RT01","A","on_payment","2603","","","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","+RITA","2602","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","-RITA","2602","100","","","",""
"20vwc","","20% Ritenuta Persone Giuridiche","20% RIT PG","11","-20.0","percent","sale","tax_group_withholding","","","RT02","A","on_payment","1611","","","base","invoice","","","100","","tax_excluded","",""
"","","","","","","","","","","","","","","","","","tax","invoice","-RITV","1609","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","+RITV","1609","100","","","",""
"20awc","","20% Ritenuta Persone Giuridiche","20% RIT PG","11","-20.0","percent","purchase","tax_group_withholding","","","RT02","A","on_payment","2603","","","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","+RITA","2602","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","-RITA","2602","100","","","",""
"23vwo","","23% Ritenuta Agenti e Rappresentanti","23% RIT AG","12","-11.5","percent","sale","tax_group_withholding","","","RT02","ZO","on_payment","1611","","","base","invoice","","","100","","tax_excluded","",""
"","","","","","","","","","","","","","","","","","tax","invoice","-RITV","1609","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","+RITV","1609","100","","","",""
"23awo","","23% Ritenuta Agenti e Rappresentanti","23% RIT AG","12","-11.5","percent","purchase","tax_group_withholding","","","RT02","ZO","on_payment","2603","","","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","+RITA","2602","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","-RITA","2602","100","","","",""
"4vinps","","4% Contributo INPS","4% INPS","5","4.0","percent","sale","tax_group_pension_fund","","","","","","","True","TC22","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","","2630","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","","2630","100","","","",""
"4ainps","","4% Contributo INPS","4% INPS","5","4.0","percent","purchase","tax_group_pension_fund","","","","","","","True","TC22","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","","4402","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","","4402","100","","","",""
"4vcp","","4% Contributo Fondo Pensione","4% F.Pens.","20","4.0","percent","sale","tax_group_pension_fund","","","","","","","True","TC01","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","","2630","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","","2630","100","","","",""
"4acp","","4% Contributo Fondo Pensione","4% F.Pens.","20","4.0","percent","purchase","tax_group_pension_fund","","","","","","","True","TC01","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","","4402","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","","4402","100","","","",""
"enasarcov","","8.5% Ritenuta ENASARCO","ENASARCO","13","-8.5","percent","sale","tax_group_enasarco","","","","","on_payment","1611","","TC07","base","invoice","","","100","","tax_excluded","",""
"","","","","","","","","","","","","","","","","","tax","invoice","-ENASARCOV","2630","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","+ENASARCOV","2630","100","","","",""
"enasarcoa","","8.5% Ritenuta ENASARCO","ENASARCO","13","-8.5","percent","purchase","tax_group_enasarco","","","","","on_payment","1611","","TC07","base","invoice","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","invoice","+ENASARCOA","2630","100","","","",""
"","","","","","","","","","","","","","","","","","base","refund","","","100","","","",""
"","","","","","","","","","","","","","","","","","tax","refund","-ENASARCOA","2630","100","","","",""
