"id","name","description","invoice_label","amount_type","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","price_include_override","fiscal_position_ids","original_tax_ids","description@th_TH"
"tax_input_vat","7%","Input VAT 7%","","percent","7.0","purchase","tax_group_vat_7","base","invoice","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","","ภาษีซื้อที่ขอคืนได้ตามปกติ (อัตรามาตรฐาน 7%)"
"","","","","","","","","tax","invoice","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"","","","","","","","","base","refund","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","",""
"","","","","","","","","tax","refund","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"tax_output_vat","7%","Output VAT 7%","","percent","7.0","sale","tax_group_vat_7","base","invoice","1. Sales amount","","","","","ภาษีขายที่ต้องนำส่งกรมสรรพากร (อัตรามาตรฐาน 7%)"
"","","","","","","","","tax","invoice","5. Output tax","l10n_th_account_213200","","","",""
"","","","","","","","","base","refund","1. Sales amount","","","","",""
"","","","","","","","","tax","refund","5. Output tax","l10n_th_account_213200","","","",""
"tax_input_vat_0","0%","Input VAT 0%","","percent","0.0","purchase","","base","invoice","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","","ภาษีซื้อสำหรับสินค้า/บริการที่มีอัตรา 0% (เช่น การขนส่งระหว่างประเทศบางประเภท)"
"","","","","","","","","tax","invoice","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"","","","","","","","","base","refund","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","",""
"","","","","","","","","tax","refund","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"tax_output_vat_0","0%","Output VAT 0%","","percent","0.0","sale","","base","invoice","1. Sales amount||2. Less sales subject to 0% tax rate","","","","","ภาษีขายสำหรับกิจการที่ได้รับสิทธิอัตรา 0% (เช่น การส่งออก)"
"","","","","","","","","tax","invoice","5. Output tax","l10n_th_account_213200","","","",""
"","","","","","","","","base","refund","1. Sales amount||2. Less sales subject to 0% tax rate","","","","",""
"","","","","","","","","tax","refund","5. Output tax","l10n_th_account_213200","","","",""
"tax_input_vat_exempted","0% EXEMPT","Input VAT Exempted","","percent","0.0","purchase","","base","invoice","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","","ภาษีซื้อจากกิจการที่ได้รับยกเว้นภาษี หรือภาษีซื้อต้องห้ามที่กฎหมายไม่อนุญาตให้ขอคืน"
"","","","","","","","","tax","invoice","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"","","","","","","","","base","refund","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","","","",""
"","","","","","","","","tax","refund","7. Input tax (according to invoice of purchase amount in 6.)","l10n_th_account_114200","","","",""
"tax_output_vat_exempted","0% EXEMPT","Output VAT Exempted","","percent","0.0","sale","","base","invoice","1. Sales amount||3. Less exempted sales","","","","","การขายสินค้าหรือบริการที่ได้รับยกเว้นภาษีมูลค่าเพิ่ม (เช่น ขายพืชผลทางการเกษตร, ค่าเช่าที่พักอาศัย)"
"","","","","","","","","tax","invoice","5. Output tax","l10n_th_account_213200","","","",""
"","","","","","","","","base","refund","1. Sales amount||3. Less exempted sales","","","","",""
"","","","","","","","","tax","refund","5. Output tax","l10n_th_account_213200","","","",""
"tax_wht_co_1","1% WH C T","Company Withholding Tax 1% (Transportation)","","percent","-1.0","purchase","tax_group_1","base","invoice","Income PND53","","","","","ภาษีหัก ณ ที่จ่าย 1% - ค่าขนส่ง (ภ.ง.ด.53 นิติบุคคล)"
"","","","","","","","","tax","invoice","PND53","l10n_th_account_213302","","","",""
"","","","","","","","","base","refund","Income PND53","","","","",""
"","","","","","","","","tax","refund","PND53","l10n_th_account_213302","","","",""
"tax_wht_co_2","2% WH C A","Company Withholding Tax 2% (Advertising)","","percent","-2.0","purchase","tax_group_2","base","invoice","Income PND53","","","","","ภาษีหัก ณ ที่จ่าย 2% - ค่าโฆษณา (ภ.ง.ด.53 นิติบุคคล)"
"","","","","","","","","tax","invoice","PND53","l10n_th_account_213302","","","",""
"","","","","","","","","base","refund","Income PND53","","","","",""
"","","","","","","","","tax","refund","PND53","l10n_th_account_213302","","","",""
"tax_wht_co_3","3% WH C S","Company Withholding Tax 3% (Service)","","percent","-3.0","purchase","tax_group_3","base","invoice","Income PND53","","","","","ภาษีหัก ณ ที่จ่าย 3% - ค่าบริการ (ภ.ง.ด.53 นิติบุคคล)"
"","","","","","","","","tax","invoice","PND53","l10n_th_account_213302","","","",""
"","","","","","","","","base","refund","Income PND53","","","","",""
"","","","","","","","","tax","refund","PND53","l10n_th_account_213302","","","",""
"tax_wht_co_5","5% WH C R","Company Withholding Tax 5% (Rental)","","percent","-5.0","purchase","tax_group_5","base","invoice","Income PND53","","","","","ภาษีหัก ณ ที่จ่าย 5% - ค่าเช่า (ภ.ง.ด.53 นิติบุคคล)"
"","","","","","","","","tax","invoice","PND53","l10n_th_account_213302","","","",""
"","","","","","","","","base","refund","Income PND53","","","","",""
"","","","","","","","","tax","refund","PND53","l10n_th_account_213302","","","",""
"tax_wht_pers_1","1% WH P T","Personal Withholding Tax 1% (Transportation)","","percent","-1.0","purchase","tax_group_1","base","invoice","Income PND3","","","","","ภาษีหัก ณ ที่จ่าย 1% - ค่าขนส่ง (ภ.ง.ด.3 บุคคลธรรมดา)"
"","","","","","","","","tax","invoice","PND3","l10n_th_account_213301","","","",""
"","","","","","","","","base","refund","Income PND3","","","","",""
"","","","","","","","","tax","refund","PND3","l10n_th_account_213301","","","",""
"tax_wht_pers_2","2% WH P A","Personal Withholding Tax 2% (Advertising)","","percent","-2.0","purchase","tax_group_2","base","invoice","Income PND3","","","","","ภาษีหัก ณ ที่จ่าย 2% - ค่าโฆษณา (ภ.ง.ด.3 บุคคลธรรมดา)"
"","","","","","","","","tax","invoice","PND3","l10n_th_account_213301","","","",""
"","","","","","","","","base","refund","Income PND3","","","","",""
"","","","","","","","","tax","refund","PND3","l10n_th_account_213301","","","",""
"tax_wht_pers_3","3% WH P S","Personal Withholding Tax 3% (Service)","","percent","-3.0","purchase","tax_group_3","base","invoice","Income PND3","","","","","ภาษีหัก ณ ที่จ่าย 3% - ค่าบริการ (ภ.ง.ด.3 บุคคลธรรมดา)"
"","","","","","","","","tax","invoice","PND3","l10n_th_account_213301","","","",""
"","","","","","","","","base","refund","Income PND3","","","","",""
"","","","","","","","","tax","refund","PND3","l10n_th_account_213301","","","",""
"tax_wht_pers_5","5% WH P R","Personal Withholding Tax 5% (Rental)","","percent","-5.0","purchase","tax_group_5","base","invoice","Income PND3","","","","","ภาษีหัก ณ ที่จ่าย 5% - ค่าเช่า (ภ.ง.ด.3 บุคคลธรรมดา)"
"","","","","","","","","tax","invoice","PND3","l10n_th_account_213301","","","",""
"","","","","","","","","base","refund","Income PND3","","","","",""
"","","","","","","","","tax","refund","PND3","l10n_th_account_213301","","","",""
"tax_wht_income_1","1% WH T","Withholding Income Tax 1% (Transportation)","","percent","-1.0","sale","tax_group_1","base","invoice","","","tax_excluded","","","ภาษีถูกหัก ณ ที่จ่าย 1% - ค่าขนส่ง (สินทรัพย์รอเครดิตภาษี)"
"","","","","","","","","tax","invoice","","l10n_th_account_114300","","","",""
"","","","","","","","","base","refund","","","","","",""
"","","","","","","","","tax","refund","","l10n_th_account_114300","","","",""
"tax_wht_income_2","2% WH A","Withholding Income Tax 2% (Advertising)","","percent","-2.0","sale","tax_group_2","base","invoice","","","tax_excluded","","","ภาษีถูกหัก ณ ที่จ่าย 2% - ค่าโฆษณา (สินทรัพย์รอเครดิตภาษี)"
"","","","","","","","","tax","invoice","","l10n_th_account_114300","","","",""
"","","","","","","","","base","refund","","","","","",""
"","","","","","","","","tax","refund","","l10n_th_account_114300","","","",""
"tax_wht_income_3","3% WH S","Withholding Income Tax 3% (Service)","","percent","-3.0","sale","tax_group_3","base","invoice","","","tax_excluded","","","ภาษีถูกหัก ณ ที่จ่าย 3% - ค่าบริการ (สินทรัพย์รอเครดิตภาษี)"
"","","","","","","","","tax","invoice","","l10n_th_account_114300","","","",""
"","","","","","","","","base","refund","","","","","",""
"","","","","","","","","tax","refund","","l10n_th_account_114300","","","",""
"tax_wht_income_5","5% WH R","Withholding Income Tax 5% (Rental)","","percent","-5.0","sale","tax_group_5","base","invoice","","","tax_excluded","","","ภาษีถูกหัก ณ ที่จ่าย 5% - ค่าเช่า (สินทรัพย์รอเครดิตภาษี)"
"","","","","","","","","tax","invoice","","l10n_th_account_114300","","","",""
"","","","","","","","","base","refund","","","","","",""
"","","","","","","","","tax","refund","","l10n_th_account_114300","","","",""
