"id","code","name","account_type","reconcile","tag_ids","non_trade","description","name@th_TH","description@th_TH"
"l10n_th_account_111100","111100","Cash on Hand","asset_cash","True","","","Physical cash in safe or tills. Reconcile with daily cash counts.","เงินสดในมือ","เงินสดที่มีอยู่จริงในตู้เซฟหรือลิ้นชักเก็บเงิน ตรวจสอบยอดกับรายงานการนับเงินสดประจำวัน"
"l10n_th_account_111200","111200","Bank Deposits","asset_cash","True","","","Funds in savings/current accounts. Reconcile with monthly bank statements.","เงินฝากธนาคาร","เงินฝากในบัญชีออมทรัพย์หรือกระแสรายวัน ตรวจสอบยอดกับ Bank Statement ประจำเดือน"
"l10n_th_account_111201","111201","Bank Suspense Account","asset_current","True","","","Temporary holding account for imported bank transactions pending reconciliation.","บัญชีพักรอตรวจสอบ (ธนาคาร)","บัญชีพักสำหรับรายการบัญชีธนาคารที่นำเข้ามาแล้วแต่รอการกระทบยอด"
"l10n_th_account_111202","111202","Liquidity Transfer","asset_current","True","","","Interim clearing account for internal fund transfers between bank or cash journals.","บัญชีพักโอนเงินระหว่างกัน","บัญชีพักสำหรับการโอนเงินภายในระหว่างสมุดเงินสดหรือสมุดธนาคาร"
"l10n_th_account_111300","111300","Cash Equivalents","asset_cash","True","","","Highly liquid short-term investments convertible to known cash amounts.","รายการเทียบเท่าเงินสด","เงินลงทุนระยะสั้นที่มีสภาพคล่องสูง สามารถเปลี่ยนเป็นเงินสดได้ในจำนวนที่ทราบได้แน่นอน"
"l10n_th_account_112100","112100","Trade Receivables","asset_receivable","True","","","Amounts owed by customers for goods sold or services rendered on credit.","ลูกหนี้การค้า","ยอดเงินที่ลูกค้าค้างชำระจากการขายสินค้าหรือให้บริการแบบเชื่อ (เครดิต)"
"l10n_th_account_112101","112101","Trade Receivables (POS)","asset_receivable","True","","","Amounts owed by POS customers for goods sold or services rendered on credit.","ลูกหนี้การค้า (POS)","ยอดเงินที่ลูกค้าหน้าร้าน (POS) ค้างชำระจากการขายสินค้าหรือบริการ"
"l10n_th_account_112190","112190","Allowance for Doubtful Accounts","asset_current","False","","","Estimated portion of receivables unlikely to be collected (Contra Asset).","ค่าเผื่อหนี้สงสัยจะสูญ","ประมาณการยอดลูกหนี้ที่คาดว่าจะเก็บเงินไม่ได้ (บัญชีปรับมูลค่าสินทรัพย์)"
"l10n_th_account_112200","112200","Other Receivables","asset_current","True","","","Non-trade receivables such as loans to employees or insurance claims.","ลูกหนี้อื่น","ลูกหนี้ที่ไม่ใช่การค้า เช่น เงินให้กู้ยืมแก่พนักงาน หรือเงินชดเชยประกันภัย"
"l10n_th_account_113100","113100","Goods for resale","asset_current","False","","","Finished goods purchased specifically for resale to customers.","สินค้าสำเร็จรูป / สินค้าเพื่อขาย","สินค้าสำเร็จรูปที่ซื้อมาเพื่อขายต่อให้แก่ลูกค้าโดยเฉพาะ"
"l10n_th_account_113200","113200","Raw materials","asset_current","False","","","Basic materials kept on hand for use in the production process.","วัตถุดิบ","วัสดุพื้นฐานที่เก็บไว้เพื่อใช้ในกระบวนการผลิต"
"l10n_th_account_113300","113300","Consumables","asset_current","False","","","Supplies used in operations (e.g., packaging) that are not direct product costs.","วัสดุสิ้นเปลือง","วัสดุที่ใช้ในการดำเนินงาน (เช่น บรรจุภัณฑ์) ที่ไม่ใช่ต้นทุนสินค้าโดยตรง"
"l10n_th_account_113400","113400","Work in Process","asset_current","False","","","Goods currently in production but not yet completed.","งานระหว่างทำ","สินค้าที่อยู่ระหว่างกระบวนการผลิตแต่ยังผลิตไม่เสร็จสมบูรณ์"
"l10n_th_account_113900","113900","Allowance for Inventory Decline","asset_current","False","","","Provision to reduce inventory value if market price drops below cost.","ค่าเผื่อมูลค่าสินค้าลดลง","การตั้งสำรองเพื่อลดมูลค่าสินค้าคงเหลือ หากราคาตลาดต่ำกว่าราคาทุน"
"l10n_th_account_114100","114100","Undue Input VAT","asset_current","True","","","Suspense VAT: Input tax from service bills received but not yet paid. Move to 'Input VAT' upon payment.","ภาษีซื้อยังไม่ถึงกำหนด","ภาษีซื้อจากค่าบริการที่ได้รับใบแจ้งหนี้แล้วแต่ยังไม่ได้ชำระเงิน (จะย้ายไป ""ภาษีซื้อ"" เมื่อจ่ายเงิน)"
"l10n_th_account_114200","114200","Input VAT","asset_current","True","","","Tax paid on purchases. Balance is transferred to VAT Payable/Receivable at month-end.","ภาษีซื้อ","ภาษีที่จ่ายจากการซื้อสินค้า/บริการ ยอดนี้จะนำไปหักลบกับภาษีขายหรือขอคืนภาษีได้"
"l10n_th_account_114300","114300","WHT Creditable","asset_current","True","","","Prepaid Tax: Income tax deducted by customers when paying you. Claimable against year-end CIT.","ภาษีเงินได้ถูกหัก ณ ที่จ่าย (สินทรัพย์)","ภาษีที่ถูกลูกค้าหักไว้เมื่อรับชำระเงิน สามารถนำไปเครดิตภาษีเงินได้นิติบุคคลสิ้นปี"
"l10n_th_account_114400","114400","VAT Receivable","asset_receivable","True","","True","Net tax refund due from the Revenue Dept (if Input VAT > Output VAT).","ลูกหนี้กรมสรรพากร (ขอคืน VAT)","ยอดขอคืนภาษีสุทธิจากกรมสรรพากร (กรณีภาษีซื้อมากกว่าภาษีขาย)"
