"id","description","invoice_label","type_tax_use","tax_scope","name","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"ST11","","20%","sale","","20%","percent","20.0","tax_group_20","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","+1","2200",""
"","","","","","","","","","","base","refund","-6","",""
"","","","","","","","","","","tax","refund","-1","2200",""
"PT_20_G","","20%","purchase","consu","20% G","percent","20.0","tax_group_20","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","+4","2201",""
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","-4","2201",""
"PT_20_S","","20%","purchase","service","20% S","percent","20.0","tax_group_20","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","+4","2201",""
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","-4","2201",""
"ST0","Zero Rated Sales","0%","sale","","0%","percent","0.0","tax_group_0","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-6","",""
"","","","","","","","","","","tax","refund","","",""
"ST2","","Exempt","sale","","Exempt","percent","0.0","tax_group_0","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-6","",""
"","","","","","","","","","","tax","refund","","",""
"PT2","","Exempt","purchase","","Exempt","percent","0.0","tax_group_0","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","","",""
"PT8","","20%","purchase","","20% EU (NIR)","percent","20.0","tax_group_0","False","base","invoice","+9||+7","",""
"","","","","","","","","","","tax","invoice","+2","2201",""
"","","","","","","","","","","tax","invoice","-4","2201","-100"
"","","","","","","","","","","base","refund","-9||-7","",""
"","","","","","","","","","","tax","refund","-2","2201",""
"","","","","","","","","","","tax","refund","+4","2201","-100"
"PT5","","5%","purchase","","5%","percent","5.0","tax_group_5","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","+4","2201",""
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","-4","2201",""
"ST5","","5%","sale","","5%","percent","5.0","tax_group_5","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","+1","2200",""
"","","","","","","","","","","base","refund","-6","",""
"","","","","","","","","","","tax","refund","-1","2200",""
"ST4","","0%","sale","","0% EU (NIR)","percent","0.0","tax_group_0","False","base","invoice","+8||+6","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-8||-6","",""
"","","","","","","","","","","tax","refund","","",""
"PT7","","0%","purchase","","0% EU (NIR)","percent","0.0","tax_group_0","False","base","invoice","+9||+7","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-9||-7","",""
"","","","","","","","","","","tax","refund","","",""
"PT_20_RCI","Reverse Charge (International)","20% Reverse Charge","purchase","","20% RC EX","percent","20.0","tax_group_20","True","base","invoice","+6||+7","",""
"","","","","","","","","","","tax","invoice","+1","2201","100"
"","","","","","","","","","","tax","invoice","-4","2200","-100"
"","","","","","","","","","","base","refund","-6||-7","","100"
"","","","","","","","","","","tax","refund","-1","2201","100"
"","","","","","","","","","","tax","refund","+4","2200","-100"
"PT_20_RCD","Reverse Charge (Domestic)","20% Reverse Charge","purchase","","20% RC","percent","20.0","tax_group_20","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","+1","2201","100"
"","","","","","","","","","","tax","invoice","-4","2200","-100"
"","","","","","","","","","","base","refund","-7","","100"
"","","","","","","","","","","tax","refund","-1","2201","100"
"","","","","","","","","","","tax","refund","+4","2200","-100"
"ST_20_RCD","Reverse Charge (Domestic)","Reverse Charge: S55A VATA 94 applies","sale","","0% RC","percent","0","tax_group_0","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-6","","100"
"","","","","","","","","","","tax","refund","","",""
"PT_20_PVA","20% Postponed Import VAT","20% PVA","purchase","","20% PVA","percent","20.0","tax_group_20","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","+1","2201",""
"","","","","","","","","","","tax","invoice","-4","2200","-100"
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","-1","2201",""
"","","","","","","","","","","tax","refund","+4","2200","-100"
"ST_0_EX","","0%","sale","","0% EX","percent","0.0","tax_group_0","True","base","invoice","+6","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-6","",""
"","","","","","","","","","","tax","refund","","",""
"PT_0_EX","","0%","purchase","","0% EX","percent","0.0","tax_group_0","True","base","invoice","+7","",""
"","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","base","refund","-7","",""
"","","","","","","","","","","tax","refund","","",""
