"id","name","auto_apply","vat_required","sequence","country_id","country_group_id","active","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"account_fiscal_position_domestic_b2c","UK domestic B2C","True","False","1","base.uk","","True","",""
"account_fiscal_position_domestic_b2b","UK domestic B2B","True","True","2","base.uk","","True","",""
"account_fiscal_position_ni_to_eu_b2b","Northern Ireland to European Union member states B2B","True","True","3","","base.europe","False","ST0","ST4"
"","","","","","","","","ST2","ST4"
"","","","","","","","","ST5","ST4"
"","","","","","","","","ST11","ST4"
"","","","","","","","","ST_0_EX","ST4"
"","","","","","","","","PT2","PT7"
"","","","","","","","","PT_0_EX","PT7"
"","","","","","","","","PT_20_G","PT8"
"","","","","","","","","PT_20_PVA","PT8"
"","","","","","","","","PT_20_S","PT_20_RCI"
"account_fiscal_position_rest_of_world_b2b","Rest of the world","True","False","4","","","True","ST0","ST_0_EX"
"","","","","","","","","ST2","ST_0_EX"
"","","","","","","","","ST4","ST_0_EX"
"","","","","","","","","ST5","ST_0_EX"
"","","","","","","","","ST11","ST_0_EX"
"","","","","","","","","PT2","PT_0_EX"
"","","","","","","","","PT7","PT_0_EX"
"","","","","","","","","PT8","PT_0_EX"
"","","","","","","","","PT_20_G","PT_20_PVA"
"","","","","","","","","PT_20_S","PT_20_RCI"
