"id",name,reveal_id
"crm_iap_mine_role_1","CEO","CEO"
"crm_iap_mine_role_2","Communications","communications"
"crm_iap_mine_role_3","Consulting","consulting"
"crm_iap_mine_role_4","Customer Service","customer_service"
"crm_iap_mine_role_5","Education","education"
"crm_iap_mine_role_6","Engineering","engineering"
"crm_iap_mine_role_7","Finance","finance"
"crm_iap_mine_role_8","Founder","founder"
"crm_iap_mine_role_9","Health Professional","health_professional"
"crm_iap_mine_role_10","Human Resources","human_resources"
"crm_iap_mine_role_11","Information Technology","information_technology"
"crm_iap_mine_role_12","Legal","legal"
"crm_iap_mine_role_13","Marketing","marketing"
"crm_iap_mine_role_14","Operations","operations"
"crm_iap_mine_role_15","Owner","owner"
"crm_iap_mine_role_16","President","president"
"crm_iap_mine_role_17","Product","product"
"crm_iap_mine_role_18","Public Relations","public_relations"
"crm_iap_mine_role_19","Real Estate","real_estate"
"crm_iap_mine_role_20","Recruiting","recruiting"
"crm_iap_mine_role_21","Research","research"
"crm_iap_mine_role_22","Sale","sale"
