"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ar","fiscal_position_ids","original_tax_ids","active","tax_exigibility","repartition_line_ids/use_in_tax_closing","price_include_override",include_base_amount,cash_basis_transition_account_id,is_withholding_tax_on_payment,"invoice_legal_notes"
"sa_sales_tax_15","15%","sale","15.0","percent",,"15%","sa_tax_group_taxes_vat",,"base","invoice","1(B)",,,"المبيعات الخاضعة للنسبة الأساسية %15",l10n_sa_account_fiscal_position_ksa,,,,,,,
,,,,,,,,,"tax","invoice","1(T)","sa_account_201017",,,,,,,,,,,
,,,,,,,,,"base","refund","1(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund","1(T)","sa_account_201017",,,,,,,,,,,
"sa_ph_pe_hs_tax_15","15% PH PE HS","sale","15.0","percent","Private Healthcare / Private Education / First house sales to citizens","15%","sa_tax_group_taxes_vat",,"base","invoice","2(B)",,,"المبيعات الخاضعة للنسبة الأساسية %15",l10n_sa_account_fiscal_position_ksa,,,,,,,
,,,,,,,,,"tax","invoice",,"sa_account_201017",,,,,,,,,,,
,,,,,,,,,"base","refund","2(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund",,"sa_account_201017",,,,,,,,,,,
"sa_local_sales_tax_0","0%","sale","0.0","percent","Not Subject to VAT","0%","sa_tax_group_taxes_vat",,"base","invoice","3(B)",,,"غير خاضعة لضريبة القيمة المضافة.","l10n_sa_account_fiscal_position_ksa,l10n_sa_account_fiscal_position_gcc",,,,,,,,,"Not Subject to VAT."
,,,,,,,,,"tax","invoice",,,,,,,,,,,,,
,,,,,,,,,"base","refund","3(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund",,,,,,,,,,,,,
"sa_international_transport_passengers_tax_0","0% ITP","sale","0.0","percent","The International transport of Passengers","0%","sa_tax_group_taxes_vat",,"base","invoice","3(B)",,,"المواصلات الدولية للركاب.",l10n_sa_account_fiscal_position_ksa,,"False",,,,,,,"The International transport of Passengers."
,,,,,,,,,"tax","invoice",,,,,,,,,,,,,
,,,,,,,,,"base","refund","3(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund",,,,,,,,,,,,,
"sa_international_transport_passengers_services_tax_0","0% S IPT","sale","0.0","percent","Services directly connected and incidental to a Supply of international passenger transport","0%","sa_tax_group_taxes_vat",,"base","invoice","3(B)",,,"الخدمات المتصلة مباشرة وعرضاً بوسيلة مواصلات الركاب الدولية.",l10n_sa_account_fiscal_position_ksa,,"False",,,,,,,"Services directly connected with international passenger transport."
,,,,,,,,,"tax","invoice",,,,,,,,,,,,,
,,,,,,,,,"base","refund","3(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund",,,,,,,,,,,,,
"sa_qualifying_transport_tax_0","0% QT","sale","0.0","percent","Supply of a qualifying means of transport","0%","sa_tax_group_taxes_vat",,"base","invoice","3(B)",,,"التزويد بوسائل نقل مؤهلة.",l10n_sa_account_fiscal_position_ksa,,,,,,,,,"Supply of a qualifying means of transport."
,,,,,,,,,"tax","invoice",,,,,,,,,,,,,
,,,,,,,,,"base","refund","3(B)",,,,,,,,,,,,
,,,,,,,,,"tax","refund",,,,,,,,,,,,,
