"id","name","code","account_type","reconcile","non_trade","name@ar","description","description@ar","tax_ids","depreciation_model_id","parent_id","active"
"sa_account_100000","Intangible Assets","100000","asset_fixed","False","","","","","","","","False"
"sa_account_106010","Registration of Trademarks","100100","asset_current","False","","تسجيل العلامات التجارية","","","","","sa_account_100000",""
"sa_account_100109","Computer Software","100200","asset_fixed","False","","أجهزة وبرامج الكمبيوتر","Technological products or services bought for your business","المنتجات أو الخدمات التكنولوجية التي تم شراؤها لشركتك","","asset_3_year_linear","sa_account_100000",""
"sa_account_110000","Property, Plant & Equipment (PP&E)","110000","asset_fixed","False","","","","","","","","False"
"sa_account_100104","Land","110100","asset_fixed","False","","أرض","Purchases of lands without buildings","شراء الأراضي بدون مباني","","","sa_account_110000",""
"sa_account_100105","Construction","110200","asset_fixed","False","","بناء","Construction of buildings and costs associated to buildings","تشييد المباني والتكاليف المرتبطة بها","","asset_30_year_linear","sa_account_110000",""
"sa_account_100106","Installations","110300","asset_fixed","False","","المنشآت","Purchases of installations related to buildings, like solar panels or heater","مشتريات التركيبات المتعلقة بالمباني، مثل الألواح الشمسية أو السخانات","","asset_10_year_linear","sa_account_110000",""
"sa_account_100107","Machines & tools","110400","asset_fixed","False","","الآلات والأدوات","Machinery and tools directly related to your business","الآلات والأدوات المرتبطة مباشرة بعملك","","asset_5_year_linear","sa_account_110000",""
"sa_account_100111","Vehicle accessories","110500","asset_fixed","False","","ملحقات المركبات","All accessories purchases related to your professional vehicle","جميع مشتريات الملحقات المتعلقة بمركبتك المهنية","","asset_3_year_linear","sa_account_110000",""
"sa_account_100113","Leasehold Improvement","110600","asset_fixed","False","","تحسينات الإيجار","","","","","sa_account_110000",""
"sa_account_100119","Amortisation on Leasehold Improvement","110700","asset_fixed","False","","الاستهلاك على تحسينات الإيجار","","","","","sa_account_110000",""
"sa_account_100108","Furniture and Equipment","110800","asset_fixed","False","","الأثاث والمعدات","Large expenses related to workplaces","النفقات الكبيرة المتعلقة بأماكن العمل","","asset_5_year_linear","sa_account_110000",""
"sa_account_110900","Accumulated Depreciation of Furniture & Office Equipment","110900","asset_fixed","False","","","","","","","sa_account_110000",""
"sa_account_111000","Computer Hardware","111000","asset_fixed","False","","","","","","","sa_account_110000",""
"sa_account_111100","Accumulated Depreciation - Computer Hardware","111100","asset_fixed","False","","","","","","","sa_account_110000",""
"sa_account_100110","Motor Vehicles","111200","asset_fixed","False","","المركبات الآلية","Purchase of a car, including second hand or after-lease contract","شراء سيارة، بما في ذلك عقد الإيجار المستعمل أو ما بعد الإيجار","","asset_5_year_linear","sa_account_110000",""
"sa_account_111300","Accumulated Depreciation of Motor Vehicles","111300","asset_fixed","False","","","","","","","sa_account_110000",""
"sa_account_100101","Right of use Asset (IFRS 16)","111400","asset_fixed","False","","حق استخدام الأصول (IFRS 16)","","","","","sa_account_110000",""
"sa_account_100102","Accumulated Depreciation on Right of use asset (IFRS 16)","111500","asset_fixed","False","","الاستهلاك المتراكم استخدام حق الأصول (IFRS 16)","","","","","sa_account_110000",""
"sa_account_100112","Other property","111600","asset_fixed","False","","ممتلكات أخرى","Other type of property, like plants, machinery or various equipment","نوع آخر من الممتلكات، مثل النباتات أو الآلات أو المعدات المختلفة","","asset_5_year_linear","sa_account_110000",""
"sa_account_120000","Inventories","120000","asset_current","False","","","","","","","","False"
"sa_account_131100","Inventory - Raw Materials","120100","asset_current","False","","مخزون المواد الخام","","","","","sa_account_120000",""
"sa_account_120200","Inventory - Work in Progress","120200","asset_current","False","","","","","","","sa_account_120000",""
"sa_account_120300","Goods in Transit","120300","asset_current","False","","","","","","","sa_account_120000",""
"sa_account_103016","Shipment Insurance","120301","asset_current","False","","تأمين الشحنات","","","","","sa_account_120000",""
"sa_account_103017","Shipment Documentation Charges","120302","asset_current","False","","رسوم توثيق الشحنات","","","","","sa_account_120000",""
