"id","name","description","invoice_label",type_tax_use,l10n_in_tds_tax_type,"amount_type","amount","tax_scope","active","tax_group_id","is_base_affected","include_base_amount","children_tax_ids","python_compute","sequence","l10n_in_reverse_charge","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids"
"tds_sale_10_us_192a","10% 192A S","TDS @10% u/s 192A","TDS @10% u/s 192A","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_192a","20% 192A S","TDS @20% u/s 192A","TDS @20% u/s 192A","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_193","10% 193 S","TDS @10% u/s 193","TDS @10% u/s 193","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_193","20% 193 S","TDS @20% u/s 193","TDS @20% u/s 193","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194","10% 194 S","TDS @10% u/s 194","TDS @10% u/s 194","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194","20% 194 S","TDS @20% u/s 194","TDS @20% u/s 194","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194a","10% 194A S","TDS @10% u/s 194A","TDS @10% u/s 194A","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194a","20% 194A S","TDS @20% u/s 194A","TDS @20% u/s 194A","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_30_us_194b","30% 194B S","TDS @30% u/s 194B","TDS @30% u/s 194B","none","sale","percent","-30.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_30_us_194bb","30% 194BB S","TDS @30% u/s 194BB","TDS @30% u/s 194BB","none","sale","percent","-30.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_1_us_194c","1% 194C S","TDS @1% u/s 194C","TDS @1% u/s 194C","none","sale","percent","-1.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194c","2% 194C S","TDS @2% u/s 194C","TDS @2% u/s 194C","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194c","20% 194C S","TDS @20% u/s 194C","TDS @20% u/s 194C","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194d","5% 194D S","TDS @5% u/s 194D","TDS @5% u/s 194D","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194d","10% 194D S","TDS @10% u/s 194D","TDS @10% u/s 194D","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194d","20% 194D S","TDS @20% u/s 194D","TDS @20% u/s 194D","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194da","2% 194DA S","TDS @2% u/s 194DA","TDS @2% u/s 194DA","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_5_us_194da","5% 194DA S","TDS @5% u/s 194DA","TDS @5% u/s 194DA","none","sale","percent","-5.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194da","20% 194DA S","TDS @20% u/s 194DA","TDS @20% u/s 194DA","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194e","20% 194E S","TDS @20% u/s 194E","TDS @20% u/s 194E","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_10_us_194ee","10% 194EE S","TDS @10% u/s 194EE","TDS @10% u/s 194EE","none","sale","percent","-10.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194ee","20% 194EE S","TDS @20% u/s 194EE","TDS @20% u/s 194EE","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_20_us_194f","20% 194F S","TDS @20% u/s 194F","TDS @20% u/s 194F","none","sale","percent","-20.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
"tds_sale_2_us_194g","2% 194G S","TDS @2% u/s 194G","TDS @2% u/s 194G","none","sale","percent","-2.0","service","","tds_group","","","","","","","100","base","invoice","",""
"","","","","","","","","","","","","","","","","","100","tax","invoice","p10054",""
"","","","","","","","","","","","","","","","","","100","base","refund","",""
"","","","","","","","","","","","","","","","","","100","tax","refund","p10054",""
