"id","code_prefix_start","name","name@lv"
"l10n_lv_group_1","1","Long-term investments","Ilgtermiņa ieguldījumi"
"l10n_lv_group_11","11","Intangible assets","Nemateriālie ieguldījumi"
"l10n_lv_group_12","12","Fixed assets (property, plant and equipment, investment property and biological assets)","Pamatlīdzekļi (pamatlīdzekļi, ieguldījuma īpašumi un bioloģiskie aktīvi)"
"l10n_lv_group_13","13","Investment properties","Ieguldījuma īpašumi"
"l10n_lv_group_14","14","Biological assets (Animals and plants)","Bioloģiskie aktīvi (Dzīvnieki un augi)"
"l10n_lv_group_15","15","Long-term financial investments","Ilgtermiņa finanšu ieguldījumi"
"l10n_lv_group_2","2","Current assets","Apgrozāmie līdzekļi"
"l10n_lv_group_21","21","Inventory","Krājumi"
"l10n_lv_group_22","22","Animals and plants","Dzīvnieki un augi"
"l10n_lv_group_23","23","Settlements with debtors","Norēķini par prasībām (ar debitoriem)"
"l10n_lv_group_24","24","Deferred expenses","Nākamo periodu izmaksas"
"l10n_lv_group_25","25","Short-term financial investments","Īstermiņa finanšu ieguldījumi"
"l10n_lv_group_26","26","Money","Naudas līdzekļi"
"l10n_lv_group_28","28","Long-term investments held for sale","Pārdošanai turēti ilgtermiņa ieguldījumi"
"l10n_lv_group_3","3","Equity","Pašu kapitāls"
"l10n_lv_group_31","31","Share capital or participation capital, revaluation reserve for long-term investments","Pamatkapitāls vai līdzdalības kapitāls, ilgtermiņa ieguldījumu pārvērtēšanas rezerve"
"l10n_lv_group_32","32","Private accounts (private investment and consumption of money)","Privātkonti (privātie ieguldījumi un naudas līdzekļu patēriņš)"
"l10n_lv_group_33","33","Reserves","Rezerves"
"l10n_lv_group_34","34","Profit or loss","Peļņa vai zaudējumi"
"l10n_lv_group_4","4","Accruals","Uzkrājumi"
"l10n_lv_group_41","41","Provisions for pensions and similar liabilities","Uzkrājumi pensijām un tamlīdzīgām saistībām"
"l10n_lv_group_42","42","Provisions for expected taxes",""
"l10n_lv_group_43","43","Other provisions",""
"l10n_lv_group_5","5","Creditors","Kreditori"
"l10n_lv_group_51","51","Settlement of loans","Norēķini par aizņēmumiem"
"l10n_lv_group_52","52","Settlement of advances received from customers","Norēķini par saņemtajiem avansiem no pircējiem"
"l10n_lv_group_53","53","Settlements with suppliers and contractors","Norēķini ar piegādātājiem un darbuzņēmējiem"
"l10n_lv_group_54","54","Promissory notes payable","Maksājamie vekseļi"
"l10n_lv_group_55","55","Settlements with companies, members and staff","Norēķini ar uzņēmumiem, dalībniekiem un personālu"
"l10n_lv_group_56","56","Settlement of wages and deductions (excluding taxes)","Norēķini par darba samaksu un ieturējumiem (izņemot nodokļus)"
"l10n_lv_group_57","57","Tax settlement","Norēķini par nodokļiem"
"l10n_lv_group_58","58","Dividends settlement","Norēķini par dividendēm"
"l10n_lv_group_59","59","Deferred income","Nākamo periodu ieņēmumi"
"l10n_lv_group_6","6","Revenue from business activities","Ieņēmumi no uzņēmuma saimnieciskās darbības"
"l10n_lv_group_61","61","Business income subject to general taxation","Saimnieciskās darbības ieņēmumi, kas apliekami ar nodokļiem vispārējā kārtībā"
"l10n_lv_group_62","62","Revenue from sales subject to reduced taxation","Ieņēmumi no pārdošanas, apliekami ar reducētiem (samazinātiem) nodokļiem"
"l10n_lv_group_63","63","Commission, brokerage and other income","Komisijas, starpniecības un citi ieņēmumi"
"l10n_lv_group_64","64","Revenue-reducing discounts","Ieņēmumus samazinošas atlaides"
"l10n_lv_group_65","65","Other operating revenue","Pārējie saimnieciskās darbības ieņēmumi"
"l10n_lv_group_66","66","Changes in stocks and value of finished products and work in progress","Gatavās produkcijas un nepabeigto ražojumu krājumu un vērtības izmaiņas"
"l10n_lv_group_67","67","Revenues of other periods relating to the reporting period","Citu periodu ieņēmumi, kas attiecas uz pārskata periodu"
"l10n_lv_group_69","69","Revenue from social infrastructure","Ieņēmumi no sociālās infrastruktūras objektiem"
"l10n_lv_group_7","7","Cost of economic activity",""
"l10n_lv_group_71","71","Costs of raw materials, supplies and goods","Izejvielu, materiālu un preču iepirkšanai izmaksas"
"l10n_lv_group_72","72","Staff costs","Personāla izmaksas"
"l10n_lv_group_73","73","Social costs and charges","Sociālās izmaksas un nodevas"
"l10n_lv_group_74","74","Depreciation of property, plant and equipment and write-downs of other investments","Pamatlīdzekļu nolietojums un citu ieguldījumu vērtības norakstījumi"
"l10n_lv_group_75","75","Other operating expenses","Pārējās saimnieciskās darbības izmaksas"
"l10n_lv_group_76","76","Cost of goods sold","Preču pārdošanas izmaksas"
"l10n_lv_group_77","77","Administration costs","Administrācijas izmaksas"
"l10n_lv_group_78","78","Prior period costs to be included in the reporting period","Pārskata periodā iekļaujamās iepriekšējo periodu izmaksas"
"l10n_lv_group_79","79","Social infrastructure maintenance costs","Sociālās infrastruktūras uzturēšanas izmaksas"
"l10n_lv_group_8","8","Miscellaneous income and expenses, profit and loss","Dažādi ieņēmumi un izmaksas, peļņa un zaudējumi"
"l10n_lv_group_81","81","Miscellaneous revenues","Dažādi ieņēmumi"
"l10n_lv_group_82","82","Different costs","Dažādas izmaksas"
"l10n_lv_group_83","83","Extra income","Ārkārtas ieņēmumi"
"l10n_lv_group_84","84","Extraordinary costs","Ārkārtas izmaksas"
"l10n_lv_group_86","86","Profit or loss","Peļņa vai zaudējumi"
"l10n_lv_group_88","88","Taxes on profits and other taxes not included in operating expenses","Nodokļi no peļņas un citi saimnieciskās darbības izdevumos neiekļaujamie nodokļi"
"l10n_lv_group_9","9","Additional work accounts","Papildus darba konti"
