id,code_prefix_start,code_prefix_end,name,chart_template_id/id
account_group_1,1,,"EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS",l10n_lu.lu_2011_chart_1
account_group_10,10,,"Subscribed capital or branches' assigned capital and owner's account",l10n_lu.lu_2011_chart_1
account_group_101,101,,"Subscribed capital",l10n_lu.lu_2011_chart_1
account_group_102,102,,"Subscribed capital not called",l10n_lu.lu_2011_chart_1
account_group_103,103,,"Subscribed capital called but unpaid",l10n_lu.lu_2011_chart_1
account_group_104,104,,"Capital of individual companies, corporate partnerships and similar",l10n_lu.lu_2011_chart_1
account_group_105,105,,"Endowment of branches",l10n_lu.lu_2011_chart_1
account_group_106,106,,"Account of the owner or the co-owners",l10n_lu.lu_2011_chart_1
account_group_11,11,,"Share premium and similar premiums",l10n_lu.lu_2011_chart_1
account_group_111,111,,"Share premium",l10n_lu.lu_2011_chart_1
account_group_112,112,,"Merger premium",l10n_lu.lu_2011_chart_1
account_group_113,113,,"Contribution premium",l10n_lu.lu_2011_chart_1
account_group_114,114,,"Premiums on conversion of bonds into shares",l10n_lu.lu_2011_chart_1
account_group_115,115,,"Capital contribution without issue of shares",l10n_lu.lu_2011_chart_1
account_group_12,12,,"Revaluation reserves",l10n_lu.lu_2011_chart_1
account_group_122,122,,"Reserves in application of the equity method",l10n_lu.lu_2011_chart_1
account_group_123,123,,"Temporarily not taxable currency translation adjustments",l10n_lu.lu_2011_chart_1
account_group_128,128,,"Other revaluation reserves",l10n_lu.lu_2011_chart_1
account_group_13,13,,"Reserves",l10n_lu.lu_2011_chart_1
account_group_131,131,,"Legal reserve",l10n_lu.lu_2011_chart_1
account_group_132,132,,"Reserves for own shares or own corporate units",l10n_lu.lu_2011_chart_1
account_group_133,133,,"Reserves provided for by the articles of association",l10n_lu.lu_2011_chart_1
account_group_138,138,,"Other reserves, including fair-value reserve",l10n_lu.lu_2011_chart_1
account_group_1381,1381,,"Other reserves available for distribution",l10n_lu.lu_2011_chart_1
account_group_1382,1382,,"Other reserves not available for distribution",l10n_lu.lu_2011_chart_1
account_group_13821,13821,,"Reserve for net wealth tax (NWT)",l10n_lu.lu_2011_chart_1
account_group_13822,13822,,"Reserves in application of fair value",l10n_lu.lu_2011_chart_1
account_group_13823,13823,,"Temporarily not taxable capital gains",l10n_lu.lu_2011_chart_1
account_group_138231,138231,,"Temporarily not taxable capital gains to reinvest",l10n_lu.lu_2011_chart_1
account_group_138232,138232,,"Temporarily not taxable capital gains reinvested",l10n_lu.lu_2011_chart_1
account_group_13828,13828,,"Reserves not available for distribution not mentioned above",l10n_lu.lu_2011_chart_1
account_group_14,14,,"Result for the financial year and results brought forward",l10n_lu.lu_2011_chart_1
account_group_141,141,,"Results brought forward",l10n_lu.lu_2011_chart_1
account_group_1411,1411,,"Results brought forward in the process of assignment",l10n_lu.lu_2011_chart_1
account_group_1412,1412,,"Results brought forward (assigned)",l10n_lu.lu_2011_chart_1
account_group_142,142,,"Result for the financial year",l10n_lu.lu_2011_chart_1
account_group_15,15,,"Interim dividends",l10n_lu.lu_2011_chart_1
account_group_16,16,,"Capital investment subsidies",l10n_lu.lu_2011_chart_1
account_group_161,161,,"Subsidies on intangible fixed assets",l10n_lu.lu_2011_chart_1
account_group_1611,1611,,"Development costs",l10n_lu.lu_2011_chart_1
account_group_1612,1612,,"Concessions, patents, licences, trademarks and similar rights and assets",l10n_lu.lu_2011_chart_1
account_group_16121,16121,,"acquired against payment (except Goodwill)",l10n_lu.lu_2011_chart_1
account_group_16122,16122,,"created by the undertaking itself",l10n_lu.lu_2011_chart_1
account_group_1613,1613,,"Goodwill acquired for consideration",l10n_lu.lu_2011_chart_1
account_group_162,162,,"Subsidies on tangible fixed assets",l10n_lu.lu_2011_chart_1
account_group_1621,1621,,"Subsidies on land, fitting-outs and buildings",l10n_lu.lu_2011_chart_1
account_group_1622,1622,,"Subsidies on plant and machinery",l10n_lu.lu_2011_chart_1
account_group_1623,1623,,"Subsidies on other fixtures, fittings, tools and equipment (including rolling stock)",l10n_lu.lu_2011_chart_1
account_group_168,168,,"Other capital investment subsidies",l10n_lu.lu_2011_chart_1
account_group_18,18,,"Provisions",l10n_lu.lu_2011_chart_1
account_group_181,181,,"Provisions for pensions and similar obligations",l10n_lu.lu_2011_chart_1
account_group_182,182,,"Provisions for taxation",l10n_lu.lu_2011_chart_1
account_group_183,183,,"Deferred tax provisions",l10n_lu.lu_2011_chart_1
account_group_188,188,,"Other provisions",l10n_lu.lu_2011_chart_1
account_group_1881,1881,,"Operating provisions",l10n_lu.lu_2011_chart_1
account_group_1882,1882,,"Financial provisions",l10n_lu.lu_2011_chart_1
account_group_19,19,,"Debenture loans and amounts owed to credit institutions",l10n_lu.lu_2011_chart_1
account_group_192,192,,"Convertible debenture loans",l10n_lu.lu_2011_chart_1
account_group_1921,1921,,"due and payable within one year",l10n_lu.lu_2011_chart_1
account_group_1922,1922,,"due and payable after more than one year",l10n_lu.lu_2011_chart_1
account_group_193,193,,"Non-convertible debenture loans",l10n_lu.lu_2011_chart_1
account_group_1931,1931,,"due and payable within one year",l10n_lu.lu_2011_chart_1
account_group_1932,1932,,"due and payable after more than one year",l10n_lu.lu_2011_chart_1
account_group_194,194,,"Amounts owed to credit institutions",l10n_lu.lu_2011_chart_1
account_group_1941,1941,,"due and payable within one year",l10n_lu.lu_2011_chart_1
account_group_1942,1942,,"due and payable after more than one year",l10n_lu.lu_2011_chart_1
account_group_2,2,,"FORMATION EXPENSES AND FIXED ASSETS ACCOUNTS",l10n_lu.lu_2011_chart_1
account_group_20,20,,"Formation expenses and similar expenses",l10n_lu.lu_2011_chart_1
account_group_201,201,,"Set-up and start-up costs",l10n_lu.lu_2011_chart_1
account_group_203,203,,"Expenses for increases in capital and for various operations (merger, demerger, change of legal form)",l10n_lu.lu_2011_chart_1
account_group_204,204,,"Loan issuances expenses",l10n_lu.lu_2011_chart_1
account_group_208,208,,"Other similar expenses",l10n_lu.lu_2011_chart_1
account_group_21,21,,"Intangible fixed assets",l10n_lu.lu_2011_chart_1
account_group_211,211,,"Development costs",l10n_lu.lu_2011_chart_1
account_group_212,212,,"Concessions, patents, licences, trademarks and similar rights and assets",l10n_lu.lu_2011_chart_1
account_group_2121,2121,,"acquired for consideration (except Goodwill)",l10n_lu.lu_2011_chart_1
account_group_21211,21211,,"Concessions",l10n_lu.lu_2011_chart_1
account_group_21212,21212,,"Patents",l10n_lu.lu_2011_chart_1
account_group_21213,21213,,"Software licences",l10n_lu.lu_2011_chart_1
account_group_21214,21214,,"Trademarks and franchises",l10n_lu.lu_2011_chart_1
account_group_21215,21215,,"Similar rights and assets",l10n_lu.lu_2011_chart_1
account_group_212151,212151,,"Copyrights and reproduction rights",l10n_lu.lu_2011_chart_1
account_group_212152,212152,,"Greenhous gas and similar emission quotas",l10n_lu.lu_2011_chart_1
account_group_212158,212158,,"Other similar rights and assets acquired for consideration",l10n_lu.lu_2011_chart_1
account_group_2122,2122,,"created by the undertaking itself",l10n_lu.lu_2011_chart_1
account_group_21221,21221,,"Concessions",l10n_lu.lu_2011_chart_1
account_group_21222,21222,,"Patents",l10n_lu.lu_2011_chart_1
account_group_21223,21223,,"Software licences",l10n_lu.lu_2011_chart_1
account_group_21224,21224,,"Trademarks and franchises",l10n_lu.lu_2011_chart_1
account_group_21225,21225,,"Similar rights and assets",l10n_lu.lu_2011_chart_1
account_group_212251,212251,,"Copyrights and reproduction rights",l10n_lu.lu_2011_chart_1
account_group_212258,212258,,"Other similar rights and assets created by the undertaking itself",l10n_lu.lu_2011_chart_1
account_group_213,213,,"Goodwill acquired for consideration",l10n_lu.lu_2011_chart_1
account_group_214,214,,"Down payments and intangible fixed assets under development",l10n_lu.lu_2011_chart_1
account_group_22,22,,"Tangible fixed assets",l10n_lu.lu_2011_chart_1
