id,code,name,account_type,reconcile,chart_template_id:id
lu_2011_account_101,101,Subscribed capital,equity,FALSE,lu_2011_chart_1
lu_2011_account_102,102,Subscribed capital not called,asset_fixed,FALSE,lu_2011_chart_1
lu_2011_account_103,103,Subscribed capital called but unpaid,asset_fixed,FALSE,lu_2011_chart_1
lu_2020_account_104,104,"Capital of individual companies, corporate partnerships and similar",equity,FALSE,lu_2011_chart_1
lu_2011_account_105,105,Endowment of branches,equity,FALSE,lu_2011_chart_1
lu_2011_account_10611,10611,Cash withdrawals (daily life),equity,FALSE,lu_2011_chart_1
lu_2011_account_10612,10612,"Withdrawals of merchandise, finished products and services (at cost)",equity,FALSE,lu_2011_chart_1
lu_2011_account_10613,10613,Private share of medical services expenses,equity,FALSE,lu_2011_chart_1
lu_2011_account_106141,106141,Life insurance,equity,FALSE,lu_2011_chart_1
lu_2011_account_106142,106142,Accident insurance,equity,FALSE,lu_2011_chart_1
lu_2011_account_106143,106143,Fire insurance,equity,FALSE,lu_2011_chart_1
lu_2011_account_106144,106144,Third-party insurance,equity,FALSE,lu_2011_chart_1
lu_2011_account_106145,106145,Full coverage insurance,equity,FALSE,lu_2011_chart_1
lu_2011_account_106148,106148,Other private insurance premiums,equity,FALSE,lu_2011_chart_1
lu_2011_account_106151,106151,Social Security,equity,FALSE,lu_2011_chart_1
lu_2011_account_106152,106152,Child benefit office,equity,FALSE,lu_2011_chart_1
lu_2011_account_106153,106153,Health insurance funds,equity,FALSE,lu_2011_chart_1
lu_2011_account_106154,106154,Death and other health insurance funds,equity,FALSE,lu_2011_chart_1
lu_2011_account_106158,106158,Other contributions,equity,FALSE,lu_2011_chart_1
lu_2011_account_106161,106161,Wages,equity,FALSE,lu_2011_chart_1
lu_2011_account_106162,106162,Rent,equity,FALSE,lu_2011_chart_1
lu_2011_account_106163,106163,"Heating, gas, electricity",equity,FALSE,lu_2011_chart_1
lu_2011_account_106164,106164,Water,equity,FALSE,lu_2011_chart_1
lu_2011_account_106165,106165,Telephone,equity,FALSE,lu_2011_chart_1
lu_2011_account_106166,106166,Car,equity,FALSE,lu_2011_chart_1
lu_2011_account_106168,106168,Other in kind withdrawals,equity,FALSE,lu_2011_chart_1
lu_2011_account_106171,106171,Private furniture,equity,FALSE,lu_2011_chart_1
lu_2011_account_106172,106172,Private car,equity,FALSE,lu_2011_chart_1
lu_2011_account_106173,106173,Private held securities,equity,FALSE,lu_2011_chart_1
lu_2011_account_106174,106174,Private buildings,equity,FALSE,lu_2011_chart_1
lu_2011_account_106178,106178,Other acquisitions,equity,FALSE,lu_2011_chart_1
lu_2011_account_106181,106181,Income tax paid,equity,FALSE,lu_2011_chart_1
lu_2011_account_106183,106183,Municipal business tax - payment in arrears,equity,FALSE,lu_2011_chart_1
lu_2011_account_106188,106188,Other taxes,equity,FALSE,lu_2011_chart_1
lu_2011_account_106191,106191,Repairs to private buildings,equity,FALSE,lu_2011_chart_1
lu_2011_account_106192,106192,Deposits on private financial accounts,equity,FALSE,lu_2011_chart_1
lu_2011_account_106193,106193,Refund of private debts,equity,FALSE,lu_2011_chart_1
lu_2011_account_106194,106194,Gifts and allowance to children,equity,FALSE,lu_2011_chart_1
lu_2011_account_106195,106195,Inheritance taxes and mutation tax due to death,equity,FALSE,lu_2011_chart_1
lu_2011_account_106198,106198,Other special private withdrawals,equity,FALSE,lu_2011_chart_1
lu_2011_account_10621,10621,Inheritance or donation,equity,FALSE,lu_2011_chart_1
lu_2011_account_10622,10622,Personal holdings,equity,FALSE,lu_2011_chart_1
lu_2011_account_10623,10623,Private loans,equity,FALSE,lu_2011_chart_1
lu_2011_account_106241,106241,Private furniture,equity,FALSE,lu_2011_chart_1
lu_2011_account_106242,106242,Private car,equity,FALSE,lu_2011_chart_1
lu_2011_account_106243,106243,Private shares / bonds,equity,FALSE,lu_2011_chart_1
lu_2011_account_106244,106244,Private buildings,equity,FALSE,lu_2011_chart_1
lu_2011_account_106248,106248,Other disposals,equity,FALSE,lu_2011_chart_1
lu_2011_account_10625,10625,Received rents,equity,FALSE,lu_2011_chart_1
lu_2011_account_10626,10626,Received wages or pensions,equity,FALSE,lu_2011_chart_1
