id,position_id:id,tax_src_id:id,tax_dest_id:id
fiscal_position_tax_template_LU_85,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-17,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_169,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-16,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_86,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-14,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_170,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-13,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_87,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-8,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_171,account_fiscal_position_template_LU_IC,lu_2015_tax_VB-PA-7,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_4,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-3,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_5,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-0,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_88,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-17,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_172,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-16,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_89,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-14,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_173,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-13,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_90,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-8,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_174,account_fiscal_position_template_LU_IC,lu_2015_tax_VP-PA-7,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_9,account_fiscal_position_template_LU_IC,lu_2011_tax_VP-PA-3,lu_2011_tax_VP-IC-0
fiscal_position_tax_template_LU_91,account_fiscal_position_template_LU_IC,lu_2015_tax_FB-PA-17,lu_2015_tax_FB-IC-17
fiscal_position_tax_template_LU_178,account_fiscal_position_template_LU_IC,lu_2015_tax_FB-PA-16,lu_2015_tax_FB-IC-16
