"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","name@de"
"tax_eu_19_purchase_skr03","20","Intragem. Acquisition 19%USt/19%VSt","","innergem. Erwerb 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+89_BASE","","","Innergem. Erwerb 19%USt/19%VSt"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","account_1774",""
"","","","","","","","","","","","","tax","invoice","-61","","account_1574",""
"","","","","","","","","","","","","base","refund","-89_BASE","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","account_1774",""
"","","","","","","","","","","","","tax","refund","+61","","account_1574",""
"tax_eu_7_purchase_skr03","25","Intragem. Acquisition 7%USt/7%VSt","","innergem. Erwerb 7%","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+93_BASE","","","Innergem. Erwerb 7%"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","account_1772",""
"","","","","","","","","","","","","tax","invoice","-61","","account_1572",""
"","","","","","","","","","","","","base","refund","-93_BASE","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","account_1772",""
"","","","","","","","","","","","","tax","refund","+61","","account_1572",""
"tax_eu_19_purchase_no_vst_skr03","20","Intragem. Acquisition 19%USt/0%VSt","","innergem. Erwerb 19% - 0% Vorsteuer","percent","19.0","purchase","","","tax_group_19","","base","invoice","+89_BASE","","","Innergem. Erwerb 19%USt/0%VSt"
"","","","","","","","","","","","","tax","invoice","-89_TAX","-100","account_1779",""
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-89_BASE","","",""
"","","","","","","","","","","","","tax","refund","+89_TAX","-100","account_1779",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_eu_7_purchase_no_vst_skr03","20","Intragem. Acquisition 7%USt/0%VSt","","innergem. Erwerb 7% - 0% Vorsteuer","percent","7.0","purchase","","","tax_group_7","","base","invoice","+93_BASE","","","Innergem. Erwerb 7%USt/0%VSt"
"","","","","","","","","","","","","tax","invoice","-93_TAX","-100","account_1779",""
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-93_BASE","","",""
"","","","","","","","","","","","","tax","refund","+93_TAX","-100","account_1779",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_eu_car_purchase_skr03","23","Intragem. Acquisition of new vehicle 19%USt/19%VSt","","innergem. Erwerb Neufahrzeug 19%","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+94","","","Innergem. Erwerb Neufahrzeug 19%USt/19%VSt"
"","","","","","","","","","","","","tax","invoice","-96","-100","account_1772",""
"","","","","","","","","","","","","tax","invoice","-59","","account_1572",""
"","","","","","","","","","","","","base","refund","-94","","",""
"","","","","","","","","","","","","tax","refund","+96","-100","account_1772",""
"","","","","","","","","","","","","tax","refund","+59","","account_1572",""
"tax_eu_sale_skr03","21","Tax-exempt intra-Community. Delivery (§4 para. 1b UStG)","","steuerfreie innergem. Lieferung","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+41","","","Steuerfreie innergem. Lieferung (§4 Abs. 1b UStG)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-41","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_export_skr03","22","Tax-free export (§4 No. 1a UStG)","","steuerfreie Ausfuhr","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+43","","","Steuerfreie Ausfuhr (§4 Nr. 1a UStG)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-43","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_free_skr03_mit_vst","23","Tax-exempt turnover with input tax deduction (§ 4 No. 2-7)","","Steuerfr. Umsatz(§ 4 Nr. 2-7)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+43","","","Steuerfreier Umsatz mit Vorsteuerabzug (§ 4 Nr. 2-7)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-43","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_free_skr03_ohne_vst","24","Tax-exempt turnover without deduction of input tax (§ 4 No. 8-28)","","Steuerfr. Umsatz(§ 4 Nr. 8-28)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","-48","","","Steuerfreier Umsatz ohne Vorsteuerabzug (§ 4 Nr. 8-28)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","+48","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_import_19_and_payable_skr03","21","19% import sales tax (§21 Abs.3 UstG)","","Einfuhrumsatzsteuer 19%","percent","19.0","purchase","","","tax_group_19","","base","invoice","","","","19% Einfuhrumsatzsteuer (§21 Abs.3 UstG)"
"","","","","","","","","","","","","tax","invoice","-62","","account_1588",""
"","","","","","","","","","","","","tax","invoice","","-100","account_1788",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+62","","account_1588",""
"","","","","","","","","","","","","tax","refund","","-100","account_1788",""
"tax_import_7_and_payable_skr03","21","7% import sales tax (§21 Abs.3 UstG)","","Einfuhrumsatzsteuer 7%","percent","7.0","purchase","","","tax_group_7","","base","invoice","","","","7% Einfuhrumsatzsteuer (§21 Abs.3 UstG)"
"","","","","","","","","","","","","tax","invoice","-62","","account_1588",""
"","","","","","","","","","","","","tax","invoice","","-100","account_1788",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+62","","account_1588",""
"","","","","","","","","","","","","tax","refund","","-100","account_1788",""
"tax_eu_purchase_tax_free_skr03","22","Tax-free intracompany Acquisition (§§ 4b and 25c UStG)","","Steuerfr. innergem. Erwerb (§§ 4b und 25c UStG)","percent","0.0","purchase","False","True","tax_group_0","","base","invoice","-91","","","Steuerfr. innergem. Erwerb (§§ 4b und 25c UStG)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","+91","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_not_taxable_skr03","20","Non-taxable turnover","","Nicht steuerbare Umsätze","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+45_BASE","","","Nicht steuerbare Umsätze"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-45_BASE","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_ust_19_skr03","10","19% sales tax","","19% USt","percent","19.0","sale","False","True","tax_group_19","3","base","invoice","+81_BASE","","","19% Umsatzsteuer"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","account_1776",""
"","","","","","","","","","","","","base","refund","-81_BASE","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","account_1776",""
"tax_ust_7_skr03","15","7% sales tax","","7% USt","percent","7.0","sale","False","True","tax_group_7","2","base","invoice","+86_BASE","","","7% Umsatzsteuer"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","account_1771",""
"","","","","","","","","","","","","base","refund","-86_BASE","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","account_1771",""
"tax_ust_no_ustpflicht_skr03","16","0% VAT (compulsory exemption e.g. as a small business or for medical services)","","0% USt (Pflichtbefreit)","percent","0.0","sale","False","True","tax_group_0","","base","invoice","+87","","","0% USt (Pflichtbefreit z.B. als Kleinunt. oder bei med. Leistg.)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","-87","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_ust_19_taxinclusive_skr03","17","19% sales tax (included in price)","","19% USt (inkludiert in Preis)","percent","19.0","sale","True","True","tax_group_19","","base","invoice","+81_BASE","","","Umsatzsteuer (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","account_1776",""
"","","","","","","","","","","","","base","refund","-81_BASE","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","account_1776",""
"tax_ust_7_taxinclusive_skr03","18","7% sales tax (included in price)","","7% USt (inkludiert in Preis)","percent","7.0","sale","True","True","tax_group_7","","base","invoice","+86_BASE","","","7% Umsatzsteuer (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","account_1771",""
"","","","","","","","","","","","","base","refund","-86_BASE","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","account_1771",""
"tax_ust_55_farmer_skr03","26","5.5 % Sales tax agriculture/forestry","","5,5% USt Land-/Forstwirtschaft","percent","5.5","sale","False","True","tax_group_55","","base","invoice","+77","","","5,5 % Umsatzsteuer Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","","","account_1770",""
"","","","","","","","","","","","","base","refund","-77","","",""
"","","","","","","","","","","","","tax","refund","","","account_1770",""
"tax_ust_107_farmer_skr03","27","10.7 % Sales tax agriculture/forestry","","10,7% USt Land-/Forstwirtschaft","percent","10.7","sale","False","True","tax_group_107","","base","invoice","+77","","","10,7% USt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","","","account_1770",""
"","","","","","","","","","","","","base","refund","-77","","",""
"","","","","","","","","","","","","tax","refund","","","account_1770",""
"tax_ust_19_farmer_skr03","28","19% sales tax agriculture/forestry (alcohol etc.)","","19% USt Land-/Forstwirtschaft (Alkohol u.a.)","percent","19.0","sale","False","False","tax_group_19","","base","invoice","+76","","","19% Umsatzsteuer Land-/Forstwirtschaft (Alkohol u.a.)"
"","","","","","","","","","","","","tax","invoice","+80","","account_1776",""
"","","","","","","","","","","","","base","refund","-76","","",""
"","","","","","","","","","","","","tax","refund","-80","","account_1776",""
"tax_ust_x_skr03","21","x% Sales tax (at other tax rates)","","x% USt (zu anderen Steuersätzen)","percent","0.0","sale","False","False","tax_group_x","","base","invoice","+35","","","x% Umsatzsteuer (zu anderen Steuersätzen)"
"","","","","","","","","","","","","tax","invoice","+36","","",""
"","","","","","","","","","","","","base","refund","-35","","",""
"","","","","","","","","","","","","tax","refund","-36","","",""
"tax_vst_19_skr03","10","19% input tax","","19% VSt","percent","19.0","purchase","False","True","tax_group_19","9","base","invoice","","","","19% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-66","","account_1576",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1576",""
"tax_vst_7_skr03","15","7% input tax","","7% VSt","percent","7.0","purchase","False","True","tax_group_7","8","base","invoice","","","","7% Vorsteuer"
"","","","","","","","","","","","","tax","invoice","-66","","account_1571",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1571",""
"tax_vst_no_ustpflicht_skr03","16","0% VAT (compulsory exemption e.g. as a small business or for medical services)","","0% VSt (Pflichtbefreit)","percent","0.0","purchase","False","True","tax_group_0","","base","invoice","","","","0% USt (Pflichtbefreit z.B. als Kleinunt. oder bei med. Leistg.)"
"","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","","","",""
"tax_vst_19_taxinclusive_skr03","16","19% input tax (included in price)","","19% VSt (inkludiert in Preis)","percent","19.0","purchase","True","True","tax_group_19","","base","invoice","","","","19% Vorsteuer (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1576",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1576",""
"tax_vst_7_taxinclusive_skr03","17","7% input tax (included in price)","","7% VSt (inkludiert in Preis)","percent","7.0","purchase","True","True","tax_group_7","","base","invoice","","","","7% Vorsteuer (inkludiert in Preis)"
"","","","","","","","","","","","","tax","invoice","-66","","account_1571",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1571",""
"tax_vst_55_farmer_skr03","26","5.5% Input tax agriculture/forestry","","5,5% VSt Land-/Forstwirtschaft","percent","5.5","purchase","False","True","tax_group_55","","base","invoice","","","","5,5% VSt Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","-66","","account_1570",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1570",""
"tax_vst_107_farmer_skr03","27","10.7% Input tax agriculture/forestry","","10,7% VSt Land-/Forstwirtschaft","percent","10.7","purchase","False","True","tax_group_107","","base","invoice","","","","10,7% Vorsteuer Land-/Forstwirtschaft"
"","","","","","","","","","","","","tax","invoice","-66","","account_1570",""
"","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","tax","refund","+66","","account_1570",""
"tax_ust_19_eu_skr03","21","19% VAT EU delivery","","19% USt EU","percent","19.0","sale","False","True","tax_group_0","","base","invoice","+81_BASE","","","19 % Umsatzsteuer EU Lieferung"
"","","","","","","","","","","","","tax","invoice","+81_TAX","","account_1778",""
"","","","","","","","","","","","","base","refund","-81_BASE","","",""
"","","","","","","","","","","","","tax","refund","-81_TAX","","account_1778",""
"tax_ust_eu_skr03","22","7% VAT EU delivery","","7% USt EU","percent","7.0","sale","False","True","tax_group_0","","base","invoice","+86_BASE","","","7% Umsatzsteuer EU Lieferung"
"","","","","","","","","","","","","tax","invoice","+86_TAX","","account_1777",""
"","","","","","","","","","","","","base","refund","-86_BASE","","",""
"","","","","","","","","","","","","tax","refund","-86_TAX","","account_1777",""
"tax_ust_19_13b_ausland_ohne_vst_skr03","23","19% VAT according to §13b UStG - without VAT - (foreign work deliveries etc.)","","19% USt EU gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","19% USt gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","+85","","account_1787",""
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","-85","","account_1787",""
"tax_ust_7_13b_ausland_ohne_vst_skr03","24","7% VAT according to §13b UStG - without VAT - (foreign work deliveries etc.)","","7% USt EU gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","7% USt gem. §13b UStG - ohne VSt. - (ausländ. Werklieferungen u.ä.)"
"","","","","","","","","","","","","tax","invoice","+85","","account_1785",""
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","-85","","account_1785",""
"tax_ust_19_13b_eu_ohne_vst_skr03","25","19% VAT acc. to §13b UStG - without VAT - (other services EU)","","19% USt EU gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","19% USt gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)"
"","","","","","","","","","","","","tax","invoice","+47","","account_1787",""
"","","","","","","","","","","","","base","refund","-46","","",""
"","","","","","","","","","","","","tax","refund","-47","","account_1787",""
"tax_ust_7_13b_eu_ohne_vst_skr03","26","7% VAT according to §13b UStG - without VAT - (other services EU)","","7% USt EU gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+46","","","7% USt gem. §13b UStG - ohne VSt. - (sonst. Leistungen EU)"
"","","","","","","","","","","","","tax","invoice","+47","","account_1785",""
"","","","","","","","","","","","","base","refund","-46","","",""
"","","","","","","","","","","","","tax","refund","-47","","account_1785",""
"tax_ust_19_13b_bau_ohne_vst_skr03","27","19% VAT according to §13b UStG - without VAT - (recommended construction services)","","19% USt EU gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","19% USt gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)"
"","","","","","","","","","","","","tax","invoice","+85","","account_1787",""
"","","","","","","","","","","","","base","refund","-84","","",""
"","","","","","","","","","","","","tax","refund","-85","","account_1787",""
"tax_ust_7_13b_bau_ohne_vst_skr03","28","7% VAT according to §13b UStG - without VAT - (recommended construction services)","","7% USt EU gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","+84","","","7% USt gem. §13b UStG - ohne VSt. - (empf. Bauleistungen)"
"","","","","","","","","","","","","tax","invoice","+85","","account_1785",""
