"id","name","code","account_type","tag_ids","reconcile","name@fr","name@nl","name@de"
"a100","Association or Foundation Funds","100","equity","","False","Fonds de l'association ou de la fondation","Fondsen van de vereniging of stichting","Vermögen der Vereinigung oder Stiftung"
"a130","Funds for Investments","130","equity","","False","Fonds affectés pour investissements","Fondsen bestemd voor investeringen","Für Investitionen bestimmtes Vermögen"
"a131","Funds for Social Liabilities","131","equity","","False","Fonds affectés pour passif social","Fondsen bestemd voor sociaal passief","Für Sozialverbindlichkeiten bestimmtes Vermögen"
"a139","Other Allocated Funds and Other Reserves","139","equity","","False","Autres fonds affectés et autres réserves","Andere bestemde fondsen en andere reserves","Anderes zweckgebundenes Vermögen und andere Rücklagen"
"a15","Capital Subsidies","15","equity","","False","Subsides en capital","Kapitaalsubsidies","Kapitalsubventionen"
"a167","Provisions for Subsidies and Legacies to Reimburse and Gifts With a Recovery Right","167","liability_non_current","","False","Provisions pour remboursement de subsides, legs et dons avec droit de reprise","Voorzieningen voor terug te betalen subsidies, legaten en schenkingen met terugnemingsrecht","Rückstellungen für zurückzuzahlende Subventionen, Legate und Schenkungen mit Rücknahmerecht"
"a168","Deferred Taxes","168","liability_non_current","","False","Impôts différés","Uitgestelde belastingen","Aufgeschobene Steuern"
"a170","Subordinated Loans (> 1 Year)","170","liability_non_current","","False","Emprunts subordonnés (> 1 an)","Achtergestelde leningen (> 1 jaar)","Nachrangige Anleihen (> 1 Jahr)"
"a171","Unsubordinated Debentures (> 1 Year)","171","liability_non_current","","False","Emprunts obligataires non subordonnés (> 1 an)","Niet achtergestelde obligatieleningen (> 1 jaar)","Nicht nachrangige Schuldverschreibungsanleihen (> 1 Jahr)"
"a1790","Other Amounts Payable - Interest-Bearing (> 1 Year)","1790","liability_non_current","","False","Autres dettes - Productives d'intérêts (> 1 an)","Overige schulden - Rentedragend (> 1 jaar)","Sonstige Verbindlichkeiten - Verzinslich (> 1 Jahr)"
"a1791","Other Amounts Payable - Non Interest-Bearing or Linked to an Abnormally Low Interest Rate (> 1 Year)","1791","liability_non_current","","False","Autres dettes - Non productives d'intérêts ou assorties d'un intérêt anormalement faible (> 1 an)","Overige schulden - Niet-rentedragend of gekoppeld aan een abnormaal lage rente (> 1 jaar)","Sonstige Verbindlichkeiten - Unverzinslich oder mit einem ungewöhnlich niedrigen Zinssatz (> 1 Jahr)"
"a200","Formation Expenses","200","asset_non_current","","False","Frais de constitution","Kosten van oprichting","Errichtungsaufwendungen"
"a2912","Other Amounts Receivable - Subsidies to Be Received (> 1 Year)","2912","asset_non_current","","False","Autres créances - Subsides à recevoir (> 1 an)","Overige vorderingen - Te ontvangen subsidies (> 1 jaar)","Sonstige Forderungen - Besitzwechsel (> 1 Jahr)"
"a2915","Other Amounts Receivable - Non Interest-Bearing or Linked to an Abnormally Low Interest Rate (> 1 Year)","2915","asset_non_current","","False","Autres créances - Créances non productives d'intérêts ou assorties d'un intérêt anormalement faible (> 1 an)","Overige vorderingen - Niet-rentedragende vorderingen of gekoppeld aan een abnormaal lage rente (> 1 jaar)","Sonstige Forderungen - Unverzinsliche Forderungen oder Forderungen mit einem ungewöhnlich niedrigen Zinssatz (> 1 Jahr)"
"a2916","Other Amounts Receivable - Doubtful Amounts (> 1 Year)","2916","asset_non_current","","False","Autres créances - Créances douteuses (> 1 an)","Overige vorderingen - Dubieuze debiteuren (> 1 jaar)","Sonstige Forderungen - Zweifelhafte Forderungen (> 1 Jahr)"
"a413","Subsidies to Be Received","413","asset_current","","False","Subsides à recevoir","Te ontvangen subsidies","Zu erhaltende Subventionen"
"a415","Non Interest-Bearing Amounts Receivable or Linked to an Abnormally Low Interest Rate","415","asset_current","","False","Créances non productives d'intérêts ou assorties d'un intérêt anormalement faible","Niet-rentedragende vorderingen of gekoppeld aan een abnormaal lage rente","Unverzinsliche Forderungen oder Forderungen mit einem ungewöhnlich niedrigen Zinssatz"
"a420","Subordinated Loans (> 1 Year Falling Due < 1 Year)","420","liability_current","","False","Emprunts subordonnés (> 1 an écheant < 1 an)","Achtergestelde leningen (> 1 jaar vervallend < 1 jaar)","Nachrangige Anleihen (> 1 Jahr fällig < 1 Jahr)"
"a421","Unsubordinated Debentures (> 1 Year Falling Due < 1 Year)","421","liability_current","","False","Emprunts obligataires non subordonnés (> 1 an écheant < 1 an)","Niet achtergestelde obligatieleningen (> 1 jaar vervallend < 1 jaar)","Nicht nachrangige Schuldverschreibungsanleihen (> 1 Jahr fällig < 1 Jahr)"
"a4290","Other Amounts Payable - Interest-Bearing (> 1 Year Falling Due < 1 Year)","4290","liability_current","","False","Autres dettes - Productives d'intérêts (> 1 an écheant < 1 an)","Overige schulden - Rentedragend (> 1 jaar vervallend < 1 jaar)","Sonstige Verbindlichkeiten - Verzinslich (> 1 Jahr fällig < 1 Jahr)"
