"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","account_ids/account_src_id","account_ids/account_dest_id","name@fr","name@nl","name@de","note","note@fr","note@nl","note@de"
"fiscal_position_template_1","10","Domestic","1","","base.be","","","","National","Binnenlands","Inländisch","","","",""
"fiscal_position_template_3","20","Intra-Community","1","1","","account.europe_vat","","","Intracommunautaire","Intracommunautair","Innergemeinschaftlich","","","",""
"","","","","","","","a7000","a7006","","","","","","",""
"","","","","","","","a7001","a70061","","","","","","",""
"fiscal_position_template_5","30","EU B2C","1","","","account.europe_vat","","","UE B2C","EU B2C","EU B2C","","","",""
"fiscal_position_template_2","40","Extra-Community","1","","","","","","Extracommunautaire","Buiten de EU","Außerhalb der EU","","","",""
"","","","","","","","a7000","a7007","","","","","","",""
"","","","","","","","a7001","a7007","","","","","","",""
"fiscal_position_template_4","50","Co-Contractant","","","","","","","Cocontractant","Medecontractant","Vertragspartner","Reverse charge: In the absence of a written objection within one month of receipt of the invoice, the customer is deemed to acknowledge that they are a taxable person required to file periodic returns. If this condition is not met, the customer will be liable for the payment of the tax, interest, and penalties due in relation to this condition.","Autoliquidation : En l'absence de contestation par écrit, dans un délai d'un mois à compter de la réception de la facture, le client est présumé reconnaître qu'il est un assujetti tenu au dépôt de déclarations périodiques. Si cette condition n'est pas remplie, le client endossera, par rapport à cette condition, la responsabilité quant au paiement de la taxe, des intérêts et des amendes dus.","Verlegging van heffing. Bij gebrek aan schriftelijke betwisting binnen een termijn van één maand na de ontvangst van de factuur, wordt de afnemer geacht te erkennen dat hij een belastingplichtige is gehouden tot de indiening van periodieke aangiften. Als die voorwaarde niet vervuld is, is de afnemer ten aanzien van die voorwaarde aansprakelijk voor de betaling van de verschuldigde belasting, interesten en geldboeten.","Umkehrung der Steuerschuldnerschaft: In Ermangelung einer schriftlichen Beanstandung innerhalb einer Frist von einem Monat ab Erhalt der Rechnung wird davon ausgegangen, dass der Dienstleistungsempfänger anerkennt, dass er ein Steuerpflichtiger ist, der zur Einreichung periodischer Erklärungen verpflichtet ist. Wenn diese Bedingung nicht erfüllt ist, übernimmt der Dienstleistungsempfänger in Bezug auf diese Bedingung die Haftung für die Zahlung der geschuldeten Steuer und der geschuldeten Zinsen und Geldbußen."
"","","","","","","","a7000","a7005","","","","","","",""
"","","","","","","","a7001","a7005","","","","","","",""
"fiscal_position_template_6","60","Non Deductible","","","","","","","Non déductible","Niet aftrekbaar","Nicht abzugsfähig","","","",""
