"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period"
"asset_software","a215000","a215009","a6301","Software","3","12"
"asset_buildings","a221000","a221009","a6302","Buildings","30","12"
"asset_developed","a222000","a222009","a6302","Developed Land ","30","12"
"asset_other","a223000","a223009","a6302","Other Rights to Immovable Property","10","12"
"asset_machinery","a230000","a230009","a6302","Machinery and Equipment","5","12"
"asset_office","a240000","a240009","a6302","Office Furniture and Equipment","5","12"
"asset_cars","a241000","a241009","a6302","Cars","5","12"
"asset_cars_accessories","a241001","a241009","a6302","Cars - Accessories","2","12"
"asset_motorbikes","a241100","a241109","a6302","Motorbikes","5","12"
"asset_motorbikes_accessories","a241101","a241109","a6302","Motorbikes - Accessories","2","12"
"asset_bikes","a241200","a241209","a6302","Bikes","3","12"
"asset_bikes_accessories","a241201","a241209","a6302","Bikes - Accessories","2","12"
"asset_ebikes","a241300","a241309","a6302","E-Bikes","3","12"
"asset_ebikes_accessories","a241301","a241309","a6302","E-Bikes - Accessories","2","12"
"asset_commercial_vehicle","a241400","a241409","a6302","Commercial Vehicles","5","12"
"asset_commercial_vehicle_accessories","a241401","a241409","a6302","Commercial Vehicles - Accessories","2","12"
"asset_cars_leasing","a252000","a252009","a6302","Cars in Financial Leasing","5","12"
"asset_motorbikes_leasing","a252100","a252109","a6302","Motorbikes in Financial Leasing","5","12"
"asset_bikes_leasing","a252200","a252209","a6302","Bikes in Financial Leasing","3","12"
"asset_ebikes_leasing","a252300","a252309","a6302","E-Bikes in Financial Leasing","3","12"
"asset_commercial_vehicle_leasing","a252400","a252409","a6302","Commercial Vehicles in Financial Leasing","5","12"
