"id","code_prefix_start","code_prefix_end","name","name@fr","name@nl","name@de"
"be_group_10","10","","Association or Foundation Funds","Fonds de l'association ou de la fondation","Fondsen van de vereniging of stichting","Vermögen der Vereinigung oder Stiftung"
"be_group_13","13","","Reserves","Réserves","Reserves","Rücklagen"
"be_group_130","130","","Funds for Investments","Fonds affectés pour investissements","Fondsen bestemd voor investeringen","Für Investitionen bestimmtes Vermögen"
"be_group_131","131","","Funds for Social Liabilities","Fonds affectés pour passif social","Fondsen bestemd voor sociaal passief","Für Sozialverbindlichkeiten bestimmtes Vermögen"
"be_group_139","139","","Other Allocated Funds and Other Reserves","Autres fonds affectés et autres réserves","Andere bestemde fondsen en andere reserves","Anderes zweckgebundenes Vermögen und andere Rücklagen"
"be_group_15","15","","Capital Subsidies","Subsides en capital","Kapitaalsubsidies","Kapitalsubventionen"
"be_group_167","167","","Provisions for Subsidies and Legacies to Reimburse and Gifts With a Recovery Right","Provisions pour remboursement de subsides, legs et dons avec droit de reprise","Voorzieningen voor terug te betalen subsidies, legaten en schenkingen met terugnemingsrecht","Rückstellungen für zurückzuzahlende Subventionen, Legate und Schenkungen mit Rücknahmerecht"
"be_group_413","413","","Subsidies to Be Received","Subsides à recevoir","Te ontvangen subsidies","Zu erhaltende Subventionen"
"be_group_415","415","","Non Interest-Bearing Amounts Receivable or Linked to an Abnormally Low Interest Rate","Créances non productives d'intérêts ou assorties d'un intérêt anormalement faible","Niet-rentedragende vorderingen of gekoppeld aan een abnormaal lage rente","Unverzinsliche Forderungen oder Forderungen mit einem ungewöhnlich niedrigen Zinssatz"
"be_group_46","46","","Advances on Contracts in Progress","Acomptes sur commandes","Vooruitbetalingen op bestellingen","Anzahlungen auf Bestellungen"
"be_group_50","50","","Current Investments Other Than Shares, Fixed-Income Investments and Term Deposits","Placements de trésorerie autres que actions et parts, titres à revenu fixe et dépôts à terme","Geldbeleggingen andere dan aandelen, vastrentende effecten en termijndeposito's","Geldanlagen außer Anteilen, festverzinslichen Wertpapieren und Terminkonten"
"be_group_51","51","","Shares","Actions et parts","Aandelen","Anteile"
"be_group_510","510","","Shares - Acquisition Value","Actions et parts - Valeur d'acquisition","Aandelen - Aanschaffingswaarde","Anteile - Anschaffungswert"
"be_group_511","511","","Shares - Uncalled Amounts (-)","Actions et parts - Montants non appelés (-)","Aandelen - Niet-opgevraagde bedragen (-)","Anteile - Nicht eingeforderte Beträge (-)"
"be_group_519","519","","Shares - Amounts Written Down Recorded (-)","Actions et parts - Réductions de valeur actées (-)","Aandelen - Geboekte waardeverminderingen (-)","Anteile - Gebuchte Wertminderungen (-)"
"be_group_638","638","","Provisions for Subsidies and Legacies to Reimburse and Gifts With a Recovery Right","Provisions pour subsides et legs à rembourser et pour dons avec droit de reprise","Voorzieningen voor terug te betalen subsidies en legaten en voor schenkingen met terugnemingsrecht","Rückstellungen für große Reparaturen und große Wartungsarbeiten"
"be_group_639","639","","Provisions for Other Risks and Charges","Provisions pour autres risques et charges","Voorzieningen voor andere risico's en kosten","Rückstellungen für sonstige Risiken und Aufwendungen"
"be_group_643","643","","Gifts","Dons","Schenkingen","Schenkungen"
"be_group_644","644","648","Miscellaneous Operating Charges","Charges d'exploitation diverses","Diverse bedrijfskosten","Übrige betriebliche Aufwendungen"
"be_group_691","691","","Transfer to Allocated Funds and Other Reserves","Transfert aux fonds affectés et autres réserves","Overboeking naar de bestemde fondsen en andere reserves","Einstellung in das zweckgebundene Vermögen und die sonstigen Rücklagen"
"be_group_692","692","","Positive Result to be Carried Forward","Résultat positif à reporter","Over te dragen positief resultaat","Gewinnvortrag auf neue Rechnung"
"be_group_73","73","","Membership Fees, Gifts, Legacies and Subsidies","Cotisations, dons, legs et subsides","Lidgelden, schenkingen, legaten en subsidies","Beiträge, Schenkungen, Legate und Subventionen"
"be_group_730","730","","Membership Fees","Cotisations","Lidgelden","Beiträge"
"be_group_731","731","","Gifts","Dons","Schenkingen","Schenkungen"
"be_group_732","732","","Legacies","Legs","Legaten","Legate"
"be_group_733","733","","Subsidies","Subsides","Subsidies","Subventionen"
"be_group_741","741","","Capital Profits on Ordinary Disposal of Tangible Fixed Assets","Plus-values sur réalisations courantes d'immobilisations corporelles","Meerwaarden bij de courante realisatie van materiële vaste activa","Erträge aus dem normalen Abgang von Sachanlagen"
"be_group_742","742","","Capital Profits on Disposal of Trade Debtors","Plus-values sur réalisation de créances commerciales","Meerwaarden bij de courante realisatie van handelsvorderingen","Mehrwerte bei Realisierung von Forderungen aus Lieferungen und Leistungen"
"be_group_743","743","749","Miscellaneous Operating Income","Produits d'exploitation divers","Diverse bedrijfsopbrengsten","Übrige betriebliche Erträge"
"be_group_76","76","","Non-Recurring Operating or Financial Expenses","Produits d'exploitation ou financiers non récurrents","Niet-recurrente bedrijfs- of financiële opbrengsten","Nicht wiederkehrende betriebliche oder Finanzerträge"
"be_group_760","760","","Write-Back of Depreciation and of Amounts Written Off","Reprises d'amortissements et de réductions de valeur","Terugneming van afschrijvingen en van waardeverminderingen","Rücknahme von Abschreibungen und Wertminderungen"
"be_group_761","761","","Write-Back of Amounts Written Down Financial Fixed Assets","Reprises de réductions de valeur sur immobilisations financières","Terugneming van waardeverminderingen op financiële vaste activa","Rücknahme von Wertminderungen auf Finanzanlagen"
