"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"pcg_1011","Capital souscrit - non appelé","101100","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1012","Capital souscrit - appelé non versé","101200","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1013","Capital souscrit appelé, versé","101300","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10131","Capital non amorti","101310","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10132","Capital amorti","101320","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1018","Capital souscrit soumis à des réglementations particulières","101800","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_102","Fonds fiduciaires","102000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1041","Primes d'émission","104100","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1042","Primes de fusion","104200","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1043","Primes d'apport","104300","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1044","Primes de conversion d'obligations en actions","104400","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1045","Bons de souscription d'actions","104500","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_105_account","Écarts de réévaluation","105000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1061","Réserve légale","106100","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1062","Réserves indisponibles","106200","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1063","Réserves statutaires ou contractuelles","106300","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1064","Réserves réglementées","106400","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1068","Autres réserves","106800","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_107","Écarts d'équivalence","107000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_108","Compte de l'exploitant","108000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_109","Actionnaires : capital souscrit - non appelé","109000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_110","Report à nouveau (solde créditeur)","110000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_119","Report à nouveau (solde débiteur)","119000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_120","Résultat de l'exercice (bénéfice)","120000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1209","Accomptes sur dividendes","120900","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_129","Résultat de l'exercice (perte)","129000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_131_account","Subventions d'équipement","131000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_139_account","Subventions d'investissement inscrites au compte de résultat","139000","equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_14_account","Provisions réglementées","140000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_143_account","Provisions réglementées relatives aux stocks - Hausse de prix","143000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_145","Amortissements dérogatoires","145000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_148","Autres provisions réglementées","148000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1511","Provisions pour litiges","151100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1512","Provisions pour garanties données aux clients","151200","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1514","Provisions pour amendes et pénalités","151400","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1515","Provisions pour pertes de change","151500","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1516","Provisions pour pertes sur contrats","151600","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1518","Autres provisions pour risques","151800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1521","Provisions pour pensions et obligations similaires","152100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1522","Provisions pour restructurations","152200","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1523","Provisions pour impôts",152300,"liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1524","Provisions pour renouvellement des immobilisations - entreprises concessionnaires","152400","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1525","Provisions pour gros entretien ou grandes révisions","152500","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1526","Provisions pour remises en état","152600","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1527","Autres provisions pour charges","152700","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_161","Emprunts obligataires convertibles","161000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1618","Intérêts courus sur emprunts obligataires convertibles","161800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_162","Obligations représentatives de passifs nets remis en fiducie","162000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_163","Autres emprunts obligataires","163000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1638","Intérêts courus sur autres emprunts obligataires","163800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_164","Emprunts auprès des établissements de crédit","164000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1648","Intérêts courus sur emprunts auprès des établissements","1648","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1651","Dépôts","165100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1655","Cautionnements","165500","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1658","Intérêts courus sur dépôts et cautionnements reçus","165800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1661","Participation des salariés aux résultats - Comptes bloqués","166100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1662","Participation des salariés aux résultats - Fonds de participation","166200","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1668","Intérêts courus sur participation des salariés aux résultats","166800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1671","Emprunts et dettes assortis de conditions particulières - Emissions de titres participatifs","167100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_16718","Intérêts courus sur titres participatifs","167180","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1674","Emprunts et dettes assortis de conditions particulières - Avances conditionnées de l'État","167400","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_16748","Intérêts courus sur avances conditionnées","167480","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1675","Emprunts et dettes assortis de conditions particulières - Emprunts participatifs","167500","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_16758","Intérêts courus sur emprunts participatifs","167580","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1681","Autres emprunts","168100","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1685","Rentes viagères capitalisées","168500","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1687","Autres dettes","168700","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1688","Intérêts courus sur autres emprunts et dettes assimilées","168800","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_169","Primes de remboursement des emprunts","169000","asset_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_171","Dettes rattachées à des participations (groupe)","171000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_174","Dettes rattachées à des participations (hors groupe)","174000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_178_account","Dettes rattachées à des sociétés en participation","178000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_181","Comptes de liaison des établissements","181000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_186","Biens et prestations de services échangés entre établissements (charges)","186000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_187","Biens et prestations de services échangés entre établissements (produits)","187000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_188","Comptes de liaison des sociétés en participation","188000","liability_non_current","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_2011","Frais de constitution","201100","asset_fixed","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_2012","Frais de premier établissement","201200","asset_fixed","l10n_fr.l10n_fr_pcg_chart_template","","False"
