"id","name","bic","country:id"
"bank_fr_ccbpfrpp","BANQUES POPULAIRES-GROUPE BPCE","CCBPFRPP","base.fr"
"bank_fr_cepafrpp","CAISSES D'EPARGNE-GROUPE BPCE","CEPAFRPP","base.fr"
"bank_fr_sogefrpp","SOCIETE GENERALE","SOGEFRPP","base.fr"
"bank_fr_cmcifrpa","CREDIT MUTUEL - CIC BANQUES","CMCIFRPA","base.fr"
"bank_fr_agrifrpp","CREDIT AGRICOLE SA","AGRIFRPP","base.fr"
"bank_fr_crlyfrpp","CREDIT LYONNAIS","CRLYFRPP","base.fr"
"bank_fr_bnpafrpp","BNP PARIBAS SA","BNPAFRPP","base.fr"
"bank_fr_bousfrpp","BOURSORAMA","BOUSFRPP","base.fr"
"bank_fr_bredfrpp","BRED BANQUE POPULAIRE","BREDFRPP","base.fr"
"bank_fr_aecffr21","AMERICAN EXPRESS CARTE - FRANCE SA","AECFFR21","base.fr"
"bank_fr_psstfrpp","LA BANQUE POSTALE","PSSTFRPP","base.fr"
"bank_fr_cmbrfr2b","CREDIT MUTUEL ARKEA","CMBRFR2B","base.fr"
"bank_fr_ftnofrp1","FORTUNEO","FTNOFRP1","base.fr"
"bank_fr_bsavfr2c","BANQUE DE SAVOIE S.A.","BSAVFR2C","base.fr"
"bank_fr_axabfrpp","AXA BANQUE SA","AXABFRPP","base.fr"
"bank_fr_bbvafrpp","BANCO BILBAO VIZCAYA ARGENTARIA","BBVAFRPP","base.fr"
"bank_fr_bpsmfrpp","BANQUE BCP","BPSMFRPP","base.fr"
"bank_fr_agfbfrcc","ALLIANZ BANQUE S.A.","AGFBFRCC","base.fr"
"bank_fr_bnpafrph","BNP PARIBAS","BNPAFRPH","base.fr"
"bank_fr_trzofr21","TREEZOR","TRZOFR21","base.fr"
"bank_fr_nordfrpp","CREDIT DU NORD","NORDFRPP","base.fr"
"bank_fr_cmcifrpp","CM - CIC BANQUES","CMCIFRPP","base.fr"
"bank_fr_smctfr2a","SOCIETE MARSEILLAISE DE CREDIT","SMCTFR2A","base.fr"
"bank_fr_ccmvfr21","CAISSE DE CREDIT MUTUEL DE LAVAL BRETAGNE","CCMVFR21","base.fr"
"bank_fr_ccopfrcp","CREDIT COOPERATIF","CCOPFRCP","base.fr"
"bank_fr_courfr2t","BANQUE COURTOIS S.A.","COURFR2T","base.fr"
"bank_fr_ccopfrpp","CREDIT COOPERATIF","CCOPFRPP","base.fr"
"bank_fr_kolbfr21","BANQUE KOLB SA","KOLBFR21","base.fr"
"bank_fr_ralpfr2g","BANQUE RHONE ALPES","RALPFR2G","base.fr"
"bank_fr_tarnfr2l","BANQUE TARNEAUD","TARNFR2L","base.fr"
"bank_fr_cobafrpx","COMMERZBANK AG","COBAFRPX","base.fr"
"bank_fr_laydfr2w","BANQUE LAYDERNIER","LAYDFR2W","base.fr"
"bank_fr_kredfrpp","KBC BANK NV PARIS","KREDFRPP","base.fr"
"bank_fr_bnugfr21","BANQUE NUGER","BNUGFR21","base.fr"
"bank_fr_bspffrpp","BANQUE PALATINE","BSPFFRPP","base.fr"
