"id","description","invoice_label","type_tax_use","name","amount_type","amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"ST1","","15%","sale","Standard Rate","percent","15.0","tax_group_1","base","invoice","+[1] Standard Rate (Excluding Capital goods and/or services and accomodation)",""
"","","","","","","","","tax","invoice","+[1] Standard Rate (Excluding Capital goods and/or services and accomodation)||+[4] x 15/ (100 + 15)","200060"
"","","","","","","","","base","refund","-[1] Standard Rate (Excluding Capital goods and/or services and accomodation)",""
"","","","","","","","","tax","refund","-[1] Standard Rate (Excluding Capital goods and/or services and accomodation)||-[4] x 15/ (100 + 15)","200060"
"ST1A","","15%","sale","Standard Rate (Capital Goods)","percent","15.0","tax_group_1","base","invoice","+[1A] Standard Rate (Only Capital goods and/or services)",""
"","","","","","","","","tax","invoice","+[1A] Standard Rate (Only Capital goods and/or services)||+[4A] x 15/ (100 + 15)","200060"
"","","","","","","","","base","refund","-[1A] Standard Rate (Only Capital goods and/or services)",""
"","","","","","","","","tax","refund","-[1A] Standard Rate (Only Capital goods and/or services)||-[4A] x 15/ (100 + 15)","200060"
"ST2","","0%","sale","Zero Rate","percent","0.0","tax_group_0","base","invoice","+[2] Zero Rate (excluding goods exported)",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[2] Zero Rate (excluding goods exported)",""
"","","","","","","","","tax","refund","",""
"ST2A","","0%","sale","Zero Rate Exports","percent","0.0","tax_group_0","base","invoice","+[2A] Zero Rate (Only goods exported)",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[2A] Zero Rate (Only goods exported)",""
"","","","","","","","","tax","refund","",""
"ST3","","0%","sale","Exempt and Non-Supplies","percent","0.0","tax_group_0","base","invoice","+[3] Exempt and Non supplies",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[3] Exempt and Non supplies",""
"","","","","","","","","tax","refund","",""
"ST5","","15%","sale","Accommodation (28+ days)","percent","15.0","tax_group_1","base","invoice","+[5] Accomodation exceeding 28 days",""
"","","","","","","","","tax","invoice","+VAT on Accomodation exceeding 28 days","200060"
"","","","","","","","","base","refund","-[5] Accomodation exceeding 28 days",""
"","","","","","","","","tax","refund","-VAT on Accomodation exceeding 28 days","200060"
"ST7","","15%","sale","Accommodation (Under 28 days)","percent","15.0","tax_group_1","base","invoice","+[7] Accomodation under 28 days",""
"","","","","","","","","tax","invoice","+VAT on Accomodation under 28 days","200060"
"","","","","","","","","base","refund","-[7] Accomodation under 28 days",""
"","","","","","","","","tax","refund","-VAT on Accomodation under 28 days","200060"
"ST10","","15%","sale","Export of Second-hand Goods/ Change in Use","percent","15.0","tax_group_1","base","invoice","+[10] Change in use and export of second-hand goods",""
"","","","","","","","","tax","invoice","+[11] x 15 / (100 + 15)","200060"
"","","","","","","","","base","refund","-[10] Change in use and export of second-hand goods",""
"","","","","","","","","tax","refund","-[11] x 15 / (100 + 15)","200060"
"ST12","","15%","sale","VAT Adjustments and Manual VAT","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[12] Other and imported services","200060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[12] Other and imported services","200060"
"PT15","","15%","purchase","Standard Rate","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[15] Other goods and/or services supplied to you (not Capital Goods)","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[15] Other goods and/or services supplied to you (not Capital Goods)","100060"
"PT14","","15%","purchase","Standard Rate (Capital Goods)","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[14] Capital Goods and/or services supplied to you","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[14] Capital Goods and/or services supplied to you","100060"
"PT14A","","15%","purchase","Capital Goods Imported","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[14A] Capital Goods imported by you","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[14A] Capital Goods imported by you","100060"
"PT15A","","15%","purchase","Goods and Services Imported","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[15A] Other goods imported by you (not Capital Goods)","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[15A] Other goods imported by you (not Capital Goods)","100060"
"PT16","","15%","purchase","Change in Use","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[16] Change in Use","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[16] Change in Use","100060"
"PT17","","15%","purchase","Bad Debts","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[17] Bad Debts","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[17] Bad Debts","100060"
"PT18","","15%","purchase","Other Adjustments","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[18] Other","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[18] Other","100060"
