"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"tva_sale_18","18%","","","18.0","percent","sale","tax_group_18","base","invoice","","+base_18","","",""
"","","","","","","","","tax","invoice","pcg_4431","+tax_18","","",""
"","","","","","","","","base","refund","","-base_18","","",""
"","","","","","","","","tax","refund","pcg_4431","-tax_18","","",""
"tva_purchase_18","18%","","","18.0","percent","purchase","tax_group_18","base","invoice","","+purc_base","","",""
"","","","","","","","","tax","invoice","pcg_4452","+purc_tax","","",""
"","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","tax","refund","pcg_4452","-purc_tax","","",""
"tva_sale_9","9%","","","9.0","percent","sale","tax_group_9","base","invoice","","+base_9","","",""
"","","","","","","","","tax","invoice","pcg_4431","+tax_9","","",""
"","","","","","","","","base","refund","","-base_9","","",""
"","","","","","","","","tax","refund","pcg_4431","-tax_9","","",""
"tva_purchase_9","9%","","","9.0","percent","purchase","tax_group_9","base","invoice","","+purc_base","","",""
"","","","","","","","","tax","invoice","pcg_4452","+purc_tax","","",""
"","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","tax","refund","pcg_4452","-purc_tax","","",""
"tva_export_0","0% EX","0% (export)","","0.0","","sale","tax_group_0","base","invoice","","+export","","","0% (exportation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-export","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_import_0","0% EX","0% (import)","","0.0","","purchase","tax_group_0","base","invoice","","+import_base","","","0% (importation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-import_base","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_exempt_0","0%","0% (exempt)","","0.0","","sale","tax_group_0","base","invoice","","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","tax_group_0","base","invoice","","+purc_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-purc_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
