"id","code_prefix_start","name","name@es"
"l10n_bo_group_1","1","Activos",""
"l10n_bo_group_11","11","Activos Corrientes",""
"l10n_bo_group_111","111","Efectivo y Equivalentes de Efectivo",""
"l10n_bo_group_112","112","Cuentas por Cobrar",""
"l10n_bo_group_113","113","Inventarios",""
"l10n_bo_group_114","114","Other Current Assets","Otros Activos Corrientes"
"l10n_bo_group_115","115","Inventarios",""
"l10n_bo_group_12","12","Activos no Corrientes",""
"l10n_bo_group_121","121","Cuentas por Cobrar a Largo Plazo",""
"l10n_bo_group_122","122","Inventarios no Corrientes",""
"l10n_bo_group_123","123","Propriedad Planta y Equipo",""
"l10n_bo_group_124","124","Investment Properties","Propriedades de Inversión"
"l10n_bo_group_125","125","Activos Intangibles",""
"l10n_bo_group_126","126","Permanent Investments","Inversiones Permanentes"
"l10n_bo_group_127","127","Otros Activos no Corrientes",""
"l10n_bo_group_2","2","Pasivos",""
"l10n_bo_group_21","21","Pasivos Corrientes",""
"l10n_bo_group_211","211","Obligaciones Bancarias y Financieras",""
"l10n_bo_group_212","212","Cuentas por Pagar",""
"l10n_bo_group_213","213","Obligaciones Sociales y Fiscales",""
"l10n_bo_group_214","214","Provisions","Provisiones"
"l10n_bo_group_215","215","Deferred Income","Ingresos Diferidos"
"l10n_bo_group_216","216","Other Current Liabilities","Otros Pasivos Corrientes"
"l10n_bo_group_22","22","Pasivos no Corrientes",""
"l10n_bo_group_221","221","Obligaciones Bancarias y Financieras a Largo Plazo",""
"l10n_bo_group_222","222","Cuentas por Pagar a Largo Plazo",""
"l10n_bo_group_223","223","Previsión para Beneficios Sociales",""
"l10n_bo_group_224","224","Otros Pasivos no Corrientes",""
"l10n_bo_group_3","3","Patrimonio",""
"l10n_bo_group_31","31","Capital",""
"l10n_bo_group_32","32","Reservas",""
"l10n_bo_group_33","33","Retained Earnings","Resultados Acumulados"
"l10n_bo_group_4","4","Ingresos",""
"l10n_bo_group_41","41","Ingresos Netos",""
"l10n_bo_group_42","42","Ingresos Financieros",""
"l10n_bo_group_43","43","Other Income","Otros Ingresos"
"l10n_bo_group_5","5","Gastos",""
"l10n_bo_group_51","51","Costo de Ventas",""
"l10n_bo_group_52","52","Gastos de Comercialización",""
"l10n_bo_group_53","53","Gastos Generales de Administración",""
"l10n_bo_group_54","54","Gastos Financieros",""
"l10n_bo_group_55","55","Other Operational Expenses","Otros Gastos de Operación"
"l10n_bo_group_56","56","Otros Gastos no Operativos",""
