id,country_id:id,state_id:id,name
city_br_001,base.br,base.state_br_sp,São Paulo
city_br_002,base.br,base.state_br_rj,Rio de Janeiro
city_br_003,base.br,base.state_br_df,Brasília
city_br_004,base.br,base.state_br_ce,Fortaleza
city_br_005,base.br,base.state_br_ba,Salvador
city_br_006,base.br,base.state_br_mg,Belo Horizonte
city_br_007,base.br,base.state_br_am,Manaus
city_br_008,base.br,base.state_br_pr,Curitiba
city_br_009,base.br,base.state_br_pe,Recife
city_br_010,base.br,base.state_br_go,Goiânia
city_br_011,base.br,base.state_br_rs,Porto Alegre
city_br_012,base.br,base.state_br_pa,Belém
city_br_013,base.br,base.state_br_sp,Guarulhos
city_br_014,base.br,base.state_br_sp,Campinas
city_br_015,base.br,base.state_br_ma,São Luís
city_br_016,base.br,base.state_br_al,Maceió
city_br_017,base.br,base.state_br_ms,Campo Grande
city_br_018,base.br,base.state_br_rj,São Gonçalo
city_br_019,base.br,base.state_br_pi,Teresina
city_br_020,base.br,base.state_br_pb,João Pessoa
city_br_021,base.br,base.state_br_sp,São Bernardo do Campo
city_br_022,base.br,base.state_br_rj,Duque de Caxias
city_br_023,base.br,base.state_br_rj,Nova Iguaçu
city_br_024,base.br,base.state_br_rn,Natal
city_br_025,base.br,base.state_br_sp,Santo André
city_br_026,base.br,base.state_br_sp,Osasco
city_br_027,base.br,base.state_br_sp,Sorocaba
city_br_028,base.br,base.state_br_mg,Uberlândia
city_br_029,base.br,base.state_br_sp,Ribeirão Preto
city_br_030,base.br,base.state_br_sp,São José dos Campos
city_br_031,base.br,base.state_br_mt,Cuiabá
city_br_032,base.br,base.state_br_pe,Jaboatão dos Guararapes
city_br_033,base.br,base.state_br_mg,Contagem
city_br_034,base.br,base.state_br_sc,Joinville
city_br_035,base.br,base.state_br_ba,Feira de Santana
city_br_036,base.br,base.state_br_se,Aracaju
city_br_037,base.br,base.state_br_pr,Londrina
city_br_038,base.br,base.state_br_mg,Juiz de Fora
city_br_039,base.br,base.state_br_sc,Florianópolis
city_br_040,base.br,base.state_br_go,Aparecida de Goiânia
city_br_041,base.br,base.state_br_es,Serra
