"id","name","name@es","name@ca","code","account_type","reconcile"
"account_coop_1000","Cooperative social capital: mandatory contributions","Capital social cooperativo: aportaciones obligatorias","Capital social","100","liability_non_current","False"
"account_coop_1001","Cooperative social capital: voluntary contributions","Capital social cooperativo: aportaciones voluntarias","Capital social cooperatiu: aportacions voluntàries","1001","liability_non_current","False"
"account_coop_10020","Collaborating partners","Socios colaboradores","Socis col·laboradors","10020","liability_non_current","False"
"account_coop_10021","Associates or members","Asociados o adheridos","Associats o adherits","10021","liability_non_current","False"
"account_coop_1030","Partners for uncalled capital, social capital","Socios por desembolsos no exigidos, capital social","Socis per desemborsaments no exigits, capital social","1030","liability_non_current","False"
"account_coop_1034","Partners for uncalled capital, capital pending registration","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socis per desemborsaments no exigits, capital pendent d’inscripció","1034","liability_non_current","False"
"account_coop_1040","Partners for uncalled non-monetary contributions, social capital","Socios por aportaciones no dinerarias pendientes, capital social","Socis per aportacions no dineràries pendents, capital social","1040","liability_non_current","False"
"account_coop_1044","Partners for uncalled non-monetary contributions, capital pending registration","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socis per aportacions no dineràries pendents, capital pendent d’inscripció","1044","liability_non_current","False"
"account_coop_1070","Equity fund maturing in liquidation","Fondo de participaciones con vencimiento en la liquidación","Reserva de participacions amb venciment a la liquidació","1070","liability_non_current","False"
"account_coop_1071","Other subordinated funds maturing in liquidation","Otros fondos subordinados con vencimientos en la liquidación","Altres reserves subordinades amb venciments a la liquidació","1071","liability_non_current","False"
"account_coop_112","Legal reserve","Fondo de reserva obligatorio","Reserva legal","112","liability_non_current","False"
"account_coop_113","Voluntary reserves","Fondo de reserva voluntario","Reserves voluntàries","113","liability_non_current","False"
"account_coop_11450","Benefit incorporation fund","Fondo por incorporación de beneficios","Reserva per incorporació de beneficis","11450","liability_non_current","False"
"account_coop_11451","Asset revaluation fund","Fondo por revalorización de activos","Reserva per revalorització d’actius","11451","liability_non_current","False"
"account_coop_1181","Member contributions to cooperatives","Aportaciones de socios en cooperativas","Aportacions de socis en cooperatives","1181","liability_non_current","False"
"account_coop_120","Retained earnings","Remanente","Romanent","120","liability_non_current","False"
"account_coop_121","Prior periods' losses","Resultados negativos de ejercicios anteriores","Resultats negatius d’exercicis anteriors","121","liability_non_current","False"
"account_coop_129","Profit/loss for the period","Resultado del ejercicio","Resultat de l’exercici","129","equity_unaffected","False"
"account_coop_130","Government capital grants","Subvenciones oficiales de capital","Subvencions oficials de capital","130","liability_non_current","False"
"account_coop_132","Other grants, donations and bequests","Otras subvenciones, donaciones y legados","Altres subvencions, donacions i llegats","132","liability_non_current","False"
"account_coop_148","Non-current Education, Training and Promotion Fund","Fondo de Educación, Formación y Promoción a largo plazo","Reserva d’Educació, Formació i Promoció a llarg termini","148","liability_non_current","False"
"account_coop_1500","Non-current liability-classified cooperative social capital, mandatory contributions","Capital social cooperativo a largo plazo considerado pasivo financiero aportaciones obligatorias","Capital social cooperatiu a llarg termini considerat passiu financer aportacions obligatòries","1500","liability_non_current","False"
"account_coop_1501","Non-current liability-classified cooperative social capital, voluntary contributions","Capital social cooperativo a largo plazo considerado pasivo financiero aportaciones voluntarias","Capital social cooperatiu a llarg termini considerat passiu financer aportacions voluntàries","1501","liability_non_current","False"
"account_coop_15020","Collaborating partners","Socios colaboradores","Socis col·laboradors","15020","liability_non_current","False"
"account_coop_15021","Associates or members","Asociados o adheridos","Associats o adherits","15021","liability_non_current","False"
"account_coop_1530","Liability-classified uncalled capital for cooperative social capital","Desembolsos no exigidos por capital social cooperativo considerado como pasivo financiero","Desemborsaments no exigits per capital social cooperatiu considerat com passiu financer","1530","liability_non_current","False"
"account_coop_1710","Non-current debt for reimbursement of contributions to partners","Deudas a largo plazo por reembolso de aportaciones a los socios","Deutes a llarg termini per reemborsament d’aportacions als socis","1710","liability_non_current","False"
"account_coop_1712","Non-current creditors for reimbursement or restatement fund","Acreedores por fondo de reembolso o actualización a largo plazo","Creditors per reserves de reemborsament o actualització a llarg termini","1712","liability_non_current","False"
"account_coop_1713","Non-current creditors for voluntary reserve fund","Acreedores por fondo de reserva voluntario a largo plazo","Creditors per reserves voluntàries a llarg termini","1713","liability_non_current","False"
"account_coop_1714","Non-current creditors for capitalized funds","Acreedores por fondos capitalizados a largo plazo","Creditors per reserves capitalitzades a llarg termini","1714","liability_non_current","False"
"account_coop_1715","Non-current cooperative return and discretionary remuneration payable","Retorno cooperativo y remuneración discrecional a pagar a largo plazo","Retorn cooperatiu i remuneració discrecional a pagar a llarg termini","1715","liability_non_current","False"
"account_coop_2403","Non-current investments in group companies","Participaciones en empresas del grupo","Participacions a llarg termini en empreses del grup","2403","asset_fixed","False"
"account_coop_2404","Non-current investments in associates","Participaciones en empresas asociadas","Participacions a llarg termini en empreses associades","2404","asset_fixed","False"
"account_coop_2405","Non-current investments in other related parties","Participaciones en otras partes vinculadas","Participacions a llarg termini en altres parts vinculades","2405","asset_fixed","False"
"account_coop_2493","Non-current uncalled equity holdings in group companies","Desembolsos pendientes sobre participaciones en empresas del grupo","Desemborsaments pendents sobre participacions a llarg termini en empreses del grup","2493","asset_fixed","False"
"account_coop_2494","Non-current uncalled equity holdings in associates","Desembolsos pendientes sobre participaciones en empresas asociadas","Desemborsaments pendents sobre participacions a llarg termini en empreses associades","2494","asset_fixed","False"
"account_coop_2495","Non-current uncalled equity holdings in other related parties","Desembolsos pendientes sobre participaciones en otras partes vinculadas","Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades","2495","asset_fixed","False"
"account_coop_2527","Non-current loans with partners for losses to be compensated","Créditos a largo plazo con socios por pérdidas a compensar","Crèdits amb socis per pèrdues a compensar a llarg termini","2527","asset_fixed","False"
"account_coop_255","Non-current assets arising from derivative financial instruments","Activos por derivados financieros","Actius per derivats financers a llarg termini","255","asset_fixed","False"
"account_coop_2935","Impairment of non-current investments in other related parties","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deteriorament de valor de participacions a llarg termini en altres parts vinculades","2935","asset_fixed","False"
"account_coop_296","Impairment of non-current investments in shareholders' equity","Deterioro de valor de participaciones en el patrimonio neto a largo plazo","Deteriorament de valor de participacions en el patrimoni net a llarg termini","296","asset_fixed","False"
"account_coop_307","Merchandise purchased from partners","Mercaderías adquiridas a socios","Mercaderies adquirides a socis","307","liability_current","False"
"account_coop_317","Raw materials purchased from partners","Materias primas adquiridas a socios","Matèries primeres adquirides a socis","317","liability_current","False"
"account_coop_4007","Cooperative partner suppliers","Proveedores socios cooperativos","Proveïdors socis cooperatius","4007","liability_payable","True"
"account_coop_447","Partner receivables: receivables from transactions with partners","Socios deudores: creditos por operaciones efectuados con socios","Usuaris, deutors","447","asset_receivable","True"
"account_coop_490","Impairment of trade receivables","Deterioro de valor de créditos por operaciones comerciales","Deteriorament de valor de crèdits per operacions comercials","490","liability_current","False"
"account_coop_5020","Current liability-classified cooperative social capital","Capital social cooperativo con características de deuda a corto plazo","Capital social cooperatiu amb característiques de deute a curt termini","5020","liability_current","False"
"account_coop_5210","Current debts for reimbursement of contributions to partners","Deudas a corto plazo por reembolso de aportaciones a los socios","Deutes a curt termini per reemborsament d’aportacions als socis","5210","liability_current","False"
"account_coop_5211","Current payables for mandatory reserve fund","Acreedores por fondo de reserva obligatorio a corto plazo","Creditors per reserves de reemborsament o actualització a curt termini","5211","liability_current","False"
"account_coop_5212","Current payables for reimbursement or restatement fund","Acreedores por fondo de reembolso o actualización a corto plazo","Creditors per reserves voluntàries a curt termini","5212","liability_current","False"
"account_coop_5213","Current payables for voluntary reserve fund","Acreedores por fondo de reserva voluntario a corto plazo","Creditors per reserves capitalitzades a curt termini","5213","liability_current","False"
"account_coop_5214","Current payables for capitalized funds","Acreedores por fondos capitalizados a corto plazo","Retorn cooperatiu i remuneració discrecional a pagar a curt termini","5214","liability_current","False"
"account_coop_526","Current cooperative return and discretionary remuneration payable","Retorno cooperativo y remuneración discrecional a pagar a corto plazo","Dividend actiu a pagar","526","liability_current","True"
