"id","name","name@es","code","account_type"
"account_pymes_canary_100","Social capital","Capital social","100","liability_non_current"
"account_pymes_canary_1030","Partners for unrequired disbursements, share capital","Socios por desembolsos no exigidos, capital social","1030","liability_non_current"
"account_pymes_canary_1034","Members due to disbursements not required, capital pending registration","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","liability_non_current"
"account_pymes_canary_1040","Partners for outstanding non-monetary contributions, share capital","Socios por aportaciones no dinerarias pendientes, capital social","1040","liability_non_current"
"account_pymes_canary_1044","Members due to pending non-monetary contributions, capital pending registration","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","liability_non_current"
"account_pymes_canary_120","Remainder","Remanente","120","liability_non_current"
"account_pymes_canary_121","Negative results from previous exercises","Resultados negativos de ejercicios anteriores","121","liability_non_current"
"account_pymes_canary_129","Result of the excersice","Resultado del ejercicio","129","equity_unaffected"
"account_pymes_canary_130","Official capital grants","Subvenciones oficiales de capital","130","liability_non_current"
"account_pymes_canary_132","Other grants, donations and legacies","Otras subvenciones, donaciones y legados","132","liability_non_current"
"account_pymes_canary_2403","Shares in group companies","Participaciones en empresas del grupo","2403","asset_fixed"
"account_pymes_canary_2404","Shares in associated companies","Participaciones en empresas asociadas","2404","asset_fixed"
"account_pymes_canary_2405","Interests in other related parties","Participaciones en otras partes vinculadas","2405","asset_fixed"
"account_pymes_canary_2493","Pending disbursements on shares in group companies","Desembolsos pendientes sobre participaciones en empresas del grupo","2493","asset_fixed"
"account_pymes_canary_2494","Pending disbursements on shares in associated companies","Desembolsos pendientes sobre participaciones en empresas asociadas","2494","asset_fixed"
"account_pymes_canary_2495","Pending disbursements on interests in other related parties","Desembolsos pendientes sobre participaciones en otras partes vinculadas","2495","asset_fixed"
"account_pymes_canary_255","Assets from financial derivatives","Activos por derivados financieros","255","asset_fixed"
"account_pymes_canary_2935","Impairment of long-term interests in other related parties","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","2935","asset_fixed"
"account_pymes_canary_296","Impairment of long-term equity interests","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","296","asset_fixed"
"pgc_pyme_490","Impairment of value of credits from commercial operations","Deterioro de valor de créditos por operaciones comerciales","490","liability_current"
"pgc_pyme_551","Current account with partners and administrators","Cuenta corriente con socios y administradores","551","asset_current"
"account_pymes_canary_4707","Public Treasury, debtor for IGIC","Hacienda Pública, deudora por IGIC","4707","asset_current"
"account_pymes_canary_4757","Public Treasury, creditor for IGIC","Hacienda Pública, acreedora por IGIC","4757","asset_current"
"account_pymes_canary_5935","Impairment in value of short-term holdings in other related parties","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas","5935","asset_current"
"account_pymes_canary_596","Short-term impairment of shares","Deterioro de valor de participaciones a corto plazo","596","asset_current"
"account_pymes_canary_650","Bad Trade Credit Losses","Pérdidas de créditos comerciales incobrables","650","expense"
"account_pymes_canary_6510","Transferred benefit (manager)","Beneficio transferido (gestor)","6510","expense"
"account_pymes_canary_6511","Loss supported (participant or non-managing associate)","Pérdida soportada (partícipe o asociado no gestor)","6511","expense"
"account_pymes_canary_659","Other losses in current management","Otras pérdidas en gestión corriente","659","expense"
"account_pymes_canary_663","Losses from valuation of financial instruments at their fair value","Pérdidas por valoración de instrumentos financieros por su valor razonable","663","expense"
"account_pymes_canary_671","Losses from property, plant and equipment","Pérdidas procedentes del inmovilizado material","671","expense"
"account_pymes_canary_691","Losses due to deterioration of property, plant and equipment","Pérdidas por deterioro del inmovilizado material","691","expense"
"account_pymes_canary_694","Losses due to impairment of credits from commercial operations","Pérdidas por deterioro de créditos por operaciones comerciales","694","expense"
"account_pymes_canary_763","Benefits from valuation of financial instruments at their fair value","Beneficios por valoración de instrumentos financieros por su valor razonable","763","income"
"account_pymes_canary_791","Reversal of impairment of property, plant and equipment","Reversión del deterioro del inmovilizado material","791","income"
"account_pymes_canary_794","Reversal of the impairment of credits from commercial operations","Reversión del deterioro de créditos por operaciones comerciales","794","income"
"account_pymes_canary_7962","Reversal of impairment of interests in long-term equity instruments, other related parties","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas","7962","income"
"account_pymes_canary_7963","Reversal of impairment of interests in long-term equity instruments, other companies","Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas","7963","income"
