"id","code_prefix_start","name","name@es","name@ca"
"account_group_1","1","Basic financing","Financiación Básica","FINANÇAMENT BÀSIC"
"account_group_10","10","Capital","Capital","CAPITAL"
"account_group_100","100","Share capital","Capital social","Capital social"
"account_group_101","101","Assigned capital","Fondo social","Fons social"
"account_group_102","102","Capital","Capital","Capital"
"account_group_103","103","Uncalled capital","Socios por desembolsos no exigidos","Socis per desemborsaments no exigits"
"account_group_1030","1030","Uncalled capital","Socios por desembolsos no exigidos, capital social","Socis per desemborsaments no exigits, capital social"
"account_group_1034","1034","Uncalled capital pending registration","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socis per desemborsaments no exigits, capital pendent d’inscripció"
"account_group_104","104","Uncalled non-monetary contributions","Socios por aportaciones no dinerarias pendientes","Socis per aportacions no dineràries pendents"
"account_group_1040","1040","Uncalled non-monetary contributions, capital","Socios por aportaciones no dinerarias pendientes, capital social","Socis per aportacions no dineràries pendents, capital social"
"account_group_1044","1044","Uncalled non-monetary contributions, capital pending registration","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socis per aportacions no dineràries pendents, capital pendent d’inscripció"
"account_group_108","108","Own shares or equity holdings in special situations","Acciones o participaciones propias en situaciones especiales","Accions o participacions pròpies en situacions especials"
"account_group_109","109","Own shares or equity holdings for reduction of capital","Acciones o participaciones propias para reducción de capital","Accions o participacions pròpies per a reducció de capital"
"account_group_11","11","Reserves and other equity instruments","Reservas y otros instrumentos de patrimonio","RESERVES I ALTRES INSTRUMENTS DE PATRIMONI"
"account_group_110","110","Share premium or additional paid-in capital","Prima de emisión o asunción","Prima d’emissió o assumpció"
"account_group_111","111","Other equity instruments","Otros instrumentos de patrimonio neto","Altres instruments de patrimoni net"
"account_group_1110","1110","Equity from issue of compound financial instruments","Patrimonio neto por emisión de instrumentos financieros compuestos","Patrimoni net per emissió d’instruments financers compostos"
"account_group_1111","1111","Other equity instruments","Resto de instrumentos de patrimonio neto","Resta d’instruments de patrimoni net"
"account_group_112","112","Legal reserve","Reserva legal","Reserva legal"
"account_group_113","113","Voluntary reserves","Reservas voluntarias","Reserves voluntàries"
"account_group_114","114","Special reserves","Reservas especiales","Reserves especials"
"account_group_1140","1140","Reserves for parent company shares or equity holdings","Reservas para acciones o participaciones de la sociedad dominante","Reserves per a accions o participacions de la societat dominant"
"account_group_1141","1141","Statutory reserves","Reservas estatutarias","Reserves estatutàries"
"account_group_1142","1142","Redeemed capital reserve","Reserva por capital amortizado","Reserva per capital amortitzat"
"account_group_1143","1143","Goodwill reserve","Reserva por fondo de comercio","Reserva per fons de comerç"
