"id","sequence","name","name@es","name@ca","auto_apply","vat_required","country_id","country_group_id","account_ids/account_src_id","account_ids/account_dest_id"
"l10n_es_domestic_fiscal_position","10","ES Domestic","España Peninsula","Espanya Península","1","","base.es","l10n_es.mainland_es","",""
"fp_intra_private","30","EU private","EU privado","EU privat","1","","","account.europe_vat","",""
"fp_intra","20","Intra-community","Régimen Intracomunitario","Règim intracomunitari","1","1","","account.europe_vat","",""
"fp_extra","40","Extra-community","Régimen Extracomunitario","Règim extracomunitari","1","","","","",""
"fp_not_subject_tai","","Regime not subject to localization rules","Régimen No sujeto por reglas de localización","Règim no sotmès a regles de localització","","","","","",""
"fp_recargo","","Equivalence surcharge","Recargo de Equivalencia","Recàrrec d’equivalència","","","","","",""
"fp_recargo_isp","","ISP reseller equivalence surcharge","Recargo de Equivalencia Revendedor con ISP","Recàrrec d’equivalència revenedor amb ISP","","","","","",""
"fp_irpf1","","Personal income tax withholding 1%","Retención IRPF 1%","Retenció IRPF 1%","","","","","",""
"fp_irpf2","","Personal income tax withholding 2%","Retención IRPF 2%","Retenció IRPF 2%","","","","","",""
"fp_irpf7","","Personal income tax withholding 7%","Retención IRPF 7%","Retenció IRPF 7%","","","","","",""
"fp_irpf9","","Perosnal income tax withholding 9%","Retención IRPF 9%","Retenció IRPF 9%","","","","","",""
"fp_irpf15","","Personal income tax withholding 15%","Retención IRPF 15%","Retenció IRPF 15%","","","","","",""
"fp_irpf18","","Personal income tax withholding 18%","Retención IRPF 18%","Retenció IRPF 18%","","","","","",""
"fp_irpf19","","Personal income tax withholding 19%","Retención IRPF 19%","Retenció IRPF 19%","","","","","",""
"fp_irpf19a","","Retention 19% leases","Retención 19% arrendamientos","Retenció 19% arrendaments","","","","","",""
"fp_irpf195a","","Withholding 19.5% leases","Retención 19,5% arrendamientos","Retenció 19,5% arrendaments","","","","","",""
"fp_irpf20","","Personal income tax withholding 20%","Retención IRPF 20%","Retenció IRPF 20%","","","","","",""
"fp_irpf24","","Personal income tax withholding 24%","Retención IRPF 24%","Retenció IRPF 24%","","","","","",""
"fp_irpf20a","","Withholding 19% leases","Retención 20% arrendamientos","Retenció 20% arrendaments","","","","","",""
"fp_irpf21","","Personal tax income withholding 21%","Retención IRPF 21%","Retenció IRPF 21%","","","","","",""
"fp_irpf21a","","Withholding 21% leases","Retención 21% arrendamientos","Retenció 21% arrendaments","","","","","",""
"fp_ispn","","National Reverse charge","Inversion del Sujeto Pasivo Nacional","Inversió del subjecte passiu nacional","","","","","",""
"fp_reagyp_a","","REAGYP - Agriculture","REAGYP - Agricultura","REAGYP - Agricultura","","","","","",""
"fp_reagyp_gp","","REAGYP - animal breeding and fishing","REAGYP - Ganadería y pesca","REAGYP – Ramaderia i pesca","","","","","",""
"fp_dua","","DUA","DUA","DUA","","","","","",""
"fp_irpfnrnue24","","24% Withholding for non-EU residents","Retención IRPF No residentes UE 24%","Retenció IRPF No residents UE 24%","","","","","",""
"fp_irpfnrue19","","19% Withholding for non-EU residents","Retención IRPF No residentes UE 19%","Retenció IRPF No residents no-UE 19%","","","","","",""
"fp_irpfnrue0","","Exempt Withholding EU residents","Retención IRPF residentes UE exento por convenio","Retenció IRPF Residents UE exempt per conveni","","","","","",""
"fp_irpfnrnue0","","Exempt Withholding Non EU residents","Retención IRPF No residentes UE exento por convenio","Retenció IRPF No residents no UE exempt per conveni","","","","","",""
