"id","name","name@es","name@ca","code","account_type","reconcile"
"account_assoc_1301","Other public administration grants","Subvenciones de otras Administraciones Públicas","Subvencions d’altres Administracions Públiques","1301","equity","False"
"account_common_mainland_132","Other grants","Otras subvenciones","Altres subvencions","","",""
"account_assoc_1321","Other donations and bequests","Otras donaciones y legados","Altres donacions i llegats","1321","equity","False"
"account_assoc_207","Rights over transferred assets in use","Derechos sobre activos cedidos en uso","Drets sobre actius cedits en ús","207","asset_fixed","False"
"account_assoc_2400","Monuments","Monumentos","Monuments","2400","asset_fixed","False"
"account_assoc_2401","Historical gardens","Jardines históricos","Jardins històrics","2401","asset_fixed","False"
"account_assoc_2402","Historical areas","Conjuntos históricos","Conjunts històrics","2402","asset_fixed","False"
"account_common_mainland_2403","Historical sites","Sitios históricos","Participacions a llarg termini en empreses del grup","","",""
"account_common_mainland_2404","Archaeological areas","Zonas arqueológicas","Participacions a llarg termini en empreses associades","","",""
"account_assoc_2490","Advances on fixed assets of historic patrimony","Anticipos sobre bienes inmuebles del Patrimonio Histórico","Avançaments sobre béns immobles del Patrimoni Històric","2490","asset_fixed","False"
"account_assoc_2491","Advances on archives of historic patrimony","Anticipos sobre archivos del Patrimonio Histórico","Avançaments sobre arxius del Patrimoni Històric","2491","asset_fixed","False"
"account_assoc_2492","Advances on libraries of historic patrimony","Anticipos sobre bibliotecas del Patrimonio Histórico","Avançaments sobre biblioteques del Patrimoni Històric","2492","asset_fixed","False"
"account_common_mainland_2493","Advances on museums of historic patrimony","Anticipos sobre museos del Patrimonio Histórico","Desemborsaments pendents sobre participacions a llarg termini en empreses del grup","","",""
"account_common_mainland_2494","Advances on current assets of historic patrimony","Anticipos sobre bienes muebles del Patrimonio Histórico","Desemborsaments pendents sobre participacions a llarg termini en empreses associades","","",""
"account_assoc_2807","Accumulated amortization of rights on transferred assets in use","Amortización acumulada de derechos sobre activos cedidos en uso","Amortització acumulada de drets sobre actius cedits en ús","2807","asset_fixed","False"
"account_assoc_2830","Cessions of use of immobilized intangible assets","Cesiones de uso del inmovilizado intangible","Cessions d’ús de l’immobilitzat intangible","2830","asset_fixed","False"
"account_assoc_2831","Cessions of use of immobilized material","Cesiones de uso del inmovilizado material","Cessions d’ús de l’immobilitzat material","2831","asset_fixed","False"
"account_assoc_2907","Loss of value of transferred assets in use","Deterioro del valor sobre activos cedidos en uso","Deteriorament de valor sobre actius cedits en ús","2907","asset_fixed","False"
"account_assoc_2935","Loss of value of long-term interests in other related parties","Deterioro de valor de participaciones a largo plazo en otras partes vinculadas","Deteriorament de valor de participacions a llarg termini en altres parts vinculades","2935","asset_fixed","False"
"account_assoc_296","Loss of value of long-term in equity interests","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo","Deteriorament de valor de participacions en el patrimoni net a llarg termini","296","asset_fixed","False"
"account_assoc_2990","Loss of value of historical heritage assets","Deterioro de valor de bienes del Patrimonio Histórico","Deteriorament de valor de béns del Patrimoni Històric","2990","asset_fixed","False"
"account_assoc_2991","Loss of value of archives","Deterioro de valor de archivos","Deteriorament de valor d’arxius","2991","asset_fixed","False"
"account_assoc_2992","Loss of value of libraries","Deterioro de valor de bibliotecas","Deteriorament de valor de biblioteques","2992","asset_fixed","False"
"account_assoc_2993","Loss of value of museums","Deterioro de valor de Museos","Deteriorament de valor de museus","2993","asset_fixed","False"
"account_assoc_2994","Loss of values of assets","Deterioro de valor de bienes muebles","Deteriorament de valor de béns mobles","2994","asset_fixed","False"
"account_assoc_412","Beneficiaries, creditors","Beneficiarios, acreedores","Beneficiaris, creditors","412","liability_payable","True"
"account_assoc_447","Borrowers, debtors","Usuarios, deudores","Usuaris, deutors","447","asset_receivable","True"
